league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=46|time=2023-10-20T06:36:25
4,27.74,Scala,1606139008477,3313038,301922,tyrcho,FR,1742081719876,
4,27.43,Scala,1606139008477,3313860,154935,yamo,FR,13357218751473,
4,25.6,Scala,1606406278249,3321879,1720605,carlicolosse,FR,13415897219799,
3,31.85,Scala,1606139008477,3309646,3980702,julieng,FR,52977940972190,
3,29.74,Scala,1606139008477,3308110,532441,SCALIST,UA,,
3,28.5,Scala,1606139008477,3312568,2781753,execdd17,US,20697843016385,
3,28.47,Scala,1606139008477,3312214,3023677,fmx9,FR,,
3,26.26,Scala,1606139008477,3313003,247345,piton4k,SK,4169851635057,
3,26.08,Scala,1606139008477,3309387,624730,ak79,RU,,
3,25.98,Scala,1606139008477,3310959,2743102,Telpenair,RU,20391330722973,
3,25.95,Scala,1606139008477,3308090,3414155,Smerk,UA,44404504843085,
3,23.57,Scala,1606139008477,3307986,3997903,qb-rgb,FR,53445524368374,
3,21.64,Scala,1606139008477,3308457,3020792,torquemada,PL,23584892164398,
3,21.58,Scala,1606139008477,3311704,937073,Krlos,ES,18241478681928,
3,21.5,Scala,1606139008477,3309712,412692,Byte,UA,53439481792807,
3,18.63,Scala,1607192158989,3340747,1930837,dacr,FR,11987490923775,
3,15.47,Scala,1606139008477,3309191,4053388,Martin11235,CZ,,
2,32.49,Scala,1658713761027,4405187,3344746,Piopio,CA,94457085477856,
2,30.28,Scala,1606139008477,3307845,1740037,ereiam,FR,12669494111004,
2,30.03,Scala,1606139008477,3311158,1754955,nailyk808,FR,53638325014187,
2,29.32,Scala,1606139008477,3309819,3695567,JanUlrich,DE,,
2,28.57,Scala,1606139008477,3307570,1615303,Tekiflo,FR,53931367015583,
2,28.43,Scala,1606139008477,3311104,1355842,slaghn,FR,9497958714123,
2,28.39,Scala,1606139008477,3307912,281532,SekoUrsil,FR,3620318539823,
2,27.26,Scala,1606139008477,3310953,1419744,esziger,SE,8844477694020,
2,24.5,Scala,1606139008477,3308007,4049788,iKvitka,UA,61910405695647,
2,23.03,Scala,1606139008477,3308825,2482615,Zenobia,FR,17376295118952,
2,21.96,Scala,1617578264233,3487488,1067294,NotKris,BG,2869133116604,
2,21.54,Scala,1606139008477,3313769,3818502,LitlBro,FR,44521668824323,
2,21.52,Scala,1606139008477,3310836,1894182,Bluesheeptoken,FR,12046904321674,
2,21.47,Scala,1606139008477,3311003,3127043,snatz,FR,53791122015736,
2,21.38,Scala,1606139008477,3309854,3471809,valentinHenry,FR,53705488927898,
2,8.67,Scala,1606139008477,3310573,3797016,hauke,DK,44538862524460,
2,8.66,Scala,1606139008477,3314356,4068065,Johnatan,ES,94698385902465,
2,8.66,Scala,1606139008477,3308870,2496972,Blacksoul,CA,19466342175507,
1,21.73,Scala,1606139008477,3308513,1717345,kotobotov,RU,69054102294709,
1,21.72,Scala,1606139008477,3309893,2065395,dho,FR,,
1,21.67,Scala,1606139008477,3313149,1103132,murdix,FR,14143286616148,
1,21.65,Scala,1606139008477,3307860,957467,StopKran,RU,63377807690000,
1,21.61,Scala,1606139008477,3313768,3887001,Vreid,FR,,
1,21.57,Scala,1606139008477,3314172,154402,Yoru42,FR,19468433950286,
1,21.45,Scala,1619701402271,3524413,1425182,Dipucian,GB,4437991309458,
1,21.4,Scala,1619791020425,3526612,2089692,raxkin,ES,63304428623584,
1,16.38,Scala,1606139008477,3308111,1916967,Hoppus,FR,,
1,9.23,Scala,1657036104556,4382366,4258619,Giyom,FR,92669529090634,
1,9.23,Scala,1606139008477,3311067,174205,ElleryAree,FI,,
