league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=8473|time=2023-10-21T06:07:40
5,29.94,C++,1675018311423,4724320,4063805,viewlagoon,JP,106899386459507,
5,29.2,C++,1606832745534,3332311,154984,_Royale,FR,17869369984436,
5,29.16,C++,1606139008477,3312396,832306,pb4,FR,10135289026547,
5,29.11,C++,1606511520388,3324423,735910,Agade,CH,1997542876524,
5,28.61,C++,1607418312237,3345105,3348388,bowwowforeach,JP,60374424199081,
5,28.34,C++,1643649525606,3990221,3819989,KawattaTaido,JP,54685703661094,
5,28.16,C#,1611136114731,3396300,2907009,Arnaud.Net,FR,43971600119231,
5,27.43,C++,1607112301718,3339073,668954,Fluxor,FR,1832090086325,
5,27.28,C++,1606139008477,3314230,1400179,reCurse,CA,58850847098890,
5,27.1,Java,1606778557334,3331265,893541,wala,FR,97577641170180,
5,26.91,C++,1607085388403,3338370,3193653,karliso,LV,54368321987353,
5,26.44,C++,1606632169080,3327415,4062038,delineate,US,95521360081166,
5,26.41,Java,1606340174143,3320596,826372,skyyker,RE,54542165670172,
5,26.38,C++,1612999641054,3425679,1629259,Marchete,ES,61997162908277,
5,26.02,C++,1606229959891,3317609,2184856,MichalOp,PL,43118806784965,
5,25.64,C++,1606343962315,3320735,3457031,YurkovAS,RU,33020204289704,
5,25.63,C++,1606997199869,3336541,3380418,Von-Karma,FR,30035028535170,
5,25.6,C++,1606139008477,3313800,805067,Magus,FR,24623991925371,
5,25.55,C++,1606395236875,3321578,1671658,Kirbiby,FR,28998644710449,
5,25.55,C++,1606139008477,3313788,1314316,jolindien,FR,14585204616953,
5,25.4,C++,1606139008477,3313810,837436,aropan,BY,68849260530594,
5,25.39,C++,1650744443609,4129633,154312,ThomasNicoullaud,FR,55202507296689,
5,25.35,C++,1607259396021,3341976,1335230,jft63,FR,24907820247515,
5,25.32,C++,1606230133027,3317616,2968035,DomiKo,PL,46567648927625,
5,25.27,C++,1607513960178,3346871,820000,ValGrowth,JP,95440985747208,
5,25.15,C++,1648995834694,4061665,2924895,trictrac,FR,23056996012330,
5,24.98,C++,1606139008477,3308061,1732414,ClosetAI,GE,21036486033675,
5,24.94,C++,1606150852732,3315032,3436443,Mazelcop,FR,32793283199584,
5,24.82,C++,1654445465857,4312571,1870832,Jino42,FR,11504677296399,
5,24.62,C++,1606139008477,3312980,1944726,bourgeof,FR,12115914449796,
5,24.62,C++,1665369604523,4486443,4067707,therealbeef,KR,54066924332220,
5,24.56,C++,1610744695884,3391397,2311105,kovi,HU,20774306904131,
5,24.52,C++,1606139008477,3314168,880353,zasmu,FR,22237226756102,
5,24.5,C#,1606404938796,3321850,1378958,Illedan,NO,16222515698472,
5,24.42,C++,1606139008477,3307873,351062,Neumann,FR,17173563008577,
5,24.23,C++,1647469665142,4036111,4334077,VonDerManzen,GB,112386561634822,
5,24.05,C++,1606922791073,3334884,507383,Vadasz,HU,,
5,24.02,C++,1606139008477,3312842,1853999,Rounddice,CH,12007987924953,
5,23.96,Rust,1607094630582,3338636,2288263,dbdr,UA,43448306132121,
