league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=22|time=2025-05-25T04:16:39
5,17.58,Kotlin,1623065276151,3704406,4273089,AlexWin,DE,,
5,17.37,Kotlin,1726821428682,5579614,5707591,MMPeterson,EE,,
5,16.59,Kotlin,1621774352009,3682880,3735813,chris_cc,DE,64863620570910,
5,16.26,Kotlin,1622284171016,3692722,4273069,Friedemann,DE,65768443730393,
5,15.86,Kotlin,1621721741953,3682269,4311629,Todo_Name,DE,63113484110786,
5,9.86,Kotlin,1535632314794,2052768,2720216,ilgiocatore,RU,55263688781564,
5,9.57,Kotlin,1622631340537,3697833,4272914,sanSebo,DE,62189207544971,
4,19.85,Kotlin,1747486130453,5864882,3502478,tachan,JP,,
4,17.82,Kotlin,1721234238444,5536600,4605552,JuanGuevara,CO,100420362269478,
4,17.34,Kotlin,1703300602880,5174618,4866094,Peken-bower,MA,116810648950720,
4,13.67,Kotlin,1568643197624,2490553,1645228,mnahkies,NZ,10476884301264,
4,12.66,Kotlin,1745567396034,5845693,5160168,sebkro,DE,94478061102410,
4,6.18,Kotlin,1593972581058,3029246,3544205,damian_l,PL,36431604731694,
4,-0.56,Kotlin,1591179204412,3002100,3226448,tobk,DE,34085008032999,
4,-0.63,Kotlin,1615360825733,3456593,1624708,lifran,US,54053746330759,
3,13.26,Kotlin,1726495596169,5576836,4747169,NeonAffe,DE,78843645162424,
3,9.76,Kotlin,1507283421620,1474501,1715391,Skolin,DE,9288643166127,
3,0.0,Kotlin,1536734466983,2064365,2489304,Yawp,FR,,
2,13.29,Kotlin,1597012686472,3058682,3890304,Ulkan,FR,48210026392607,
2,-4.57,Kotlin,1651760130335,4268678,4061750,dStulle,DE,53854800950845,
1,18.85,Kotlin,1519754047098,1673949,2476180,tujhex,RU,,
0,16.2,Kotlin,1711165340188,5347294,6021623,Aquiladvx,BR,,
