league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=21|time=2025-04-15T04:15:57
5,17.45,TypeScript,1626187138240,3751943,1845617,Shingy,AU,26010702723839,
5,14.97,TypeScript,1689023733246,5000625,5397591,Gortar,FR,100798384982022,
5,14.61,TypeScript,1728945512611,5597568,1040219,Imre,EE,111678140811232,
4,16.82,TypeScript,1650959816831,4162995,2373953,Dridriun,FR,64609504937617,
4,15.46,TypeScript,1726825078197,5579630,4895489,Voivalvatti,FI,84116943720574,
4,14.06,TypeScript,1598564819996,3077071,1772789,sh4l,FR,48404942659443,
4,13.61,TypeScript,1675301896012,4727351,4396325,Unai21,ES,82261380295585,
4,0.81,TypeScript,1654264679994,4310491,4340885,Gotox29,FR,77101489329602,
3,17.41,TypeScript,1744662791092,5836727,6198357,Paul_LVD,FR,,
3,14.74,TypeScript,1607350380044,3344048,4057146,P.L.S.,FR,95538467302930,
3,14.1,TypeScript,1714489726909,5372429,6065889,Magpieduck,FR,,
3,13.06,TypeScript,1605175952545,3174141,1045485,Jessie,FR,9025608819920,
3,12.24,TypeScript,1744565671863,5835797,6030146,Jar Jar Binks,FR,121456348713042,
2,13.38,TypeScript,1697359954551,5077379,2545056,Bill876,RU,65816649137891,
2,11.22,TypeScript,1586229073165,2760990,3741382,Cactus1337,CA,,
1,18.65,TypeScript,1648125672999,4044353,3932889,Portokali,NL,,
1,18.3,TypeScript,1701444553683,5125831,4259569,Les InTStructibles,FR,113567688387274,
1,14.17,TypeScript,1603218565554,3141510,3842838,Streusel,DE,,
1,13.6,TypeScript,1740941324150,5795696,6517970,vitorcpm,BR,140438023765625,
1,13.46,TypeScript,1627761577733,3774325,4452261,gppereira,BR,,
1,10.05,TypeScript,1683869936169,4822385,5419130,thiagofp0,BR,,
