league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=14|time=2021-02-18T00:42:18
1,34.93,C++,,3419691,2923506,darkhorse64,FR,23496414257567,
1,32.64,C,,3425524,2924895,trictrac,FR,23056996012330,
1,31.72,Rust,,3431861,3337117,timbersson,GB,31946722637374,
1,31.72,C++,,3432926,1479930,LeRenard,FR,40384564000700,
1,31.03,Python3,,3425816,2290633,field3,JP,75961127697737,
1,28.52,Python3,,3420853,311035,leojean890,FR,42398427701382,
1,22.15,F#,,3433043,973040,papyjo,FR,15696776172839,
1,21.92,Python3,,3419115,3903473,Konstant,PL,47882887732604,
1,20.76,Java,,3421266,3443015,Wozniak,FR,,
1,18.66,PHP,,3427933,1412263,PatrickMcGinnisII,US,75707267075165,
0,18.93,Python3,,3424055,3846244,JLukeSkywalker,US,46282060365828,
0,14.08,C#,,3416800,3274956,LeProfesseur,FR,,
0,8.76,Python3,,3420969,1713174,BigUP,FR,9962854189979,
0,8.5,C++,,3416578,3354337,Westicles,CX,79146641399080,
