league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=22|time=2024-05-23T04:08:07
5,21.62,TypeScript,1604528535688,3161904,3918583,mikmak,FR,48134583112917,
4,24.2,TypeScript,1660051778101,4418958,5021346,funtuan,TW,88552567941031,
3,14.27,TypeScript,1611874437635,3408544,3171976,horvbalazs,HU,25768970056823,
3,12.85,TypeScript,1666546364243,4505153,3972833,Lukasteri,CZ,71838565688015,
2,20.58,TypeScript,1636573364326,3892088,1221498,Tallyrald,HU,53973865829030,
2,17.97,TypeScript,1646671050593,4026482,1452657,Pebloop,FR,79354324515698,
2,16.39,TypeScript,1637045018270,3897698,4587458,kgbr,HU,73517407128310,
2,13.66,TypeScript,1656686839371,4375030,4308281,Davidxyz,GB,,
2,9.96,TypeScript,1641986572807,3968156,1198619,Ocy,LU,,
1,16.07,TypeScript,1695391576180,5058375,5702397,4711,DE,113530529434435,
1,15.89,TypeScript,1664211964067,4469974,4743030,AleDev3,AR,,
1,13.89,TypeScript,1686618216370,4969023,4907484,LFabre,PT,104664620606325,
1,12.55,TypeScript,1666547316312,4505174,5143377,surka,CZ,92380561768192,
1,12.45,TypeScript,1604335956307,3158704,3477071,CookieMonster2703,CH,33824304033552,
1,10.92,TypeScript,1634757148316,3868739,3934202,whatsitch,CH,,
1,5.41,TypeScript,1675700669767,4731476,4175879,wrygiel,PL,,
1,4.94,TypeScript,1646710866215,4027061,4093870,kmarton,HU,,
1,4.12,TypeScript,1702035946565,5132077,5023423,wpbawsed,TW,,
1,1.08,TypeScript,1610721270382,3390847,4090347,kobesz,HU,,
1,0.58,TypeScript,1610728765096,3391057,4093105,TKalman,HU,,
0,23.06,TypeScript,1714145744575,5370529,6060362,starflight,US,122808349438028,
0,5.24,TypeScript,1628694686970,3787995,4257619,piza,US,89526084195697,
