league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=45|time=2025-01-06T04:10:36
5,22.95,C,1661366634821,4432000,2924895,trictrac,FR,23056996012330,
5,21.25,C,1656942355309,4379413,972854,MrXo,US,1868946456074,
5,12.77,C,1656945544090,4379936,2600846,tom78,FR,103727009391873,
4,22.42,C,1669250480960,4539552,886483,R4N4R4M4,FR,7943435133357,
4,21.66,C,1656945692744,4379968,1783604,Vry,FR,13586498256488,
4,5.3,C,1656941943828,4378535,4846124,aper_la_vipere,FR,82768581500303,
3,27.6,C,1656941830143,4378227,2320527,Decerebral,FR,15662784458237,
3,22.86,C,1656942438953,4379597,4873235,Draktur,FR,86097146481209,
3,21.62,C,1656942440111,4379600,4957847,Jereverd,FR,85926921891591,
3,21.32,C,1656942354104,4379410,4948994,azanane,FR,85644944802082,
3,21.16,C,1656941884082,4378374,2438011,Findo,BE,16898097270828,
3,18.72,C,1656942321594,4379340,4952977,Benhoeil,FR,85821348447346,
3,13.6,C,1656941828173,4378220,4518887,knhknh,DK,83268925415602,
3,13.59,C,1656942392190,4379470,1667236,Nerwosolek,PL,64252848842525,
3,11.94,C,1656942364862,4379420,4949703,Chamagie,FR,85714100991220,
3,11.62,C,1656969398684,4380895,4924440,ARR23,IT,,
3,11.6,C,1656952126772,4380378,4523363,Nikgame,DE,71675444443159,
3,11.48,C,1656950602640,4380141,3737834,Crosility,US,85259042099565,
3,10.28,C,1656950611609,4380148,4939724,allegedly,GB,,
3,2.73,C,1656951422772,4380305,4920547,Nic04nic0las,FR,,
2,21.25,C,1705155988600,5281624,4812334,~W1S,MA,86194907676810,
2,21.09,C,1689793832365,5007719,4951813,rbony,FR,127302040023211,
2,20.31,C,1703902280661,5206481,4961097,DInuuu,IN,,
1,5.5,C,1656942392849,4379472,4791384,orbiay,MA,80342286181936,
0,18.21,C,1656942177096,4379102,4966727,LRNCBCode,CA,,
0,18.12,C,1656942428886,4379577,4368310,uncle_j4ck,FR,86556948068971,
0,18.11,C,1656941938832,4378530,4951436,bluez00,IN,,
0,18.09,C,1656941991481,4378646,4957070,Mr_Saran,PK,85880684977205,
0,18.08,C,1656941929415,4378499,4787445,Mahoninna,TR,,
0,18.07,C,1656941840227,4378255,880123,M4nd4ne,FR,,
0,18.01,C,1656942451516,4379617,4922439,PRAVEENSAI,IN,,
0,17.9,C,1656942129487,4378979,4831125,lil_zack,MA,115785000750430,
0,17.89,C,1656942163567,4379069,4203652,fatm4ge,PL,112770801321254,
0,17.89,C,1656941981950,4378616,4828387,Berkoukech,MA,105357807160508,
0,17.88,C,1656941853444,4378298,4953067,uwurw,CN,,
0,17.84,C,1656942466113,4379653,4522846,STIRNER-CODE,MA,,
0,17.82,C,1656941853053,4378297,4948849,le-l,FR,,
0,17.76,C,1656942441967,4379604,4964713,soumag,MA,,
0,17.72,C,1656942370719,4379431,4753367,Lolabie,MA,99809805634852,
0,17.71,C,1698315636110,5087787,5399460,Sithuw,MM,,
0,17.63,C,1656941790429,4378116,4839643,Nuke_NR,HR,84831905320501,
0,17.58,C,1656942333518,4379364,4835590,nikeo,CN,,
0,17.54,C,1693670370140,5042661,5406211,Saucisse42,FR,114673885599335,
0,17.48,C,1656942432291,4379583,4958590,Riumuru,IN,,
0,17.48,C,1656942398172,4379498,4859760,G44R4,MA,95439125674419,
