league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=30|time=2023-11-17T04:07:42
5,24.66,Go,1657546240273,4389879,4154326,montplusa,JP,60315000863420,
5,12.08,Go,1656945528242,4379919,4879629,alfcap,FR,83526349277989,
4,23.81,Go,1656945568464,4379938,1711397,DiogoGiassi,BR,9479385050848,
4,23.73,Go,1656945042559,4379792,2187553,Cromel,BY,20528977382643,
4,23.6,Go,1656945752617,4379974,3411499,gymnasty,JP,31289785555579,
3,25.3,Go,1656693136843,4375266,3597780,EParisot,FR,44526644211323,
3,24.83,Go,1656941892604,4378398,2715508,Anth,SE,43943627200135,
3,23.67,Go,1656942312998,4379320,1328296,Kellthazar,BR,60715487694246,
3,18.74,Go,1656942227147,4379166,3670368,rossigee,TH,44063841681948,
3,14.97,Go,1656966312597,4380755,1144135,Kh42z,FR,4466724052795,
3,12.34,Go,1656951188009,4380249,1685538,NoctalIvan,FR,18191684827813,
3,12.33,Go,1656951192008,4380253,3784861,thiebt,FR,85148545908386,
3,11.78,Go,1656951734675,4380334,4588175,NeilNaveen,US,,
3,10.54,Go,1656952001400,4380364,815710,Frax,DE,2148847307823,
3,7.55,Go,1656951064774,4380240,1469655,dreuhdreuh,FR,92011827751402,
3,2.04,Go,1656951805475,4380349,338469,__mcts__,FR,35472269132292,
2,15.6,Go,1656952552420,4380410,866947,N0H08,FR,,
2,15.57,Go,1656953654019,4380461,2106704,SilicalNZ,NL,44669282138912,
2,9.82,Go,1656950650695,4380177,224325,[BZH]TidyMaze,FR,2654133392410,
1,8.19,Go,1656942176173,4379098,909782,Harkness,BR,26128110758627,
0,18.03,Go,1672132284967,4639897,1653268,YikeyYikes,ZA,10995117737856,
0,17.95,Go,1656941844648,4378268,2746799,eal,SE,20344589462914,
0,17.92,Go,1656942177586,4379103,4958970,jonavon,JP,,
0,17.74,Go,1656941916836,4378472,4865140,demetedPufferfish,US,107758507137957,
0,17.72,Go,1656942338276,4379376,659645,gram,NO,,
0,17.69,Go,1656942484120,4379691,4959769,joshyboi,US,,
0,17.6,Go,1656942124953,4378959,4434380,unowne,IN,67743421750089,
0,17.58,Go,1656942423881,4379565,1087220,Medmed,FR,54256863248837,
0,17.58,Go,1656942160653,4379059,2141443,Sarzorus,CA,74760409531781,
0,1.18,Go,1656942264312,4379230,4956771,KingWhitfield2011,US,85870187599222,
