league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=62|time=2025-01-08T04:10:41
5,24.67,Rust,1656959024727,4380625,4274197,i8fbnkyw,JP,61907809330896,
5,21.99,Rust,1657018484687,4381793,1838612,statiolake,JP,58633349661174,
5,21.5,Rust,1656945451368,4379835,2830367,daiver19,US,44078185636808,
5,21.43,Rust,1656942237326,4379192,3918583,mikmak,FR,48134583112917,
5,21.0,Rust,1657124491186,4383936,4506498,TimeEngineer,FR,70268445540702,
5,20.87,Rust,1656945470239,4379857,4318575,ChiyosBigDragon,JP,63619688936533,
5,17.78,Rust,1656945466348,4379853,4327074,sca1l,JP,63724429506947,
5,17.52,Rust,1656945496008,4379882,4324248,wattaihei,JP,82521565542327,
5,17.25,Rust,1656945510362,4379897,3770735,ryo_n,JP,42929547001484,
5,16.93,Rust,1656945678608,4379958,2238146,stem,RU,,
5,16.86,Rust,1656945458363,4379845,1314162,Gobi03,JP,17461719592958,
5,16.52,Rust,1656945511318,4379899,3775656,Folichon,FR,82632903880069,
5,16.32,Rust,1656945610219,4379947,4856489,yunix-kyopro,JP,85771424515174,
5,15.07,Rust,1656945486259,4379873,1060181,Dabou,FR,3798025078627,
5,15.02,Rust,1656945488266,4379875,4078988,MiKaOdO,FR,77861307151302,
5,12.06,Rust,1656945542438,4379934,4883159,rs02,JP,,
5,8.49,Rust,1656945536234,4379928,4321208,koka831,JP,64250920569257,
4,21.24,Rust,1711668744506,5351891,4844841,elp_elp,FR,95087361900551,
4,18.18,Rust,1656942234880,4379187,271945,aangairbender,UA,6101760651670,
3,25.73,Rust,1656942224125,4379154,4356869,mateusvmv,BR,,
3,25.15,Rust,1656942224542,4379156,2392470,ntk_ta01,JP,81639228200754,
3,24.43,Rust,1656941871496,4378333,3039012,matsu7874,JP,35349142191786,
3,24.3,Rust,1656732788585,4375801,1333727,m_buyoh,JP,19427781980400,
3,22.47,Rust,1656942224312,4379155,4062203,soraie,JP,61090083488718,
3,21.04,Rust,1656942273481,4379252,924752,Ralbatros,CH,82720626675392,
3,20.59,Rust,1656942180440,4379110,1883154,SpectralFlame,BE,54041421796171,
3,19.89,Rust,1656941924622,4378489,1603088,HyperDec,FR,19948073929165,
3,19.82,Rust,1656942269263,4379241,1294784,Janosimas,NL,71365320822808,
3,19.81,Rust,1656942184629,4379116,826655,[lazy]Opera,RU,,
3,18.13,Rust,1656942315216,4379325,4257906,NotSureWhyThisWorks,AU,115801307841624,
3,17.94,Rust,1656941995992,4378657,3864752,MuddySneakers,US,45990545847301,
3,17.77,Rust,1656942230170,4379173,1717276,gasin,JP,54117146821452,
3,17.15,Rust,1656670298020,4374525,4317078,shamio,JP,69709568601658,
3,17.01,Rust,1656942090348,4378877,2407868,ravenbluedragon,AU,16537425026313,
3,14.86,Rust,1656941929704,4378501,2385353,Uzere,GE,,
3,14.63,Rust,1656942334891,4379369,2691435,rmizuta,JP,85833404029342,
3,14.41,Rust,1656942185020,4379118,3839774,gurvan_lullien,FR,50166403046090,
3,14.39,Rust,1656942287985,4379268,3820553,terry_u16,JP,44571201945533,
3,14.27,Rust,1656942118161,4378936,2184856,MichalOp,PL,43118806784965,
3,13.86,Rust,1656942078462,4378840,904881,lpenz,IE,3716396377696,
3,13.67,Rust,1656942056588,4378792,2927878,ikd,JP,44614246738648,
3,13.58,Rust,1656941912947,4378455,4331780,AnicetNgrt,FR,85693480647453,
3,13.18,Rust,1656942165294,4379075,1404934,tarriel,AU,40400349677311,
3,13.11,Rust,1656942130977,4378987,445200,khreenberg,DK,2148121913785,
3,12.53,Rust,1730457084554,5611051,5087636,JeSuisMoi,FR,90626467460704,
3,12.1,Rust,1656968588018,4380852,1356356,BaconPepe,LT,5455597388985,
3,12.03,Rust,1656969400071,4380896,4823252,JackMc,GB,81235500609221,
3,11.39,Rust,1656950602007,4380140,628171,xyz600,JP,17460644028033,
3,10.31,Rust,1656950841190,4380191,1861258,Nazdhun,DE,11477900555178,
3,9.95,Rust,1656951196008,4380258,1452953,a9ua1i0n,JP,,
3,8.46,Rust,1656951200715,4380263,1890261,volrk,FR,,
3,6.95,Rust,1656951803266,4380347,4259902,Nalisco,FR,110149381017411,
3,1.2,Rust,1656950645622,4380170,4324870,takatom,JP,63813767736680,
2,5.24,Rust,1656955190034,4380509,1179357,avdg,BE,28437229401065,
2,4.14,Rust,1656942171681,4379089,1251735,cthulhu.den,GE,,
1,13.05,Rust,1656942173778,4379095,3668382,vchapman,US,,
1,10.14,Rust,1656942019587,4378721,884367,frozar,FR,3597039984066,
1,8.85,Rust,1656941979393,4378609,523161,PlayLikeNeverB4,RO,83600766011946,
1,8.51,Rust,1656942121680,4378948,4205154,tuna_in_cream,HU,60791864998463,
0,17.95,Rust,1656941992634,4378651,155008,Majavar,FR,12183872595206,
0,17.79,Rust,1656941793148,4378125,4871515,cl17,JP,83054743193054,
0,17.49,Rust,1657652890609,4391297,309203,BadWolf,FR,5527382480421,
