league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=10|time=2025-01-16T04:09:47
0,40.85,C++,1734271894783,5649589,3727174,Crazy_Remi,FR,42091389678583,
0,39.68,C++,1736921824052,5751068,3136787,jacek,PL,75369242083208,
0,37.67,C++,1736892816443,5750524,2522090,MSmits,NL,17784428403916,
0,29.19,C++,1736801262510,5749324,1479930,LeRenard,FR,40384564000700,
0,27.81,C++,1734527301501,5652604,2923506,darkhorse64,FR,23496414257567,
0,23.64,C++,1734291803309,5649845,1489865,EricSMSO,FR,10005277870281,
0,23.6,C++,1736958919882,5751383,3233347,MrSubZero,FR,,
0,20.66,C++,1733834944500,5645308,3015376,gaha,PL,124260106226836,
0,10.91,C++,1734161924558,5648625,3569066,derjack,MC,64869146225502,
0,10.49,C++,1734214481611,5649126,862919,Astrobytes,GB,60413902297900,
