league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=40|time=2025-06-01T04:26:15
0,38.74,C++,1747407910976,5864352,3971358,OldJohn,FR,63565949763225,
0,37.8,C++,1747309430556,5863339,154984,_Royale,FR,17869369984436,
0,34.34,C++,1738821871913,5772991,3233347,MrSubZero,FR,137686546685179,
0,30.25,C++,1734271894783,5649589,3727174,Crazy_Remi,FR,42091389678583,
0,27.58,C++,1739182970032,5776861,2522090,MSmits,NL,17784428403916,
0,26.48,C++,1743344432886,5824990,3136787,jacek,PL,75369242083208,
0,25.79,C,1747306172727,5863325,1437335,anochastic,FR,135462763517179,
0,21.34,C++,1745608922396,5846052,1479930,LeRenard,FR,40384564000700,
0,20.02,Python3,1734458444873,5651697,2290633,field3,JP,75961127697737,
0,19.88,C++,1734527301501,5652604,2923506,darkhorse64,FR,23496414257567,
0,19.81,C,1739722392093,5782973,4687360,thomas.schuerger,DE,77623682146098,
0,19.45,C++,1734291803309,5649845,1489865,EricSMSO,FR,10005277870281,
0,18.93,C++,1733834944500,5645308,3015376,gaha,PL,124260106226836,
0,18.26,Python3,1743569146023,5827422,3647844,rc95401,US,39486169555819,
0,17.1,C#,1733854532034,5645556,1378958,Illedan,NO,16222515698472,
0,16.93,Python3,1734531545719,5652671,1802967,Meruem,FR,31992166318610,
0,16.86,C++,1737042614266,5752377,3569066,derjack,MC,64869146225502,
0,15.8,Python3,1734499446998,5652285,1176436,yuricat2,JP,121417623045582,
0,15.41,Rust,1748603794303,5875849,1861258,Nazdhun,DE,11477900555178,
0,15.2,PHP,1738050943576,5763524,2631176,Sedera,MG,43718808156249,
0,15.12,C++,1742230156638,5809888,6524101,[CG]OpenAIGPTO1-CPP,FR,140576821413920,
0,10.9,C++,1734214481611,5649126,862919,Astrobytes,GB,60413902297900,
0,10.16,Java,1737639860155,5759662,6458367,yaMC,FR,,
0,8.98,Python3,1740298783068,5788950,1179950,EchoesOfEven,US,144361205040996,
0,8.73,Java,1739773056097,5783557,5163410,LOKI_78,LU,93367947956362,
0,8.6,Rust,1733982067851,5646737,4277867,About,SM,65816469118906,
0,8.11,PHP,1734594361634,5653548,1412263,PatrickMcGinnisII,US,75707267075165,
0,8.03,Java,1733958101627,5646582,6408970,winny567,RU,,
0,7.98,C#,1748567808164,5875362,3563934,ChuckTheNinja,US,50520780935948,
0,7.09,Python3,1742234755732,5810003,6524096,[CG]OpenAIGPTO1-Python,FR,140576741211063,
0,5.84,Python3,1742567198296,5814400,6557757,[CG]OpenAIGPT4o-Python,FR,140576741211063,
0,4.9,Python3,1743175490309,5823122,6571750,[CG]CohereCommandA-Python,FR,141869844939997,
0,2.85,Python3,1739987801528,5785674,6475280,cJIenou,RU,,
0,1.11,Python3,1742463631735,5812887,6555505,Kasem_hnk,FR,,
0,-3.16,Python3,1743244277917,5824167,6557778,[CG]Gemini-Python,FR,140576741211063,
0,-3.4,Javascript,1741616361966,5802776,935744,Alcalyn,FR,12077756999042,
0,-3.78,Python3,1741946233860,5806374,2364617,RomainPicot,FR,121006507095295,
0,-3.82,Python3,1743018549605,5820769,6568592,[CG]MistralCodestral-Python,FR,141768480670065,
0,-9.52,Python3,1743019380479,5820874,6557771,[CG]Llama3.8b-Python,FR,140576741211063,
0,-12.16,Python3,1742895108652,5818620,6557765,[CG]Claude3.7Sonnet-Python,FR,140576741211063,
