league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=31|time=2024-12-20T04:10:38
6,23.81,Go,1732179895394,5632136,224325,[BZH]TidyMaze,FR,2654133392410,
6,22.54,Go,1590582720652,2993789,2007852,Zorg1,FR,16542412157988,
6,22.3,Go,1587492444883,2828388,2115491,Haashi,FR,13769252859943,
6,21.4,Go,1487187942019,971321,1178656,fmhr,JP,63614888374494,
6,20.77,Go,1544473441139,2163482,3010153,philolight,KR,,
6,19.72,Go,1545820921048,2200124,1481685,Kuruggy,KR,,
6,19.38,Go,1514875574140,1615024,855492,Erk,FR,2877561401522,
5,16.28,Go,1478720497869,790514,347029,Kevapo,FR,4950639196511,
5,14.06,Go,1734030923995,5647363,4588175,NeilNaveen,US,,
4,19.44,Go,1691720341159,5027539,4895548,zhizhemodi,CN,,
4,14.65,Go,1480033224094,807919,1600906,Rots,DE,6814567492054,
4,14.47,Go,1478385747079,786968,944365,thomas.colibert,FR,8227629073847,
4,13.53,Go,1615822278011,3463380,3010160,GenieJang,KR,23437399221145,
4,11.96,Go,1510503460526,1508859,1680988,.[-_-].,US,30413644102236,
3,15.23,Go,1499721501079,1391410,1533991,Asfalots,BE,5830014190221,
3,12.43,Go,1478121199526,783840,1542522,Lerikio,FR,11150716262049,
3,11.66,Go,1480005536917,807224,828213,anst,FR,1734651202684,
3,9.18,Go,1516208866141,1628763,1542663,Furenshua,FR,6013171501037,
3,8.31,Go,1572894056147,2590736,1579196,Admiral_Larimda,ES,6874826257781,
3,6.87,Go,1502875477063,1424487,527749,Pds,FR,4195444247778,
2,11.28,Go,1668448213646,4525679,5182914,road-to-top-100,VN,,
1,15.9,Go,1606243174284,3318131,1119963,Katje,BE,54512483667199,
1,13.3,Go,1478107933979,783375,193200,rkj,FR,1841226903575,
0,14.93,Go,1575643106941,2619665,322737,Nangini,FR,24010103249126,
0,13.96,Go,1678522716680,4763123,4389951,Mahdan,IR,107576526575792,
0,13.56,Go,1616779826975,3476960,4247111,joshau,US,60848643152152,
0,13.42,Go,1638342819127,3915602,4628899,bigorgin,CN,,
0,13.02,Go,1617729174758,3489735,4254045,2kpro,US,61505524726045,
0,12.83,Go,1543782171945,2147447,1415016,Nazgaret,UA,18763897743568,
0,11.89,Go,1711812759057,5353049,6032672,zd_2,HR,,
0,2.14,Go,1478177516511,784465,1479888,FrancoisLecoufle,FR,21916451675942,
