league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=50|time=2025-02-26T04:11:19
6,21.27,PHP,1530922944075,1942120,156188,DorianWilde,FR,1753926884442,
6,21.12,PHP,1580176503434,2664096,959402,gmessier,CA,5578050562091,
6,20.81,PHP,1479325294149,797811,153057,PierralF,FR,1762452918913,
6,20.16,PHP,1481593406015,884655,802171,Merome,FR,1833057833457,
6,19.13,PHP,1620305138650,3538398,320053,Zbug,FR,40560165927950,
6,14.45,PHP,1479498096014,800340,1475507,Rigg7,RU,7917420243803,
5,10.33,PHP,1626967239337,3762488,4436635,Kardoken,FR,67939560780566,
5,0.15,PHP,1483980356385,916221,1478582,Ez4,FR,4947879258205,
4,21.68,PHP,1478108514208,783394,1592392,Nanolucas,AU,6763151314438,
4,16.89,PHP,1530473800145,1937951,2255187,rom_02,FR,15159656953949,
4,15.28,PHP,1621648383012,3681089,3060362,G10,CO,,
4,14.72,PHP,1547785725225,2223387,1412263,PatrickMcGinnisII,US,75707267075165,
4,14.71,PHP,1704453848820,5241004,1093968,milosMATRIXrepic,RS,117470302748056,
4,14.38,PHP,1599421968249,3086542,399861,Srekcud,BE,5881128575003,
4,14.09,PHP,1560444738523,2421082,2928146,LolCat,MU,22538133010433,
4,13.43,PHP,1510459199236,1508503,1854639,iDxMeG,FR,11242007512344,
4,11.63,PHP,1479889257726,805218,1391234,DeathMask,FR,,
3,18.75,PHP,1628966664106,3791638,304126,Kami...,FR,10057081063920,
3,17.47,PHP,1478182683169,784583,228826,Snark,FR,1793941074067,
3,15.99,PHP,1479802402620,803777,1603199,Shinidoki,DE,6877612426507,
3,13.3,PHP,1477605396376,776481,1411952,gragatrim,US,25877983628595,
3,12.88,PHP,1479289148124,797171,484031,LeSSeR,UA,1751897584160,
3,11.74,PHP,1601161338820,3110910,3305510,TBali,HU,26750785092441,
3,11.73,PHP,1477951810061,781367,1065845,Oli8,FR,2986082369890,
3,11.68,PHP,1478293930047,786010,1263638,BelAnt,RU,,
3,11.6,PHP,1478895814195,792728,820541,Johnstyle,FR,2889199792751,
3,11.36,PHP,1564575850228,2457628,155881,Xeger,CH,104405127658237,
3,11.11,PHP,1477664770016,777322,1066028,JrmC,FR,2834222029361,
3,10.4,PHP,1484589398221,923589,890125,Alban-Cho,FR,1763838689300,
3,9.97,PHP,1510419462070,1508067,2256467,Benhur,FR,16771986905532,
3,9.89,PHP,1477952051142,781373,1434004,maxbatura,UA,8753392664309,
3,8.78,PHP,1494654558431,1237808,1986308,tautelis,LT,12553767754456,
3,8.61,PHP,1479774877121,803587,621489,lolipop,FR,12019447825834,
3,8.51,PHP,1499262724094,1385889,2073574,TeamPerruche,BE,,
3,6.5,PHP,1494614641092,1234313,1304583,eltharin,FR,4597515713317,
3,6.35,PHP,1484777276618,926979,1782017,SimLoub,GP,10297709514390,
2,12.77,PHP,1633824768160,3856823,1517356,SciuriDie,GB,,
2,12.31,PHP,1479925901220,805987,1419530,Moeinak,ES,9077918192278,
2,11.86,PHP,1652310411471,4281189,1508085,XavierRec,FR,,
2,9.54,PHP,1665513431805,4488513,1469708,DavidK85,DE,,
1,15.97,PHP,1521657866129,1739263,1285564,Rstamper,US,,
0,14.59,PHP,1477888098244,780367,1680211,ihzamaldy,ID,,
0,13.72,PHP,1484490422589,922150,1770720,Mavrick_84,MD,,
0,13.65,PHP,1640904579696,3955764,4626700,JohnyDarecek,CZ,74185100725077,
0,13.29,PHP,1495549669036,1297137,1994843,r0lakas,LT,82171800794577,
0,8.77,PHP,1538379040445,2084108,2879443,EdgarsBergs,LV,,
0,8.03,PHP,1502229473290,1419309,1853956,yoannk,FR,108956788280248,
0,2.37,PHP,1478211366147,785053,1615115,Kilorbine,FR,,
0,2.22,PHP,1642591710805,3976208,4533262,valik,LV,,
0,2.1,PHP,1493882633411,1222293,1977914,ThangaRaj,IN,,
