league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=23|time=2024-08-16T04:09:03
6,19.58,Ruby,1480038163668,807959,650661,Syro,US,3355514095677,
6,18.73,Ruby,1620305136288,3538395,1206540,Modemaizer,AM,3768974293081,
6,17.19,Ruby,1622249338108,3692410,1528274,BlanCap,FR,10199824605471,
5,11.73,Ruby,1490287881465,1106310,1060181,Dabou,FR,3798025078627,
5,0.63,Ruby,1490292873736,1106417,1698172,glop,FR,8927326140569,
4,15.39,Ruby,1510593267779,1510250,404560,Uquu,AT,15896226095125,
4,14.47,Ruby,1637947953405,3909775,3808031,_proton,US,44172683522650,
4,14.19,Ruby,1525170191242,1837606,1641160,eBobGuden,US,86007083635394,
4,14.16,Ruby,1484091230586,917599,440476,yowa,JP,7092718935506,
3,18.91,Ruby,1478620543045,789464,1608391,Swobu,US,7669932537981,
3,11.21,Ruby,1500823815084,1405956,1988531,MarcL,TH,13369149973558,
3,10.31,Ruby,1477518012028,774921,1515891,ndc,RU,57247748477088,
3,10.24,Ruby,1479998080828,806990,1351763,gatto,IT,4308899276162,
3,9.38,Ruby,1657823702138,4393596,4871512,Heeri,MG,83797043161942,
3,9.0,Ruby,1503784559874,1435444,1625948,Oleksiy,UA,19176933118283,
3,8.86,Ruby,1490576519059,1111436,1812615,HCHU,FR,12052245009033,
3,8.86,Ruby,1609237636161,3372813,2849302,ermaker,KR,,
3,8.29,Ruby,1528434766153,1878188,2572485,DGynn,US,18568972569137,
3,8.22,Ruby,1506591052058,1467240,2021126,FPSCUBE,FR,12916810121106,
3,7.69,Ruby,1514563824098,1612474,837350,BorisZ,RU,4405751597540,
2,11.92,Ruby,1559468084896,2408806,1728326,yduf,FR,16468113178206,
0,12.91,Ruby,1580476904355,2666702,972525,Helladan,FR,,
0,4.41,Ruby,1479084079672,795026,1038244,benben,DZ,5365936264876,
