league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=2901|time=2024-01-14T04:07:46
6,34.66,C++,1622502578844,3695980,2968035,DomiKo,PL,46567648927625,
6,34.34,C++,1571846622502,2579867,3193653,karliso,LV,54368321987353,
6,34.11,C++,1618569294238,3503912,820000,ValGrowth,JP,95440985747208,
6,33.97,C#,1579281460328,2653061,1624809,DrFekalus,HR,25767291465549,
6,33.48,C++,1553019174102,2305313,2522090,MSmits,NL,17784428403916,
6,33.44,C++,1553422557126,2309998,1327028,FredericBautista,FR,9974192266436,
6,33.22,C++,1581539658602,2677894,1629259,Marchete,ES,61997162908277,
6,32.82,C++,1619610689994,3522551,580424,siman,JP,7464902754297,
6,32.62,C++,1547889541505,2224302,1607522,RoboStac,GB,11333369102997,
6,31.91,C++,1619052030389,3512587,3457031,YurkovAS,RU,33020204289704,
6,31.62,Rust,1620228680098,3536241,2288263,dbdr,UA,43448306132121,
6,31.41,C++,1598629491738,3077876,502798,thunder,JP,20161824369368,
6,31.35,C++,1479325315667,797875,1438020,InsomniaRide,RO,,
6,31.19,C++,1479661369241,802069,1059313,_SERGE_,FR,,
6,31.13,C++,1586477217040,2770119,3071738,ClashLuke,DE,24051417445327,
6,30.75,C++,1704531202016,5248781,5849872,Mohamed_Developer_Full_Stack,GN,115793506862863,
6,30.63,C++,1583742382803,2698354,739151,Romka,BY,4990069714632,
6,30.55,C++,1481852611014,889773,1749268,chefmenthos,FR,,
6,30.36,C++,1510310106710,1506649,1520245,arxadev,CH,19455879063270,
6,30.25,C#,1578142060864,2640892,1500515,eulerscheZahl,DE,43135502422075,
6,30.23,C++,1704445931427,5240214,5882488,AliPmj,IR,116922361601872,
6,30.18,C++,1693748746080,5043212,4916990,YeLone-Chen,TW,109980561216660,
6,30.17,C++,1563889906001,2452124,1390789,Matthieu.L,FR,36482342568862,
6,30.17,C++,1683596188356,4818441,4919812,KNJSoft,CM,84567366628645,
6,30.14,C++,1684708142709,4831300,5246622,RinSakamichi,JP,95551565543088,
6,30.09,C++,1647444846026,4035567,1530750,UncleV,RU,5933736705018,
6,30.03,C++,1695230666304,5056841,5717795,Arubumba,ER,,
6,29.96,C++,1523557073054,1770949,2133361,VadimKuznetsov1,UA,18127989393834,
6,29.91,C++,1592611915194,3018066,3807227,GaryAflalo,FR,45755587170620,
6,29.89,C++,1555695719099,2336039,1734105,Katia_S,FR,13195589819771,
6,29.88,C++,1635197039813,3874748,3150053,HarveyGW,GB,72334046187376,
6,29.87,C++,1648978532036,4061400,4774584,Madara-Uchiha,US,79810249996716,
6,29.86,C++,1590584356226,2993813,3274321,JustMe.,LV,43885144302757,
6,29.84,C++,1522464924688,1754461,2114863,QWERTy,RU,13881182782356,
6,29.84,C++,1523017061081,1763141,1978320,MoonAntonio,ES,12453215285534,
6,29.82,C++,1493624897010,1219178,1348523,Numb_,FR,12609619784224,
6,29.81,C++,1606634730461,3327443,1335230,jft63,FR,24907820247515,
6,29.81,C++,1488138367021,1004807,808608,Locutus,HU,10289336954599,
6,29.79,C++,1479670900018,802215,1390607,Ivan_Derzhylo,UA,67601821029462,
6,29.79,C++,1559926169042,2414639,1288527,Snef,FR,20716524973752,
6,29.76,C++,1491941190717,1130637,1788677,Neskoss25,FR,10391660174484,
6,29.75,C++,1512125236017,1577889,1807041,Ouisticrabe,FR,10596168369853,
6,29.75,C++,1537359929599,2071616,2858060,gomson33333,KR,,
6,29.69,C++,1565790751052,2467097,854169,Silmaen,FR,26099485782783,
6,29.64,C++,1480091308624,808864,1022699,Baptistin,CH,8150635789753,
6,29.63,C++,1537989347907,2080527,1314316,jolindien,FR,14585204616953,
6,29.62,C++,1560631012560,2422956,3334588,PCSILIVRandom,FR,28679645324377,
6,29.61,C++,1479800562923,803760,1112163,JaredReimer,CA,2484631823681,
6,29.5,C++,1480210968029,815280,770792,Cercyn,FR,25514828781931,
6,29.49,C++,1554799958570,2325874,2242201,Maryan,UA,33999460575859,
6,29.46,C++,1527207604028,1862905,1829569,[0___0],UA,18841087167676,
6,29.45,C++,1642192017546,3971081,2924895,trictrac,FR,23056996012330,
6,29.45,C++,1630055954043,3803486,3514820,Inferno_dragon,VN,84043629502391,
6,29.44,C++,1495698549009,1300425,1857772,darkange69,FR,12244411619280,
6,29.4,C++,1614991276038,3451531,4205342,OreoMunchy,US,60552285599377,
6,29.32,C++,1622823576515,3701150,4036060,King_Coda,US,63698325635472,
6,29.29,C++,1695995980026,5064763,4402025,NikethanRai,IN,,
6,29.27,C++,1695823170014,5062973,5684971,AbhinavBajaj,IN,,
6,29.26,C++,1629731943293,3799994,1470927,MisterQuidam,FR,89056262115378,
6,29.25,C++,1559969370033,2415316,3334610,La_Carpe,FR,28331845206120,
6,29.23,C++,1689863726890,5008468,4070584,Dm4ster,FR,108260142126749,
6,29.23,C++,1585008382112,2719082,3293190,lhm,FR,26610668117960,
6,29.2,C++,1488354371025,1030351,1170641,ioncodes,CH,16958340250090,
6,29.17,C++,1616100409178,3467864,4111274,lerty,FR,56276680009048,
6,29.17,C++,1502366905087,1420430,2073179,Biwere,FR,13718696097951,
6,29.17,C++,1483235043017,908086,1073247,_NikJ,RS,2509638482149,
6,29.15,C++,1622076502005,3689182,3973359,KAbel,HU,58683122994198,
6,29.13,C++,1640092682705,3945066,1866525,charMlessMan,BE,,
6,29.12,C++,1559992449994,2415487,3376368,satan_is_a_lawyer,BE,29825207807397,
6,29.11,C++,1498177417731,1332172,1442155,AllAllAll,US,,
6,29.09,C++,1602678002111,3132681,3550492,Zulbukharov,KZ,36120063079832,
6,29.09,C++,1480966989574,872525,1328603,kimiyuki,JP,12008719719110,
6,29.08,C++,1560936743847,2425364,1201796,P.Greze,FR,3522907180370,
6,29.07,C++,1537359928768,2071615,2858049,gomson333,KR,,
6,29.04,C++,1551280694408,2258978,2762653,RAAAT,FR,20523458481719,
6,29.04,C++,1486296904157,950603,1116152,Flint.bat,IM,,
6,29.03,C++,1557408328133,2352624,3340615,Mpsi1BetterThanMpsi2,FR,,
6,29.03,C++,1627766247719,3774406,1309948,Runner87,IT,6963904733897,
6,29.03,C++,1603347640037,3143603,3975966,HoussemH,FR,50403921474202,
6,29.01,C++,1642951836041,3981464,3542403,franciszer,FR,,
6,29.01,C++,1646912510527,4029620,4586341,_Genesis,MA,73499061010347,
6,29.0,C++,1479325300574,797831,1528929,Blackfich,FR,95780209684968,
6,28.99,C++,1484682295216,925150,1721506,jmutz,DE,9348231477619,
6,28.99,C++,1685972324180,4953194,1539249,RobinV,NL,64019781177526,
6,28.98,C++,1560004236273,2415723,3342366,TOURISTASXXdestructorXX,DZ,28953761947340,
6,28.96,C++,1483494248018,910352,1465889,kuzmenko4ndrey,UA,9738155601135,
6,28.94,C++,1620919838672,3630076,4001904,the_red_hat,US,64404708994429,
6,28.94,C++,1666561885561,4505426,4966050,Ibrahim_laklaa,MA,108347486799294,
6,28.93,C++,1574308687254,2606939,154984,_Royale,FR,17869369984436,
6,28.92,C++,1596456890033,3051205,3866882,crystal_prince,KR,47841867877310,
6,28.91,C++,1544083511560,2151442,3033955,Bombing,FR,23668703241358,
6,28.89,C++,1605032530014,3171316,3513265,DaNinja,IE,35022107863170,
6,28.89,C++,1679599986030,4776669,5389960,Neo,BD,100454548705544,
6,28.88,C++,1640075886222,3944738,4592681,Urutar,DE,75116249775823,
6,28.88,C++,1497924907016,1329013,1852572,Lin_Cheng_De,TW,,
6,28.86,C++,1591488849867,3005864,2472606,MehdiTouil,FR,,
6,28.86,C++,1672039600034,4635644,4781063,Nicholi,US,96765521915668,
6,28.86,C++,1672363622031,4652477,5262513,seperatis,US,95991847971960,
6,28.85,C++,1637190804293,3899820,4039794,Codeab,SG,52846966412662,
6,28.84,C++,1479325299008,797826,1678798,CaptainPro,IR,12375725585098,
6,28.82,C++,1648471601022,4053841,4809631,Bruicanlas,PH,85572161743960,
6,28.82,C++,1567259718735,2479202,3465482,summar,IN,,
6,28.81,C++,1665675077020,4490974,3470270,Tabaxi3K,US,,
6,28.8,C++,1542790826871,2135917,1753424,FilkinKuiv,UA,10100504747660,
6,28.8,C++,1672363622638,4652478,4004220,Phildattente,FR,70361865729772,
6,28.8,C++,1607214317407,3341315,4089849,Tchoow,FR,56975006920332,
6,28.79,C++,1545280909187,2192845,3071149,test_gold,CO,,
6,28.79,C++,1661075160228,4429359,3600692,nimartinez,FR,88768824815130,
6,28.77,C++,1696882540047,5072851,5748524,flookhub,TH,,
6,28.77,C++,1537359927053,2071613,2858041,gomson3,KR,,
6,28.77,C++,1704531200877,5248780,5886485,LNI's Cool Kid Thư,VN,,
6,28.77,C++,1479325311465,797863,1625378,Mustafa_Kamel_saied,EG,8807018406963,
6,28.75,C++,1656863160280,4377206,4259591,yedi,IT,85062726107842,
6,28.75,C++,1519037317905,1663900,2006324,Oussama_Siharde,MA,75224840468195,
6,28.75,C++,1679405578055,4773231,4935965,AlirezaEbrahimi,IR,85279164805932,
6,28.75,C++,1573847841041,2601555,1478706,The-Dude,FR,36076349653299,
6,28.74,C++,1630653192074,3810838,3821853,Trice,HU,44661461964454,
6,28.74,C++,1671110753959,4579657,5103693,ZCXCZ,MN,,
6,28.74,C++,1627744644045,3774033,4399052,CodinBoss1234,AE,67663084101138,
6,28.74,C++,1674502121233,4718446,4826689,flookkrup,TH,82883001828475,
6,28.74,C++,1651333083710,4221392,4870649,VictoriousTriceraton,UA,82820829158124,
6,28.73,C++,1630617580717,3810377,4070745,HoriMiyamura,TO,83179788895310,
6,28.73,C++,1479325308685,797855,1071140,BeberLeNewbie,FR,9528729029244,
6,28.72,C++,1567259718060,2479201,3337488,AT79,US,,
6,28.7,C++,1670320446301,4552732,5212644,cldzn,VN,,
6,28.7,C++,1479325307028,797850,1190182,Yves,LU,5800897571406,
6,28.7,C++,1670860556031,4561635,5123124,annymous1234567890,MN,,
6,28.69,C++,1667006360735,4511116,5074490,Uuskuu,MN,92658461347788,
6,28.69,C++,1704531200407,5248779,4647001,KhangLuong,VN,,
6,28.68,C++,1571968599787,2581350,1744697,SaniX,CM,65887128368131,
6,28.68,C++,1552322681196,2277824,3211735,Fireballl,US,50070980456605,
6,28.68,C++,1695400133255,5058472,4528331,AllanB,EE,70853942028636,
6,28.67,C++,1668570750013,4527054,4050785,V.Gogh,AZ,92568145324984,
6,28.67,C++,1614963535864,3450982,4201924,Aaron7,US,59536909069440,
6,28.67,C++,1633404116370,3851921,1910916,VivienBillot,FR,53165247393812,
6,28.67,C++,1479325312177,797865,1693595,Asmaaa,EG,,
6,28.67,C++,1642148954568,3970268,1753007,Suryanto,ID,76685544987933,
6,28.67,C++,1669715616018,4544905,4424239,Broccoli14,US,68451044559194,
6,28.66,C++,1622154012389,3690953,4334406,camdan.me,US,69890546490225,
6,28.65,C++,1536927918674,2067340,2822086,dohwoo,KR,,
6,28.65,C++,1486172718018,949338,1664044,BUG,LT,8001540148135,
6,28.65,C++,1504831343021,1446113,2096064,xiao.sha,CN,13778309629915,
6,28.65,C++,1488397572018,1036292,1743393,mrbubula,UA,99479282219056,
6,28.64,C++,1643988682037,3993513,4470306,NONstope,CA,69090449693388,
