league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=17|time=2023-02-03T00:30:04
0,34.21,C,,4557696,2924895,trictrac,FR,23056996012330,
0,33.39,C++,,4722963,1489865,EricSMSO,FR,10005277870281,
0,31.83,C++,,4683792,2923506,darkhorse64,FR,23496414257567,
0,30.49,Python3,,4635701,1802967,Meruem,FR,31992166318610,
0,25.41,Java,,4557654,484004,aCat,PL,4210501575817,
0,20.43,C++,,4727177,1479930,LeRenard,FR,40384564000700,
0,20.31,Python3,,4573322,2290633,field3,JP,75961127697737,
0,20.01,PHP,,4560011,1412263,PatrickMcGinnisII,US,75707267075165,
0,11.13,D,,4558680,3136787,jacek,PL,75369242083208,
0,10.91,Python3,,4722274,2742653,0xPacman,MA,82582309535158,
0,10.64,Python3,,4694714,1713174,BigUP,FR,9962854189979,
0,10.3,Swift,,4726241,3569066,derjack,MC,64869146225502,
0,9.54,PHP,,4689190,4626700,JohnyDarecek,CZ,74185100725077,
0,9.35,D,,4589631,4277867,About,SM,65816469118906,
0,9.24,Bash,,4682349,5274188,Guest3410,US,,
0,9.24,Python3,,4583532,3647844,rc95401,US,39486169555819,
0,-0.37,Python3,,4721420,5310272,el_bourritoooo,FR,,
