league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=18|time=2024-01-23T04:08:09
3,23.2,Python3,1705199876334,5282684,2017805,Winter_not_comming,PL,66744141457956,
2,24.09,Python3,1696858136623,5072543,1566335,BeardedWhale,SE,36571449875674,
2,19.42,Python3,1697668484445,5080672,3657937,elderlybeginner,PL,39723186977905,
2,18.5,Python3,1674422458372,4717428,3593941,Spielzeugente,AT,40671324176935,
2,18.01,Python3,1666994862293,4511000,894599,DidierC,FR,1756298465824,
2,15.97,Python3,1698868656501,5093785,311035,leojean890,FR,42398427701382,
2,13.59,Python3,1666994924350,4511001,2290633,field3,JP,75961127697737,
2,12.67,Python3,1670691752835,4558837,5137243,Clement_RKG,FR,116422406866048,
1,16.13,Python3,1699537368392,5101338,2108962,DeveauP,FR,18954230009382,
1,15.24,Python3,1705929134700,5293984,3376722,oolivierr,FR,80843720970807,
1,8.66,Python3,1663751584362,4458822,3141948,philRG,FR,43152009653961,
0,17.65,Python3,1700955479921,5116545,1620775,[blank],DE,7506011392989,
0,10.36,Python3,1692379910483,5032868,1713174,BigUP,FR,9962854189979,
0,8.86,Python3,1681575057842,4798446,1176436,pakapro,JP,102544827672083,
0,8.17,Python3,1665611591426,4490165,3857811,FlightGamingandAviation_YT,US,115460984408477,
0,7.98,Python3,1685989804371,4958724,4658485,I_love_CoC,FR,78826565327580,
0,2.71,Python3,1688197401310,4990864,3750985,vexilla72,FR,69788861540753,
0,-2.22,Python3,1680359335663,4785525,5347049,EmilisK,LT,,
