league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=66|time=2024-03-30T04:07:18
4,21.44,Kotlin,1672996278997,4690329,3502478,tachan,JP,,
3,25.49,Kotlin,1672998132421,4693111,1663349,Low-T,DE,34031360955304,
3,25.1,Kotlin,1672998307855,4693574,3820844,yukidaruma6,JP,85809062599974,
3,23.54,Kotlin,1672997894262,4692517,3476425,_UncaughtException_,DE,74338441942064,
3,21.97,Kotlin,1673174778014,4696506,2508635,hemhel,FR,17633818881669,
3,21.97,Kotlin,1672996070538,4689841,1515891,ndc,RU,57247748477088,
3,21.34,Kotlin,1672996158637,4690030,3335921,vcoubray,FR,28402108918604,
3,21.03,Kotlin,1672996156564,4690024,1328922,eratosteron,FR,,
3,20.89,Kotlin,1672998413654,4693867,734816,asapha,FR,20451644481040,
3,20.14,Kotlin,1672996278580,4690327,4410898,YoonDooul,KR,,
3,19.11,Kotlin,1672996846674,4691722,424510,csj,CA,17482339391413,
3,18.92,Kotlin,1672996465470,4690775,2463909,ckobayashi,BR,17151558197084,
3,17.86,Kotlin,1672996827511,4691678,3372068,vickingur,UA,44450383796589,
3,17.85,Kotlin,1672997753923,4692152,3784249,matsumo,JP,95910743575478,
3,16.55,Kotlin,1672998032714,4692872,331880,Monstruo,MX,16575963540770,
3,15.83,Kotlin,1672998391738,4693801,807765,Camboui,FR,,
3,15.78,Kotlin,1672998337092,4693653,1718442,Algonaute,FR,9299823671184,
3,15.7,Kotlin,1673654668738,4705305,1329003,Kromdak,FR,64104948390178,
3,15.35,Kotlin,1672996736838,4691440,3841393,QProgS,RU,95850063441716,
3,15.12,Kotlin,1672998199200,4693268,2521394,FrankR,DE,17824978575149,
3,15.04,Kotlin,1672996083779,4689869,1930944,Neige,FR,14739434252594,
3,14.73,Kotlin,1672996717857,4691382,3511493,ded_mazay,RU,93567880706124,
3,13.34,Kotlin,1672998080815,4693001,2478991,LabRatX,US,17592067435915,
3,12.13,Kotlin,1672996639523,4691197,1314186,qnox,DE,,
3,11.5,Kotlin,1672996267598,4690294,1067069,Reiska,FI,15476331321584,
3,10.48,Kotlin,1673028659872,4694539,2003111,Krikolo,FR,20420698911922,
2,22.19,Kotlin,1672998357265,4693720,1364896,Fauger,FR,,
2,22.16,Kotlin,1672996892439,4691858,3042513,Chushuhuch,RU,,
2,22.03,Kotlin,1672998034036,4692875,4325276,JWqvist,DK,,
2,21.56,Kotlin,1673908856948,4709674,1701043,Qnu,FR,9551310631906,
2,20.89,Kotlin,1672996777321,4691544,5232293,angal,RU,95229926269098,
2,20.04,Kotlin,1672995952057,4689552,535961,litel,FR,2183155815330,
2,19.8,Kotlin,1672996729529,4691416,3920273,abch98ru,AM,53660143932974,
2,19.28,Kotlin,1672995954424,4689559,4480802,Nagatsuka_Akiya,JP,69435046793344,
2,17.84,Kotlin,1672997812404,4692318,3797638,VCR,FR,95254224019160,
2,15.72,Kotlin,1672996726758,4691407,3871137,Fuud,RU,48215106598102,
2,15.28,Kotlin,1672997682196,4691967,692440,Opharion,DE,7623218961822,
2,14.62,Kotlin,1672996594989,4691079,806765,116,DE,20701345471916,
2,12.05,Kotlin,1672996005723,4689684,5231332,Changbaa,AT,95127285008201,
2,11.5,Kotlin,1672996650728,4691224,3385401,RafKod,FR,48098403424847,
2,10.97,Kotlin,1675031726502,4724550,4564296,MirabileFuturum,AT,114994920383123,
2,10.85,Kotlin,1672997701162,4692010,5266546,Groentved,DK,96151505060088,
2,10.48,Kotlin,1672998208317,4693300,3514552,rhincodon66,JP,63675243912113,
2,9.38,Kotlin,1672996059447,4689813,3846923,Hildan,NL,45556942105613,
2,7.25,Kotlin,1672997980171,4692723,1518504,bohuss,SK,5792284370171,
2,6.3,Kotlin,1672997836801,4692380,3279180,C4S1,FR,43721302890305,
2,5.72,Kotlin,1672996173969,4690073,671150,DerGeras,DE,11998077887912,
2,5.31,Kotlin,1672998110023,4693059,3253838,Bozzio,FR,100633483135953,
2,5.01,Kotlin,1673205777911,4697211,481988,DevKirill,RU,26384102822076,
2,4.97,Kotlin,1672997913578,4692564,4845774,Greg_NoC,FR,94735868430162,
2,4.54,Kotlin,1672996519950,4690923,2454307,Nugsie,GB,36460369808118,
2,2.56,Kotlin,1708768525687,5324909,5179335,ZuII,CH,93858748752561,
1,16.9,Kotlin,1672995953783,4689556,3842838,Streusel,DE,,
1,15.42,Kotlin,1705108858872,5281123,4605552,JuanGuevara,CO,100420362269478,
1,15.31,Kotlin,1672995914184,4689457,301684,MaX,UA,9250990816261,
1,14.7,Kotlin,1672996690769,4691318,930646,Jhef_back,BR,40603545301117,
1,14.62,Kotlin,1672996506321,4690879,3046779,Kathrin,DE,23869551387688,
1,9.19,Kotlin,1672996884363,4691827,5234603,ChuckGT,US,95215063335039,
1,8.91,Kotlin,1672996750519,4691487,336685,particulitis,FR,2144919904470,
1,7.68,Kotlin,1689238226393,5002789,3654899,vezzooo,IT,,
1,4.24,Kotlin,1672995953035,4689554,1223140,kgautron,FR,12231900040573,
1,2.5,Kotlin,1672996456791,4690759,445200,khreenberg,DK,2148121913785,
1,0.34,Kotlin,1672998404771,4693840,1678032,Yakanet,FR,23914339005317,
0,21.45,Kotlin,1672998229613,4693354,1745440,aka_npou,RU,,
0,17.6,Kotlin,1672996199774,4690135,1043290,Minsky,DE,6629360961045,
0,17.17,Kotlin,1672998069119,4692967,1388952,Nik95,FR,84778506431283,
