league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=17|time=2026-01-31T04:54:43
0,34.61,C++,1720383994880,5525412,2311105,kovi,HU,20774306904131,
0,27.34,C++,1769169086111,6218412,3903473,Konstant,PL,47882887732604,
0,27.23,C++,1731711444192,5628566,1399619,yurp,UA,140347109791375,
0,20.45,C++,1726490358589,5576664,1886665,Ficek,PL,22252265670407,
0,18.03,C++,1665399465362,4486734,4988410,Palau,ES,91092807319052,
0,17.57,C++,1657801061928,4393143,862919,Astrobytes,GB,60413902297900,
0,17.3,C++,1726491994704,5576693,3699033,Bitwise,PL,42305589620554,
0,11.52,C++,1742751235939,5816806,6448347,rockmars,IL,137564349815955,
0,11.44,C++,1712136785856,5355279,256955,cup_of_tea,FR,14752068261565,
0,11.44,C++,1724094966386,5556627,5964020,SuperDron,UA,119292983605176,
0,11.0,C++,1726490404115,5576666,5303722,micmus,PL,118587845866755,
0,1.04,C++,1678887928349,4766837,3446921,TheOtherAKS,TN,61339184114316,
0,1.0,C++,1730373230196,5610060,6306314,chelsiiii,PH,132431202026053,
0,0.4,C++,1696607192393,5070148,4883414,doogymaniac,GB,83405163738802,
0,0.0,C++,1742227997769,5809844,6524101,[CG]OpenAIGPTO1-CPP,FR,140576821413920,
0,-0.41,C++,1693923033109,5044770,4639248,Sabberkopp,DE,87474706281974,
0,-0.85,C++,1693099223970,5038421,5380808,AurelieM,US,100117541879151,
