league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=54|time=2026-01-10T04:24:17
6,25.68,C,1538587566546,2086083,1341520,egaetan,FR,21055353954161,
6,25.0,C,1677793406487,4755763,3457031,YurkovAS,RU,143223227299056,
6,23.88,C,1538587580803,2086109,1675487,PED,FR,53635449336139,
6,20.9,C,1539426144016,2094582,1631057,Pask,DE,,
5,20.45,C,1604897812220,3168635,4049161,Gabriel.Zuanetti,BR,53320902631404,
5,20.37,C,1605028988509,3171212,4050200,Katsute,BR,,
5,19.73,C,1547405078497,2219224,1568785,Chalzy,CA,10551277510615,
5,17.62,C,1606889501257,3333823,4029496,Gabriel_Zuanetti,BR,52393448379004,
4,19.99,C,1562329759118,2436599,3151486,rhunders,BE,25017853220330,
4,19.94,C,1537874539922,2079163,889789,Alain-Delpuch,FR,3105645724538,
4,19.81,C,1767498655630,6186944,2906812,Adameq7,PL,,
4,19.79,C,1695631889915,5060423,814308,Cristinel,RO,2517053172523,
4,18.38,C,1537988565523,2080512,1783604,Vry,FR,13586498256488,
4,17.66,C,1657545670281,4389870,4957976,Caerus_Black,DE,,
4,16.46,C,1573156562933,2593364,3504584,ZXPlaner,UA,34847405496022,
4,16.14,C,1573746075478,2599789,2181009,Dassadar,FR,14461143906476,
3,23.6,C,1646855934285,4028927,4694028,vphilipp3,FR,,
3,22.55,C,1604938871426,3169444,4050244,KatsuteRaiz,BR,,
3,22.52,C,1764770914728,6148150,3585109,Goczilla,FR,95179707194216,
3,22.04,C,1590084684925,2986306,2335979,JulienFv,FR,,
3,21.11,C,1711932485132,5353986,1029663,Skreamly,FR,10310918289639,
3,21.08,C,1590053589062,2985567,2787243,IvanRosic,FR,44858884542479,
3,20.08,C,1544791862394,2176067,1803811,TabascoEye,DE,10605050259556,
3,20.0,C,1548928849830,2236131,1022195,Kwuxy,FR,24735024244204,
3,19.38,C,1693897050660,5044518,1948862,Druid,US,,
3,18.44,C,1601231483485,3111646,1029602,Potemkine,FR,3592202416352,
3,17.95,C,1539029034863,2090460,1361939,Tof0986,CH,5032650356401,
3,17.73,C,1684837965056,4832559,4044458,mbrunel,FR,83225081515525,
3,17.72,C,1595261329050,3038377,1835014,Frits,NL,12086023337829,
3,17.71,C,1595692646983,3042186,3898994,SirMagic,NL,46896868715984,
3,16.8,C,1539897617762,2101194,1614205,Ilmeurtalafin,FR,,
3,16.77,C,1673528153697,4702895,5117464,PacifiKiwi,FR,92282763336850,
3,16.34,C,1550241795806,2248363,3178049,Finskip,FR,,
3,15.64,C,1614713074297,3447342,2490814,Rem1453,RO,57625123529191,
3,14.36,C,1633472197677,3852755,3337387,melperri,FR,34696062342852,
3,11.38,C,1598889704223,3080538,1927893,NickBerG,DE,43107067498866,
3,10.77,C,1730822041840,5614951,4247816,Solzerid,US,63096682912579,
2,7.25,C,1655847812442,4346763,4281792,YorkParodie,FR,99928649271466,
2,7.17,C,1601044270340,3109040,3686928,Kzah,BR,88635187957186,
1,17.31,C,1755860985761,6019090,5408653,Feuylle,FR,101282822600751,
1,13.61,C,1712789664356,5360435,4177618,Norikashi,US,,
1,13.09,C,1559049621352,2404849,2872911,Hiruxou,FR,,
1,12.44,C,1646604444321,4025759,4669205,LinkCoder,TN,80777469692679,
1,11.57,C,1680726224286,4789611,5328725,err_Alois,FR,98653642570988,
1,9.09,C,1678520564257,4763118,4909572,josiacque,FR,84407429000504,
1,7.68,C,1730471652634,5611389,4022046,YGLi,CN,,
1,7.05,C,1731965672069,5630343,3885786,yuanchilin,CN,,
1,6.37,C,1739370784529,5779070,4279438,13213,HK,,
1,4.79,C,1739370818095,5779074,3804975,LazySpikyCat,US,,
0,6.66,C,1622906767777,3702431,3972468,Fea,FR,50552463501166,
0,2.34,C,1685965031445,4953072,4887241,sdestann,FR,94996063866153,
0,-0.42,C,1589123054051,2891223,3677797,LanlanPaoFu,GB,,
0,-0.44,C,1565610146153,2465364,3442943,Legend_Eize,FR,32519086007579,
0,-1.14,C,1697920786458,5083539,5768077,imnewwplishelp,US,,
