league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=11|time=2025-07-01T04:29:23
6,21.62,Dart,1620128502029,3533327,153683,40R15T3,FR,13910938941186,
4,-2.89,Dart,1537978509694,2080291,1428084,Mixolyde,US,4416529869007,
3,23.1,Dart,1660227880193,4421154,1204070,Hunter99,CH,115998540283593,
3,19.4,Dart,1620890932408,3626329,3922731,OxideByte,LU,146262342111203,
3,17.91,Dart,1702654316301,5139816,4049779,Anduuriil,FR,116259504544971,
3,16.62,Dart,1677897406247,4756791,5302093,haaLe2,AR,,
3,12.2,Dart,1730442032808,5610895,6320260,jkdlsa485213,CH,,
3,2.05,Dart,1606263757865,3318826,4052564,GooPunch,US,55307965399591,
3,1.55,Dart,1599601753660,3088700,323895,HannesRammer,DE,8056200862286,
3,1.26,Dart,1571432153233,2575292,3075636,Dr-D,DE,24333340096983,
0,2.48,Dart,1597656534516,3065869,3937410,adash,IN,,
