league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=15|time=2024-03-30T04:07:18
1,43.31,C++,1635535385562,3879250,3136787,jacek,PL,75369242083208,
1,32.76,C++,1634393814580,3864128,1489865,EricSMSO,FR,10005277870281,
1,32.26,C++,1698263766352,5087304,2981630,IDEAlly,SE,116530161533763,
1,31.28,C++,1637873442395,3908911,1479930,LeRenard,FR,40384564000700,
1,30.21,C++,1688493848183,4994531,3457031,YurkovAS,RU,33020204289704,
1,28.12,C++,1655333865634,4324438,862919,Astrobytes,GB,60413902297900,
1,27.19,C++,1634152060409,3861097,1540478,struct,PT,61418101984360,
1,21.07,C++,1634743403586,3868458,2923506,darkhorse64,FR,23496414257567,
0,12.21,C++,1658766293258,4405706,2976356,magmasa,PL,42306142674682,
0,12.16,C++,1658600004683,4404123,3344383,Czejoo,PL,,
0,12.15,C++,1671533457813,4605752,5212986,Raghav.Vishwanath,IN,94640149606969,
0,12.14,C++,1634151109312,3861081,3569066,derjack,MC,64869146225502,
0,12.04,C++,1649632048776,4070318,3354337,Westicles,CX,79146641399080,
0,11.82,C++,1679914755492,4780159,4904327,shwe6,IN,,
0,-2.45,C++,1673288012799,4698626,5212988,ojoshi,IN,,
