league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=1702|time=2019-11-28T00:35:44
6,31.48,C++,,1609932,832306,pb4,FR,10135289026547,
6,31.4,C++,,1862549,1607522,RoboStac,GB,11333369102997,
6,30.5,C++,,1611370,1452472,Daporan,BE,9932283708950,
6,30.02,C++,,1641666,950512,salim.aboubacar,FR,26268245697663,
6,29.11,C#,,2602204,1378958,Illedan,NO,16222515698472,
6,28.66,C++,,1609937,1082988,Saelyos,FR,6965824947540,
6,28.49,C,,1637710,1050159,speedloop,FR,2344905683707,
6,28.37,C++,,1609938,735910,Agade,CH,1997542876524,
6,28.01,C++,,1609930,1273065,TheRadical,DE,4936072999102,
6,27.88,C++,,1655843,1479930,LeRenard,FR,40384564000700,
6,27.29,C++,,1609954,1818159,JRFerguson,UY,10995631412393,
6,27.11,C++,,1609931,154984,_Royale,FR,17869369984436,
6,27.05,C++,,1614394,351062,Neumann,FR,17173563008577,
6,26.83,C++,,1618609,1489865,EricSMSO,FR,10005277870281,
6,26.74,C++,,2602825,1944726,bourgeof,FR,12115914449796,
6,26.56,C++,,2051950,1201796,P.Greze,FR,3522907180370,
6,26.48,C++,,2098634,2386035,Samsonov,RU,16206427127519,
6,26.12,C#,,1610977,1854731,Solringen,UA,16167126883266,
6,25.74,C#,,1622023,1500515,eulerscheZahl,DE,43135502422075,
6,25.72,C++,,2544083,1629259,Marchete,ES,61997162908277,
6,25.62,C++,,1610790,1714338,cobase2010,US,9291684426121,
6,25.28,C++,,1619893,1034635,SlyB,SE,2110171576995,
6,25.09,C++,,1617290,805067,Magus,FR,24623991925371,
6,24.59,C,,1610049,1415495,fenrir,FR,13431635833249,
6,24.51,Java,,2591673,1566335,BeardedWhale,SE,36571449875674,
6,24.49,C,,1659925,1341520,egaetan,FR,21055353954161,
6,24.48,Rust,,2359918,1518732,Apfeloxid,DE,27685163757224,
6,24.14,C++,,1610032,1106450,RiSuS,BY,96581849782494,
6,24.06,Ruby,,1853313,1728326,yduf,FR,16468113178206,
6,23.83,Java,,1642823,2254195,BrunoFelthes,BR,92712103847740,
