league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=13|time=2025-07-29T04:38:20
0,42.59,C++,1713157406281,5363332,3136787,jacek,PL,75369242083208,
0,40.73,C++,1711894835585,5353614,3727174,Crazy_Remi,FR,42091389678583,
0,39.05,C++,1711885685731,5353521,2522090,MSmits,NL,17784428403916,
0,22.84,C++,1713502587480,5365939,3647844,rc95401,US,39486169555819,
0,22.17,C++,1713039735227,5362522,1479930,LeRenard,FR,40384564000700,
0,10.58,C++,1721245601924,5536691,155924,yvesmocq,FR,89765682512462,
0,9.85,C++,1712136810551,5355281,256955,cup_of_tea,FR,14752068261565,
0,9.21,C++,1715606140628,5378853,5863484,Dimus_2,US,,
0,8.84,C++,1737495461884,5757841,862919,Astrobytes,GB,60413902297900,
0,8.05,C++,1751977337973,5912666,6731332,Daria-BOLHAR,UA,147017543977459,
0,6.83,C++,1719859599618,5519650,5964020,SuperDron,UA,119292983605176,
0,-5.76,C++,1747965724664,5869407,6652911,Metasploit067,JP,,
0,-6.02,C++,1742229722250,5809880,6524101,[CG]OpenAIGPTO1-CPP,FR,140576821413920,
