league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=106|time=2021-11-04T00:33:12
2,51.89,C#,,3884770,3533314,skotz,US,97334021748803,
2,51.16,Rust,,3535729,2288263,dbdr,UA,43448306132121,
2,47.61,C,,3504675,2924895,trictrac,FR,23056996012330,
2,47.49,Rust,,3884783,3864752,MuddySneakers,US,45990545847301,
2,45.87,Python3,,3523960,3903473,Konstant,PL,47882887732604,
2,41.62,C#,,3793166,1500515,eulerscheZahl,DE,43135502422075,
2,41.13,C++,,3882681,4462373,Jeromy,US,72055809665828,
2,40.78,C++,,3675719,3721214,jrke,IN,68983084061211,
2,40,C++,,3884005,3919068,14598366,FR,54333787971719,
2,39.63,C#,,3882321,1152991,xoposhiy,RU,2894275932979,
2,38.79,Go,,3791967,4178870,hanabi1224,US,58671224277450,
2,38.73,Kotlin,,3884601,4585625,KiKod,FR,87704227060530,
2,38.15,Python3,,3817299,2100572,sirsatan,PL,55900328830070,
2,38.06,Rust,,3512076,3337117,timbersson,GB,31946722637374,
2,37.14,Python3,,3884792,311035,leojean890,FR,42398427701382,
2,36.9,Python3,,3487148,2290633,field3,JP,75961127697737,
2,36.82,PHP,,3728550,3983017,TLbuis,NL,50598324428631,
2,36.71,C++,,3883508,4564641,GamingGnawer,SE,73542168807997,
2,34.57,Python3,,3884468,1228612,PasKalou,FR,13094053618234,
2,34.53,Javascript,,3883784,3494517,Fyrd8th,FI,34395040112640,
2,33.99,C++,,3485695,3136787,jacek,PL,75369242083208,
2,33.38,Python3,,3883104,4390912,Benoit_Belasco,FR,66164966281827,
2,33.23,Java,,3884725,3402993,M477h3r,FR,,
2,33.1,Python3,,3709626,1178401,mizzHuarta,FR,,
2,32.51,C++,,3536971,1420817,TheMagicShop,FR,4468522326390,
2,32.49,Rust,,3884794,1323621,Blablub,DE,,
2,32.48,Python3,,3883625,4135013,GodAhmed,TN,72593243004099,
2,32.1,C#,,3884699,3332904,Double_ni,FR,73012788039787,
2,31.48,PHP,,3509890,1412263,PatrickMcGinnisII,US,75707267075165,
2,30.59,C++,,3884234,3810738,Nyjako,PL,44288586880786,
2,29.53,Javascript,,3884561,2422378,C2H5OH,UA,19226708700974,
2,29.53,C++,,3882130,581921,GuyBol,FR,35049687310551,
2,29.16,Python3,,3878297,4136008,jerry_laevis,FR,,
2,29.08,Ruby,,3883664,3654395,grdscrc,FR,94284526333769,
2,29,C++,,3783767,3513265,DaNinja,IE,35022107863170,
2,29,Python3,,3884753,4046553,redbarone,MA,86711369547476,
2,27.62,F#,,3527956,973040,papyjo,FR,15696776172839,
2,27.16,C++,,3503051,862919,Astrobytes,GB,60413902297900,
2,26.69,Python3,,3884166,4577879,titrok,FR,72582145006098,
2,26.12,Java,,3884714,835471,Tqup3,FR,4987955041221,
2,26.08,Python3,,3882290,3326403,DieBaheit,DE,84728942135621,
2,25.86,C,,3775056,1029602,Potemkine,FR,3592202416352,
2,25.8,Rust,,3884266,4548101,Crapausaurus,FR,,
2,24.55,Python3,,3763606,3617791,Just5MoreMinutes,GB,60173405711643,
2,23.61,C++,,3757132,155774,dwarfie,FR,17785582865119,
2,22.71,Python3,,3883254,4466202,Ricou107,FR,79111545232005,
2,20.97,Kotlin,,3882088,1441239,Dyd,IT,71707560017158,
2,20.86,Javascript,,3883427,3774500,zakariamouhid,MA,46244702989556,
2,20.79,C++,,3673881,232528,cegprakash,IN,10550602859943,
2,20.45,Java,,3492141,1464932,Tiramon,DE,12287237914571,
2,19.85,Javascript,,3883368,4567461,walidos193,FR,,
2,19.84,Rust,,3881702,3493230,sgalasso,FR,34359181686532,
2,19.18,Python3,,3882938,1435119,Alacrate,RU,73412684407732,
2,19.11,Java,,3884693,994428,V1ANNEY,FR,8879553483534,
2,18.5,Python3,,3884741,4567168,RemiA,FR,72685526422694,
2,18.41,Java,,3883599,4570289,Killax-D,FR,72232044116823,
2,18.06,C#,,3882254,1907687,Mazena,FI,72559526914345,
2,18.02,Java,,3882094,2479781,AndiSwiss,CH,73935689093473,
2,17.69,C++,,3762920,3447857,mashysh,RU,,
2,16.47,Java,,3883585,4528357,Julian84,FR,75208720446651,
2,16.26,Python3,,3707865,4210403,Sjeckem,PH,59732829382668,
2,14.64,C++,,3883164,4582179,Ninurta,DE,72696648298869,
2,13.6,Python3,,3883580,577849,streb,FR,54333602043923,
2,12.97,C#,,3884599,3563934,ChuckTheNinja,US,50520780935948,
2,12.88,Python3,,3884023,351453,TinaryTree,CN,20006018396995,
2,9.91,Java,,3883582,3992388,aaaa111,IN,50889801185913,
2,8.19,Javascript,,3883439,2544989,lulugo19,DE,17989066428318,
2,-0.82,Python3,,3883105,3644861,Sonkuun,FR,,
1,17.02,Python3,,3884703,4034596,martin0806,GB,,
1,15.14,TypeScript,,3882047,4562004,Doritanh,FR,72088742196684,
1,15.06,Python3,,3882322,4585681,jzoef,NL,72825686203670,
1,13.41,PHP,,3883651,1080681,Setyl,ET,17789613361956,
1,13.41,C++,,3882891,4536057,JuliusSakata,FR,71424023364640,
1,12.96,Python3,,3882430,4102461,Fuzzyghost,FR,72799626008272,
1,12.85,Python3,,3882837,4553516,moh52,DE,74858746558482,
1,12.53,C,,3882046,4569055,denilb,FR,91218949664019,
1,12.27,Python3,,3883433,4558229,GunchLV,LV,71969708971100,
1,12.06,C++,,3881865,4330025,wyenat,HK,64051543828661,
1,11.98,Python3,,3881604,4484117,Cel1,AU,,
1,11.59,Python3,,3884356,4579447,Axoutitou,FR,73025326061398,
1,11.35,C,,3882502,4313610,jmendes,PT,64270642350442,
1,11.1,Python3,,3884124,4502817,Neurchak,FR,70251826631899,
1,10.99,Lua,,3884500,4446892,Cehem,RE,72487940578719,
1,10.3,Python3,,3883495,4562613,gwendal_codeur_de_l_extreme,FR,71966546134734,
1,9.98,Rust,,3882260,1861258,Nazdhun,DE,11477900555178,
1,9.59,TypeScript,,3487719,1245243,Clement134,FR,4593373580939,
1,9.24,Python3,,3883927,4158382,Greenchy,FR,,
1,9.22,Java,,3883401,4569352,Miepse,DE,72666644172457,
1,8.91,C#,,3881643,400710,leflon,DE,17950579412950,
1,8.7,C#,,3762200,4309079,ttatz,DE,,
1,2.07,Java,,3484995,4251195,Smelty,US,62842162200886,
1,-6.7,Python3,,3882294,3943500,Kroketych,CZ,49231043925161,
1,-8.9,Python3,,3881761,2843466,Lebedoks,LV,21413644928055,
0,21.5,C++,,3884796,1115939,Stounate,FR,54056204305685,
0,5.93,Python3,,3485692,1713174,BigUP,FR,9962854189979,
0,5.92,C++,,3814779,3354337,Westicles,CX,79146641399080,
0,5.92,Python3,,3493623,3569066,derjack,MC,64869146225502,
0,5.91,Python3,,3882331,3150053,HarveyGW,GB,72334046187376,
0,5.91,C#,,3884415,4569241,gtryp,BG,72953163029340,
0,5.91,PHP,,3882820,4587054,dievasen7,BG,72844083629833,
0,5.91,D,,3484796,2043908,AntiSquid,,,
0,5.91,C++,,3677370,354788,Lexer31,FR,60198468830213,
0,5.91,Python3,,3883146,2017372,Lannys,FR,,
0,5.91,PHP,,3502820,2325449,otpv,CA,36646766447960,
0,-9.97,Javascript,,3881715,4581445,Woolf_TheInVentor,RU,,
0,-13.75,Go,,3489544,4254045,2kpro,US,61505524726045,
