league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=79|time=2021-12-17T00:30:09
1,46.54,C++,,3927227,3136787,jacek,PL,75369242083208,
1,41.11,C,,3865262,2924895,trictrac,FR,23056996012330,
1,39.99,C++,,3926313,1489865,EricSMSO,FR,10005277870281,
1,39.15,C++,,3927734,1479930,LeRenard,FR,40384564000700,
1,34.81,Haskell,,3930517,4595779,wmarkham,US,,
1,32.12,Python3,,3926479,1489108,adri,FR,7702842636234,
1,32.02,Python3,,3926509,3647844,rc95401,US,39486169555819,
1,31.71,Python3,,3924390,4595389,Yatagan,FR,73836429585208,
1,30.71,Python3,,3930388,3242055,muchaco,HU,74019209077798,
1,30.65,Scala,,3936653,3839774,gurvan_lullien,FR,50166403046090,
1,29.12,Python3,,3923749,4576463,Didelabedeli,FR,72531584423078,
1,28.72,F#,,3874598,973040,papyjo,FR,15696776172839,
1,28.47,Python3,,3930510,311035,leojean890,FR,42398427701382,
1,28.4,Python3,,3930448,4075529,twoeyes,MT,54443804583619,
1,27.98,C#,,3930888,1493634,PatrikNordelind,SE,19859476661773,
1,27.94,C#,,3870714,1910916,VivienBillot,FR,53165247393812,
1,26.72,Python3,,3867873,2290633,field3,JP,75961127697737,
1,26.46,C++,,3929745,3556476,YohanC,FR,36507960164459,
1,26.16,Python3,,3923975,4630154,PatrykJagielski,PL,74307542163912,
1,25.83,C++,,3932006,4638194,rafbiels,GB,76967944032265,
1,25.33,PHP,,3930300,3586725,obrozer,FR,38932740061063,
1,25.18,Python3,,3933848,4629661,Sraffy758,FR,,
1,23.67,Java,,3929967,1676711,Eeeval,FR,12979369709156,
1,23.58,C#,,3923075,4592681,Urutar,DE,75116249775823,
1,22.97,C++,,3923697,2522090,MSmits,NL,17784428403916,
1,22.95,Python3,,3924557,3342685,Shownee,FR,72849229043167,
1,22.82,C#,,3924751,4570242,Milanovich,NL,72241547555345,
1,22.59,PHP,,3927440,1350974,Zyxx,GB,,
1,22.43,Python3,,3926182,1415738,MayB.,BR,73393029709718,
1,22.23,Python3,,3930337,4539584,wearyArtist,CH,,
1,22.17,Python3,,3928032,4390912,Benoit_Belasco,FR,66164966281827,
1,21.8,C++,,3864059,862919,Astrobytes,GB,60413902297900,
1,21.35,Python3,,3931371,3889167,Ofidomundo,BR,46550681725282,
1,21.26,Rust,,3929617,4643728,Flaise,US,74714621541266,
1,21.13,Python3,,3924842,2709791,YOMar,UA,20079731572799,
1,21.04,Java,,3926861,2793377,MixWit,FR,70709849396333,
1,21.02,TypeScript,,3929380,4085148,oppos,HU,55917583298290,
1,20.98,C#,,3935013,1852554,Rip,CA,11203098602002,
1,20.93,Javascript,,3927949,3513265,DaNinja,IE,35022107863170,
1,20.63,Java,,3927057,4528357,Julian84,FR,75208720446651,
1,20.6,Javascript,,3926503,2887878,Brodalee,FR,75219764583967,
1,20.47,Java,,3924968,4607468,kizymizy,EE,,
1,20.18,Dart,,3863852,3922731,Dartisan,LU,101995908419116,
1,19.38,Python3,,3930276,1947436,MoosPow,CA,65258662496721,
1,18.67,Python3,,3927102,467193,pin72,GB,9961611062393,
1,18.43,Kotlin,,3930232,254883,maksim,RU,3235054322425,
1,17.84,Scala,,3929799,1740037,ereiam,FR,12669494111004,
1,17.62,Python3,,3923784,2217572,Ben9,FR,15350623426649,
1,17.18,Python3,,3928539,3141948,philRG,FR,43152009653961,
1,17.09,Python3,,3923989,2863335,denkuc,UA,21634011477633,
1,16.56,Javascript,,3922902,1607251,baboulaf,FR,18176849207993,
1,16.44,Python3,,3926521,2557590,raaperrotta,US,,
1,16.43,F#,,3931657,1859646,AlWerewolf,RU,,
1,12.57,C#,,3931941,4428604,Simsalagrim,FR,74549585867759,
0,22.6,Kotlin,,3937793,692440,Opharion,DE,7623218961822,
0,21.57,C#,,3932034,4211056,Nachosauce,US,74781605417418,
0,19.46,Python3,,3876659,1713174,BigUP,FR,9962854189979,
0,18.74,Python3,,3864211,3569066,derjack,MC,64869146225502,
0,17.75,C++,,3922462,4564641,GamingGnawer,SE,73542168807997,
0,16.27,TypeScript,,3925335,4591407,phillyv,CA,73369388351379,
0,14.68,Python3,,3922640,4073854,13uk,FR,72577584677375,
0,14.49,PHP,,3873265,1412263,PatrickMcGinnisII,US,75707267075165,
0,14.49,C++,,3924406,4253866,solebull,FR,61037762848010,
0,6.95,Python3,,3936827,4517930,7EDJP,US,76271525989360,
0,6.64,Python3,,3922454,4612235,DialFrost,,,
0,5.71,C++,,3926124,4440083,RobertBreck,US,68400841185027,
0,1.22,Python3,,3927954,4508271,Thorcode,US,88691646410654,
0,1.11,Python3,,3926137,4600536,UselessKafe,FR,73492109376889,
0,1.06,Python3,,3926603,4542899,Dren,HU,71592647578909,
0,0.65,C++,,3929821,901546,Vinatorul,RU,13640687952038,
0,0.01,C++,,3922621,4357025,orange_x,CN,64902025990703,
0,-0.29,Python3,,3927992,4609276,ScArLeT05,IN,,
0,-0.45,Java,,3924500,4637500,shengdi330,CN,,
0,-0.51,Java,,3923943,4620126,d000333,CL,,
0,-0.68,C#,,3923500,4636848,ftsblkk,TR,,
0,-1.86,Python3,,3925022,3372945,qpi,FR,29671705929706,
0,-10.73,Python3,,3923969,241945,Coryolis,FR,12492764849052,
0,-11.57,Python3,,3927962,3897897,ZXC01,SG,75575425513677,
0,-14,Python3,,3931454,2919788,Strg,DE,74886042864451,
