league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=1000|time=2026-02-15T05:14:27
5,27.68,Python3,1587640685260,2830713,2970414,Fangel,FR,23748356777542,
5,26.95,Python3,1588678048738,2848051,3533119,wlesavo,RU,44695284080274,
5,26.23,Python3,1587393091475,2824004,1635357,GiB,FR,7734029926719,
5,25.34,Python3,1587405118852,2825674,837350,BorisZ,RU,4405751597540,
5,24.86,Python3,1587393028842,2823942,3621136,MichaelPu,IL,42903309084874,
5,23.72,Python3,1597762050267,3067246,1186250,Gabbek,PL,3084076624888,
4,28.27,Python3,1690568115290,5015763,311035,leojean890,FR,42398427701382,
4,25.22,Python3,1587392534315,2823437,3354668,DimSumSaying,HK,33032246532842,
4,24.64,Python3,1587393491236,2824292,2385308,Gabz,FR,42303260749395,
4,24.12,Python3,1587934066753,2836040,1457162,JFB,PL,12110108490250,
4,24.1,Python3,1729239114678,5600408,2006324,Oussama_Siharde,MA,131921206315534,
4,24.05,Python3,1587394158676,2824796,3393535,LuckyJ.,FR,42540162041167,
4,23.42,Python3,1587465130485,2827448,2333083,Febrin,PL,42649424186067,
4,23.05,Python3,1587393432892,2824265,2377428,Neinaps,FR,,
4,22.9,Python3,1587394005750,2824714,3015376,gaha,PL,156623025742399,
4,22.68,Python3,1587933151228,2836022,1727322,pyjama,FR,42727666370211,
4,21.61,Python3,1588583331551,2846460,1634986,skiiiup,US,22391690931749,
4,21.38,Python3,1587392997386,2823917,3700890,tempux,CA,41950347064012,
4,21.25,Python3,1587583378514,2829893,3226448,tobk,DE,34085008032999,
4,21.25,Python3,1587460516551,2827209,1586397,menger3,IL,,
4,21.2,Python3,1598804993181,3079553,3525167,fgsdt,ES,45694548031394,
4,20.73,Python3,1587394603398,2825131,952450,Chinchifou,FR,1808389572680,
4,20.59,Python3,1588546379357,2846190,2931246,Kukiss,PL,24743218420156,
4,20.53,Python3,1587394697698,2825191,3750754,lukasg,AT,42375420007560,
4,20.41,Python3,1587393433549,2824267,3742936,David26,FR,42176929111590,
4,20.3,Python3,1682854211925,4810994,4245088,MiXFR,FR,66990504301668,
4,20.28,Python3,1587393422770,2824257,513456,nwin,JP,,
4,20.22,Python3,1587393083527,2823997,3744758,Mateuszrze,PL,42347885816610,
4,20.17,Python3,1587394472237,2825042,3502258,TimAI,US,35263248316741,
4,20.15,Python3,1587392708408,2823589,2223704,Natsu25,FR,19962878903590,
4,20.13,Python3,1587393421431,2824256,3586448,LeoT,AT,42708282079208,
4,20.08,Python3,1743002973043,5820395,3758501,quenta,FR,55248900412379,
4,20.03,Python3,1587392902543,2823821,231552,Stv,FR,96202501549390,
4,19.97,Python3,1587392709486,2823591,1460910,barbuz,AU,42561802486505,
4,19.9,Python3,1587392674309,2823554,3382273,hasleron,GB,39607083737997,
4,19.82,Python3,1587393502280,2824309,864577,benobab,FR,42294065844801,
4,19.8,Python3,1682634726347,4809203,5361112,Gmig,SE,103470322578817,
4,19.54,Python3,1726562501742,5577409,4400294,Tennisplatzis,CH,67744828485497,
4,19.33,Python3,1587394354507,2824976,1109979,Gloopy,FR,5855023276100,
4,19.31,Python3,1682632642483,4809181,2660471,Ed86,FR,,
4,19.3,Python3,1682689005721,4809814,4311682,Opalir,FR,,
4,19.3,Python3,1587392176909,2823088,1894859,Vidra,SI,116814687411481,
4,19.27,Python3,1587394435526,2825031,3511780,G4sterop0d,FR,,
4,19.24,Python3,1587404696834,2825655,218189,[CG]Maxime,FR,2925297592678,
4,19.15,Python3,1587393158437,2824068,3317583,Mjo,FR,,
4,19.04,Python3,1599541699872,3087763,3018178,Fallback,US,105462865253366,
4,19.03,Python3,1587393869331,2824596,3424013,Felici3n,FR,112662220218520,
