league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=61|time=2024-04-29T04:08:06
5,28.21,Rust,1587393285802,2824194,2288263,dbdr,UA,43448306132121,
5,27.42,Rust,1587574203705,2829693,1607034,tomatoes,RU,37779663047526,
5,23.29,Rust,1587394795689,2825259,1631358,joelthelion,CH,7453600766149,
5,23.28,Rust,1647776466918,4039307,3918583,mikmak,FR,48134583112917,
5,21.82,Rust,1670788833709,4560238,154388,PonyPonyCodeCode,FR,37335148285737,
4,19.63,Rust,1682684157572,4809710,4094051,PtiBuck,FR,99410084062970,
4,19.3,Rust,1682544516138,4808288,5354693,Michel_de_Bourgogne,FR,99140742063171,
4,18.67,Rust,1587394635473,2825147,904881,lpenz,IE,3716396377696,
4,18.61,Rust,1682685012737,4809728,3357550,JeanMichelPremier,FR,103472208628387,
4,18.19,Rust,1587394304576,2824930,1404934,tarriel,AU,40400349677311,
4,18.01,Rust,1637511794448,3903404,498366,Vat,UA,23473406729155,
4,17.89,Rust,1682022564459,4802907,4334077,VonDerManzen,GB,118094862007905,
4,17.21,Rust,1587393145298,2824054,2124591,Rdjdv,NL,54020906122276,
4,16.91,Rust,1587392584837,2823491,2574888,TongoHiti,RU,41846603811377,
4,16.82,Rust,1587394335049,2824952,2238146,stem,RU,,
4,15.27,Rust,1587392185059,2823095,1192837,davidB,FR,3812849123499,
4,14.81,Rust,1587393445481,2824273,1407720,bananaMixer,FR,4478289426855,
4,6.92,Rust,1587393392064,2824242,406188,parallel,FR,4418851149091,
3,21.95,Rust,1587392875312,2823784,1684030,Mator,FR,14204349233622,
3,20.52,Rust,1688226751078,4991305,5072331,TiPoix,FR,104976741276250,
3,20.12,Rust,1587393943954,2824651,307631,Nahman,FR,,
3,19.05,Rust,1632420322654,3839275,3493230,sgalasso,FR,34359181686532,
3,17.96,Rust,1587394423491,2825023,1226118,guillax,FR,,
3,15.92,Rust,1615528192953,3459173,1838549,orangesnowfox,US,17617755701518,
3,15.0,Rust,1587392782837,2823686,3677591,jthemphill,US,40498806357433,
3,14.42,Rust,1587394479316,2825052,1681037,Skroy,FR,20091174441042,
3,14.41,Rust,1587393451106,2824281,1186292,GLE,FR,23304038397576,
3,11.62,Rust,1587394212417,2824831,2328361,plopy23,FR,15723789636523,
3,6.86,Rust,1596052792220,3046678,1162034,krakeusz,PL,7186898628736,
3,6.79,Rust,1587393873109,2824599,3344108,Xmar,NL,28750989473678,
3,6.47,Rust,1609931709345,3381174,3264942,maskit,LV,27340482113146,
3,5.43,Rust,1608567788433,3364337,3839774,gurvan_lullien,FR,50166403046090,
3,3.94,Rust,1623609440841,3711812,504985,Ster,FR,111931662160075,
3,1.62,Rust,1587392589369,2823498,154840,Tomu,FR,53841023529304,
3,0.3,Rust,1587394073283,2824746,664112,AllYourTrees,US,35047123145003,
2,19.67,Rust,1624807788370,3730133,4317802,tG_steppenwolf,ES,67146221282337,
2,12.85,Rust,1587392459747,2823377,1760772,Tarannon,FR,20913714604132,
2,12.58,Rust,1587392378601,2823297,155008,Majavar,FR,12183872595206,
2,0.38,Rust,1587394069602,2824741,1470606,WilQu,FR,4839669930041,
2,0.02,Rust,1587392170267,2823080,1058962,mcargille,US,20886862689493,
1,22.51,Rust,1587393257319,2824185,3009873,Kineolyan,FR,32394008868052,
1,21.15,Rust,1596200161761,3048465,3839737,BlackOnWhite,PL,45352569123732,
1,18.56,Rust,1587392878604,2823792,153661,Lionel!,FR,7253112116408,
1,17.82,Rust,1639251618504,3930324,2745823,oskarrrrrrr,PL,,
1,16.72,Rust,1702229258726,5134331,5854319,nstabel,NL,,
1,16.48,Rust,1587392217675,2823143,1687230,.-_-.,FR,,
1,16.18,Rust,1657193580975,4385064,3699192,Fazer2,PL,,
1,14.87,Rust,1590119206152,2986910,2123418,ricehibiscus,JP,,
1,14.47,Rust,1713746171088,5367868,5629155,Chewys512,US,109090964928468,
1,0.45,Rust,1587394605887,2825134,2538423,jihele,FR,,
1,-0.88,Rust,1587392505773,2823410,3703802,uczys,PL,,
1,-2.29,Rust,1620708271805,3604346,3567306,mnipper,US,36663884129738,
0,12.82,Rust,1688322453187,4992582,4458431,faweoiij,RU,107589761653090,
0,12.68,Rust,1587392421365,2823336,1713768,aLagoG,US,9531109712171,
0,12.39,Rust,1587392820204,2823732,1461776,Ghogis,US,,
0,12.33,Rust,1660567786634,4424224,4733238,viterum_24,JP,88684725712588,
0,11.99,Rust,1587392118779,2823025,2747934,fexolm,RU,20402136780280,
0,6.02,Rust,1600802887656,3105713,1698512,VDKZ,FR,52229868046288,
0,5.61,Rust,1645096437856,4005180,4748433,Wingamer,IN,82653546136299,
0,5.55,Rust,1690239007609,5012481,5619802,OmegaSunShine,GB,,
0,5.54,Rust,1689839450065,5008034,4070584,Dm4ster,FR,108260142126749,
