league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=2737|time=2023-01-03T00:30:14
5,32.96,C++,,2826134,832306,pb4,FR,10135289026547,
5,32.4,C++,,3678816,2311105,kovi,HU,20774306904131,
5,31.39,C++,,2833593,1314316,jolindien,FR,14585204616953,
5,31.31,C++,,2825086,820000,ValGrowth,JP,95440985747208,
5,30.63,C++,,2844702,1321710,Swagboy,FR,17951677357012,
5,30.18,Java,,2825002,893541,wala,FR,97577641170180,
5,29.03,C++,,2829861,1082988,Saelyos,FR,6965824947540,
5,28.9,C++,,2833226,580424,siman,JP,7464902754297,
5,28.83,C++,,2824941,3513922,Skril,FR,35137282650227,
5,28.21,Rust,,2824194,2288263,dbdr,UA,43448306132121,
5,28.19,Java,,2825586,1537951,Nerchio,PL,64013847666734,
5,28.16,C++,,2824928,2906497,daaskare,FR,22173137881499,
5,28.02,Kotlin,,2826948,2741162,YannT,FR,20321741697135,
5,27.89,Java,,2848542,826372,skyyker,RE,54542165670172,
5,27.8,C#,,2824829,1378958,Illedan,NO,16222515698472,
5,27.68,Python3,,2830713,2970414,Fangel,FR,23748356777542,
5,27.59,C++,,2836514,1944726,bourgeof,FR,12115914449796,
5,27.43,C++,,2825009,2577687,blasterpoard,SK,36336680250371,
5,27.42,Rust,,2829693,1607034,tomatoes,RU,37779663047526,
5,27.19,C++,,2825115,154984,_Royale,FR,17869369984436,
5,26.95,Python3,,2848051,3533119,wlesavo,RU,44695284080274,
5,26.89,C++,,2825094,1335230,jft63,FR,24907820247515,
5,26.2,Python3,,2824004,1635357,GiB,FR,7734029926719,
5,25.89,C++,,2825038,1998194,nus_miz,JP,,
5,25.86,C++,,2824228,1034635,SlyB,SE,2110171576995,
5,25.82,C++,,2825622,154312,ThomasNicoullaud,FR,55202507296689,
5,25.71,C++,,2824758,2522090,MSmits,NL,17784428403916,
5,25.65,C++,,2824288,1061242,Csipcsirip,HU,95146449193670,
5,25.57,C++,,2824778,1489865,EricSMSO,FR,10005277870281,
5,25.31,Python3,,2825674,837350,BorisZ,RU,4405751597540,
5,25.04,PHP,,2825611,155881,Hevey,CH,104405127658237,
5,24.9,Go,,2823380,1718709,orbital17,UA,9327460799439,
5,24.9,C++,,2825184,371603,martin,CA,1761380964089,
5,24.86,Python3,,2823942,3621136,MichaelPu,IL,42903309084874,
5,24.27,C++,,2829109,735487,amurushkin,RU,2111605585777,
5,24.25,C++,,2833484,351062,Neumann,FR,17173563008577,
5,24.24,C++,,2824223,2566623,VincentBab,FR,37690085186536,
5,24.22,C++,,2824914,1757536,BlueGhost31,FR,18513921556010,
5,24.12,C#,,2985521,1500515,eulerscheZahl,DE,43135502422075,
5,24.12,C++,,2824931,567404,sash,JP,29016682766048,
5,24.08,C++,,2825135,880353,zasmu,FR,22237226756102,
5,24.01,C++,,2823850,3751175,DamianS,PL,43178385754763,
5,23.82,C++,,2823777,186179,Nagrarok,FR,95596601515650,
5,23.76,C,,2826921,2924895,trictrac,FR,23056996012330,
5,23.72,Python3,,3067246,1186250,Gabbek,PL,3084076624888,
5,23.49,Java,,2824909,1487392,Razielwar,FR,12761113272803,
5,23.36,Rust,,2825259,1631358,joelthelion,CH,7453600766149,
