league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=27|time=2025-03-21T04:58:28
1,29.25,Java,1696871658227,5072737,4031451,pbou,FR,55429746348651,
1,27.51,Java,1603654887587,3148915,2837454,Inc_,DE,22024624258996,
1,24.67,Java,1606866617266,3333478,2254195,BrunoFelthes,BR,92712103847740,
1,24.35,Java,1602884998913,3136396,3512206,LFR,FR,37660285537104,
1,22.55,Java,1719237452160,5500266,808446,Bev,FR,,
1,21.13,Java,1602936483590,3136815,3982472,Cousnouf,CH,54190580543812,
1,18.74,Java,1602281889778,3126578,3998705,LevanTruong,FR,79574748146825,
1,17.14,Java,1592506966327,3017147,3413813,Hvosten,PL,63052087147847,
1,17.07,Java,1684837021714,4832542,3677709,idzol,RU,,
1,12.69,Java,1576674822132,2628543,1464932,Tiramon,DE,12287237914571,
1,11.7,Java,1649749317066,4071760,4420742,Mortis_666,MY,99045346596822,
1,11.3,Java,1717775736110,5400402,1179950,Avatar3,FR,141137227884015,
1,11.23,Java,1602104544362,3123876,1147235,Misy,FR,50660027371508,
1,10.87,Java,1601931910206,3121529,1001096,MyIIone,AT,4231449697357,
1,-0.62,Java,1577814363608,2637790,3482949,Masshood,DE,34270921895973,
1,-10.77,Java,1581528117925,2677760,3516093,Balthael,FR,37659723479197,
0,19.31,Java,1602400692314,3128176,2508635,hemhel,FR,17633818881669,
0,18.64,Java,1601993659466,3122139,3223953,StempfiFlo,DE,25911553167659,
0,18.41,Java,1575119582616,2614675,1066745,DepartmentOfRedundancy,FR,107574148016271,
0,17.65,Java,1602081448075,3123397,1019557,Luigi59,FR,18280238655410,
0,1.64,Java,1676053368045,4736058,5163410,LOKI_78,LU,93367947956362,
0,1.16,Java,1604313900904,3158123,3894214,babso99,BE,,
0,0.18,Java,1635083778123,3873207,3795982,flds,FR,52607580751689,
0,0.17,Java,1602009274058,3122380,881037,Amadeuszx,PL,1720829478041,
0,0.06,Java,1621951819048,3686500,1035630,Vestiaz,FR,8121133110363,
0,-0.23,Java,1577805617821,2637663,1341520,egaetan,FR,21055353954161,
0,-0.84,Java,1575234192725,2616034,3514058,lotto007,DE,35787549442836,
