league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=126|time=2020-10-09T00:30:03
1,39.9,C++,,3019690,3193653,karliso,LV,54368321987353,
1,38.1,C++,,3045121,2522090,MSmits,NL,17784428403916,
1,37.99,C++,,3027628,3136787,jacek,PL,75369242083208,
1,36.21,C,,2841625,2924895,trictrac,FR,23056996012330,
1,33.54,C++,,3068105,2923506,darkhorse64,FR,23496414257567,
1,32.3,C++,,2688829,1194069,Redstrike,DE,57293561455683,
1,31.94,C++,,2835628,1479930,LeRenard,FR,40384564000700,
1,31.12,C++,,2660988,1489865,EricSMSO,FR,10005277870281,
1,28.78,C#,,2830920,1500515,eulerscheZahl,DE,43135502422075,
1,27.67,C#,,3124321,1378958,Illedan,NO,16222515698472,
1,27.14,C,,3122347,2584779,quirck,RU,18381413562499,
1,26.95,C++,,2810727,2604804,Pedro1994,FR,37663148921979,
1,26.88,Python3,,2698346,2674460,Malte42,DE,19389646868040,
1,25.9,C++,,3024317,3579298,Yolo1994,FR,,
1,23.28,C++,,2849162,1314316,jolindien,FR,14585204616953,
1,22.67,C++,,2674479,1490383,arkwaw,PL,24542688022428,
1,22.35,Kotlin,,3123136,1848459,perlebach,CZ,48538649860014,
1,21.99,Python3,,2618160,2290633,field3,JP,75961127697737,
1,21.79,C++,,2619214,1854246,Counterbalance,NL,26367790351026,
1,21.32,Python3,,2677863,3101644,HerrHagner,DE,39056126752805,
1,21.06,Lua,,2679808,3564009,Waffle3z,US,44751789808331,
1,20.75,Python3,,3125186,311035,leojean890,FR,42398427701382,
1,20.73,Python3,,3102704,3736275,K4Mx,US,45505646692439,
1,20.57,Python3,,3125164,3956109,saquintes,GB,49343560098671,
1,20.3,Go,,3124167,1653524,quatre1,FR,,
1,20.13,C++,,3121760,792507,stephan2342,DE,20889322773357,
1,20.06,Python3,,2615532,2416641,Zenoscave,US,16732569385856,
1,19.9,Javascript,,3125153,3487645,hypers,UA,34243548996636,
1,19.83,Python3,,3125064,1616900,Spy7,PT,25869843462038,
1,19.75,Dart,,3099289,3922731,Dartisan,LU,101995908419116,
1,19.11,C++,,3125284,3976689,OpheliePELLOUXPRAYER,FR,51219764358819,
1,18.57,C++,,3018619,3569066,derjack,MC,64869146225502,
1,18.42,Go,,3121575,3551741,MorphiX00,FR,,
1,18.36,Java,,3125296,3998705,LevanTruong,FR,79574748146825,
1,18.22,Kotlin,,2615131,424510,csj,CA,17482339391413,
1,18.2,C#,,3122309,1130789,Pc23,FR,20646320185978,
1,17.93,Javascript,,3124571,3753914,dodivar,FR,46358089092531,
1,17.63,C++,,3124328,2714117,TiLuky,CH,20011958454163,
1,16.78,C,,2622575,973040,papyjo,FR,15696776172839,
1,15.74,Java,,2614022,1629259,Marchete,ES,61997162908277,
1,15.67,C++,,2621955,1876212,PFischbeck,DE,14113662061799,
1,15.31,Java,,3017147,3413813,Hvosten,PL,63052087147847,
1,14.84,Python3,,3123959,1457162,JFB,PL,12110108490250,
1,14.49,C#,,2652371,2203054,Tillman575,US,23303714435098,
1,14.18,C,,2620534,1679978,,,,
1,14.07,C++,,3122154,4002125,drieteenmeeuw,BE,,
1,14.06,Python3,,3123300,1372891,Zuzurp,FI,,
1,13.69,Python3,,3124888,347029,Kevapo,FR,4950639196511,
1,13.64,C,,2621309,1029602,Potemkine,FR,3592202416352,
1,13.26,Python3,,3124929,3995460,LaurieRakoto,FR,,
1,13.12,Scala,,2677634,1740037,ereiam,FR,12669494111004,
1,13.03,C++,,2625410,314562,Mechar,FI,3832913620992,
1,12.79,Python3,,3088375,3931921,Hensage,GB,,
1,12.45,Python3,,3125022,3983017,TLbuis,NL,50598324428631,
1,12.17,Rust,,3122254,439159,diodfr,FR,3372209616799,
1,12.04,C,,3121289,3839774,gurvan_lullien,FR,50166403046090,
1,11.83,Python3,,3121821,1105817,MaximeF,FR,35172428546572,
1,11.66,TypeScript,,2684754,1834920,FreeHandz,HU,40750746608915,
1,11.35,Python3,,3123542,1359547,Transat,FR,,
1,11.28,C#,,3122527,1096274,DrBrask,DK,4347556837028,
1,10.7,C++,,3124103,3986053,Backtomars,US,52001808122515,
1,10.29,Python3,,3122064,1740237,OlegKornelsen,DE,10266719666046,
1,9.68,Python3,,3121509,1040176,BoBot,EE,,
1,9.49,Python3,,3124414,3992950,dimartinot,FR,,
1,9.25,Javascript,,3121780,3792690,LeoBong,FR,60806106894608,
1,8.99,Java,,2628543,1464932,Tiramon,DE,12287237914571,
1,8.97,C#,,2620101,371603,martin,CA,1761380964089,
1,8.85,C++,,3121283,3721214,jrke,IN,68983084061211,
1,8.81,C++,,3121867,3732297,Precise_Efficiency,CM,51160549592516,
1,8.7,Java,,2850273,2043908,AntiSquid,,,
1,8.01,Java,,3001523,3622757,anid,,,
1,7.51,Java,,3125361,3512206,LFR,FR,37660285537104,
1,7.47,Java,,3121529,1001096,MyIIone,AT,4231449697357,
1,6.81,Java,,3123876,1147235,Misy,FR,50660027371508,
1,2.28,Kotlin,,3124325,3996809,VizGhar,SK,82217880354500,
1,1.52,C++,,3124810,2776023,Sergey.ch,UA,20617923460821,
1,-0.47,Go,,2615922,1861258,Nazdhun,DE,11477900555178,
1,-1.13,Java,,2637790,3482949,Masshood,DE,34270921895973,
1,-9.56,Java,,2677760,3516093,Balthael,FR,37659723479197,
0,22.21,C++,,3122650,1716296,abzalovim,RU,,
0,20.05,Python3,,2623022,2976964,BenjaminUrquhart,US,26083283518959,
0,19.39,TypeScript,,3124744,1931039,MooMooN,FR,11972180817471,
0,19.25,Javascript,,2614916,3513265,DaNinja,IE,35022107863170,
0,17.31,Python3,,3125162,622303,Zetrock,BR,17358076525804,
0,16.28,Java,,3123397,1019557,Luigi59,FR,18280238655410,
0,16.07,Python3,,3123762,3889192,Xmaster6,FR,53355848616719,
0,15.15,Python3,,3124609,2833886,KnutWart,CH,51772324837882,
0,15,C++,,2693756,862919,Astrobytes,GB,60413902297900,
