league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=99|time=2020-12-17T00:30:14
1,46.4,C++,,3356742,2522090,MSmits,NL,17784428403916,
1,39.26,C++,,3356764,3136787,jacek,PL,75369242083208,
1,39.12,C,,3356575,3971358,OldJohn,FR,63565949763225,
1,39.11,Rust,,3024723,2288263,dbdr,UA,43448306132121,
1,38.12,C++,,3153340,154984,_Royale,FR,17869369984436,
1,37.64,C,,3044901,2924895,trictrac,FR,23056996012330,
1,32.81,C++,,3033585,1607522,RoboStac,GB,11333369102997,
1,29.76,Java,,3228625,1425201,JamesPun,ZA,4426071280478,
1,28,C++,,3029116,1479930,LeRenard,FR,40384564000700,
1,27.41,Rust,,3036522,1607034,tomatoes,RU,37779663047526,
1,23.53,C++,,3048077,1673512,Ryoken,LI,,
1,22.88,C++,,3035524,2968035,DomiKo,PL,46567648927625,
1,20.57,C#,,3079304,839879,Washier,ZA,12972766898492,
1,20,C,,3031468,2416641,Zenoscave,US,16732569385856,
1,19.91,Rust,,3032747,523185,Hjax,US,46347448299324,
1,19.9,C++,,3035255,3513265,DaNinja,IE,35022107863170,
1,19.83,C++,,3019938,1489865,EricSMSO,FR,10005277870281,
1,18.46,C++,,3039303,862919,Astrobytes,GB,60413902297900,
1,15.93,Go,,3143469,1077506,gs2,RU,86701601221288,
1,15.32,C++,,3055001,2517057,Edds,AU,17728612294216,
1,15,C++,,3042390,811622,Scarfield,DK,73294709815061,
1,14.41,C++,,3029739,1629259,Marchete,ES,61997162908277,
1,13.54,C++,,3132209,820000,ValGrowth,JP,95440985747208,
1,10.94,C++,,3046800,1288527,Snef,FR,20716524973752,
1,10.8,C++,,3066573,311035,leojean890,FR,42398427701382,
1,10.05,C++,,3355597,2923506,darkhorse64,FR,23496414257567,
1,9.9,Java,,3046796,2064637,java_coffee_cup,HK,13281799951852,
1,8.53,C,,3103413,973040,papyjo,FR,15696776172839,
0,30.22,C++,,3100453,1479137,lorenzods,HU,4958429920428,
0,29.47,C++,,3357630,1114834,k4ng0u,FR,26037223936643,
0,28.91,Python3,,3330350,4051354,tofue2o2t2,JP,,
0,28.52,C++,,3335617,3534078,SelrahC-Twin,FR,64752446682490,
0,27.72,Java,,3022377,1566335,BeardedWhale,SE,36571449875674,
0,27.43,Python3,,3339153,2562633,Nodascott,FR,,
0,26.65,Rust,,3173191,3660819,BloodyTurtles,US,39803283840838,
0,26.24,Python3,,3327005,4063515,Mindme,US,53920485474238,
0,25.35,Python3,,3058453,2290633,field3,JP,75961127697737,
0,23.8,Python3,,3319027,4074553,coom_st,JP,,
0,23.71,PHP,,3021225,1412263,PatrickMcGinnisII,US,75707267075165,
0,23.56,C++,,3335587,3065352,Arti1990,PL,42463603561198,
0,23.13,C++,,3041694,3501027,SteelSky,FR,34908704314995,
0,23.07,C++,,3031765,1886665,Ficek,PL,22252265670407,
0,22.46,C++,,3329244,1480384,RockyMullet,CA,29411883532107,
0,22.15,Python3,,3012967,2050244,Cezuriku,FR,13125036287943,
0,22.01,C++,,3029458,1484839,sparky,GB,41934483411733,
0,21.72,Python3,,3087359,1753077,codingWhale,DE,44660101966182,
0,21.41,Python3,,3204407,4058276,aatif_khan,IN,53780847516752,
0,21.3,C#,,3019932,3841823,hadesblade,US,,
0,21,Javascript,,3325321,224325,TidyMaze,FR,2654133392410,
0,20.82,C#,,3155343,3732957,Misinn,JP,42206625261340,
0,20.5,Lua,,3012746,2007852,Zorg1,FR,16542412157988,
0,20.24,TypeScript,,3128611,3477071,CookieMonster2703,CH,33824304033552,
0,19.81,C++,,3031777,3839737,BlackOnWhite,PL,45352569123732,
0,19.6,Python3,,3067052,2833929,Pierre_C,FR,92388388185960,
0,18.77,Ruby,,3053867,2532837,fauresebast,FR,43340205355577,
0,18.55,C#,,3025137,2592027,ParticleBeam,ZA,18577946915595,
0,18.34,Ruby,,3066366,3901571,Koromo,JP,81308740865759,
0,18.21,C++,,3031735,1523900,marwin,PL,,
0,17.45,C#,,3013233,1378958,Illedan,NO,16222515698472,
0,17.3,Java,,3032749,1468321,vokuheila,US,,
0,16.6,Java,,3205383,4053693,KS2003,RU,53562362820167,
0,16.55,PHP,,3110840,3305510,TBali,HU,26750785092441,
0,16.22,C++,,3041093,3721214,jrke,IN,68983084061211,
0,16.19,Python3,,3013680,1713174,BigUP,FR,9962854189979,
0,16.02,Python3,,3356731,351453,TinaryTree,CN,20006018396995,
0,15.98,Python3,,3357166,3622757,anid,,,
0,15.88,Java,,3013859,2508635,hemhel,FR,17633818881669,
