league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=14|time=2025-03-02T04:09:56
1,35.39,Rust,1651862420438,4271885,2288263,dbdr,UA,43448306132121,
1,34.11,Rust,1620692401135,3603008,1838549,orangesnowfox,US,17617755701518,
1,30.97,Rust,1726678055607,5578542,3918583,mikmak,FR,48134583112917,
1,29.11,Rust,1737909038470,5762430,4046568,jfaixo,FR,112823247448244,
1,26.23,Rust,1607339146027,3343766,3839774,gurvan_lullien,FR,50166403046090,
1,24.17,Rust,1705517352100,5287933,3922731,Player-999,LU,131295404876816,
1,22.46,Rust,1705236553601,5283125,1861258,Nazdhun,DE,11477900555178,
1,21.73,Rust,1687614734946,4984455,5072331,TiPoix,FR,104976741276250,
1,15.25,Rust,1607023248955,3337256,1040176,BoBot,EE,,
1,15.09,Rust,1689509303979,5005040,1782814,Trilusion,CH,11177901676243,
1,8.11,Rust,1679273707806,4771635,4506498,TimeEngineer,FR,70268445540702,
1,7.82,Rust,1577762805131,2637334,1607034,tomatoes,RU,37779663047526,
0,19.33,Rust,1735757144487,5712801,4801044,TN19N,MA,125201140302257,
0,5.16,Rust,1658124317352,4397123,484004,aCat,PL,4210501575817,
