league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=187|time=2020-11-16T00:57:27
1,42.74,C++,,3052900,3136787,jacek,PL,75369242083208,
1,41.22,C++,,2700028,1400179,reCurse,CA,58850847098890,
1,39.5,C++,,3023982,735910,Agade,CH,1997542876524,
1,38.57,C++,,3039209,1607522,RoboStac,GB,11333369102997,
1,37.49,C++,,3146431,2522090,MSmits,NL,17784428403916,
1,35.34,C++,,3069265,2923506,darkhorse64,FR,23496414257567,
1,32.21,C++,,3156393,3457031,YurkovAS,RU,33020204289704,
1,31.89,C++,,2704021,351062,Neumann,FR,17173563008577,
1,31.88,C,,3031926,2924895,trictrac,FR,23056996012330,
1,31.2,C++,,3060116,154984,_Royale,FR,17869369984436,
1,29.81,C++,,2593382,1479930,LeRenard,FR,40384564000700,
1,28.93,C,,2614458,3443015,Wozniak,FR,,
1,28.91,C++,,3032602,862919,Astrobytes,GB,60413902297900,
1,26.42,C++,,2491655,1489865,EricSMSO,FR,10005277870281,
1,26.31,Python3,,2629645,832306,pb4,FR,10135289026547,
1,26.06,C++,,2492978,1876212,PFischbeck,DE,14113662061799,
1,25.23,C++,,3022917,3533119,wlesavo,RU,44695284080274,
1,24.79,C++,,2844539,1314316,jolindien,FR,14585204616953,
1,24.66,C#,,2492296,1500515,eulerscheZahl,DE,43135502422075,
1,24.48,C++,,2991454,232528,cegprakash,IN,10550602859943,
1,24.34,C++,,2990054,3622757,anid,,,
1,24.28,Rust,,2469261,2288263,dbdr,UA,43448306132121,
1,24.16,C,,2474890,218189,[CG]Maxime,FR,2925297592678,
1,24.15,C++,,2693819,2043908,AntiSquid,,,
1,24.1,C#,,3037984,3755755,AAhmed9,,,
1,24,C++,,2679844,1344487,UnnamedCodinGamer,CH,106180221086495,
1,23.94,C++,,2830560,1201796,P.Greze,FR,3522907180370,
1,23.88,C++,,3028851,311035,leojean890,FR,42398427701382,
1,23.87,C++,,2693695,1629259,Marchete,ES,61997162908277,
1,23.85,C++,,2590176,1792429,Wildum,DE,20404122734641,
