league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=13|time=2023-09-24T20:53:45
2,27.46,Java,1631905982825,3833558,3235897,Zylo,PL,25779784253696,
2,26.66,Java,1604790314450,3166996,4014644,SergioFx,FR,51761560186106,
2,19.22,Java,1604853766237,3167955,1195856,daifei4321,US,2979089591958,
2,19.05,Java,1605475716663,3218517,394551,Mycopka,RU,43118065278123,
1,20.71,Java,1630783931345,3812759,2913901,Cissou,FR,64135147968563,
0,24.09,Java,1604486910173,3161087,2342135,benoyt,FR,23714527488832,
0,18.05,Java,1604310084177,3158028,2508635,hemhel,FR,17633818881669,
0,7.25,Java,1603293996846,3142997,1341520,egaetan,FR,21055353954161,
0,7.25,Java,1604592710406,3162919,3795982,Laffont_Emile,FR,52607580751689,
0,7.25,Java,1604660139209,3164057,3565753,SergioLuna13,ES,36616227439386,
0,7.25,Java,1604401888353,3159734,3039456,SabertheLost,SE,,
0,7.2,Java,1658132993651,4397277,4282042,aCatAI,MT,62256727195192,
0,7.17,Java,1676053617087,4736069,5163410,LOKI_78,LU,93367947956362,
