league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=14|time=2020-10-03T00:45:54
2,33.39,C,,3117499,2924895,trictrac,FR,23056996012330,
2,29.09,C++,,3114090,1489865,EricSMSO,FR,10005277870281,
2,28.9,C++,,3117811,1479930,LeRenard,FR,40384564000700,
2,24.85,Python3,,3113138,2290633,field3,JP,75961127697737,
2,24.57,C++,,3115891,2923506,darkhorse64,FR,23496414257567,
2,23.9,C++,,3116988,2416641,Zenoscave,US,16732569385856,
2,23.85,Python3,,3118203,311035,leojean890,FR,42398427701382,
2,23.3,C#,,3114025,1378958,Illedan,NO,16222515698472,
2,22.66,PHP,,3115479,1412263,PatrickMcGinnisII,US,75707267075165,
2,21.72,Python3,,3114119,3136787,jacek,PL,75369242083208,
2,21.59,C,,3117852,973040,papyjo,FR,15696776172839,
0,22.55,C++,,3113221,3721214,jrke,IN,68983084061211,
0,21.46,Ruby,,3116675,3808031,_proton,US,44172683522650,
0,1.78,D,,3112560,2043908,AntiSquid,,,
