league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=495|time=2024-02-18T04:07:01
5,28.07,C++,1517928866321,1650492,542999,arturgo,FR,96087649040428,
5,27.84,C++,1517419502086,1643686,494104,Recar,GB,4953953776940,
5,27.29,C++,1580674731913,2668199,2311105,kovi,HU,20774306904131,
5,27.0,C++,1517673225092,1647464,580424,siman,JP,7464902754297,
5,26.88,C++,1517419506432,1643697,371603,martin,CA,1761380964089,
5,26.81,C++,1526836795940,1857816,1034635,SlyB,SE,2110171576995,
5,26.64,C++,1522735588312,1757473,1583206,simspok,GB,6459131547182,
5,26.43,C++,1568955983593,2493409,1629259,Marchete,ES,61997162908277,
5,26.4,C++,1518332123079,1655344,154984,_Royale,FR,17869369984436,
5,26.25,C++,1542544778306,2132187,2906497,daaskare,FR,117110325467110,
5,26.18,C++,1517426703224,1643855,1721506,jmutz,DE,9348231477619,
5,25.85,C++,1517423104383,1643776,805067,Magus,FR,24623991925371,
5,25.78,C++,1517838850083,1649460,566761,Arcady,CA,,
5,25.7,C++,1518991026078,1663335,226115,Nergal,FR,1822981218014,
5,25.43,C++,1686494794796,4967167,1753424,FilkinKuiv,UA,10100504747660,
5,25.33,C++,1630968743213,3815888,2376044,NecroSchmurf_IV,FR,81736923758256,
5,25.32,C++,1519941565607,1676410,578579,Gareth,GB,,
5,25.18,C++,1517477110087,1644208,579894,Binarii,US,,
5,25.07,C++,1614893164536,3449946,1488729,samrrr,RU,59564382912209,
5,24.34,C++,1517426705694,1643858,735910,Agade,CH,1997542876524,
5,24.11,C++,1596966514124,3058121,511125,Arrekin,PL,23742619681396,
5,23.99,C++,1610382790936,3386459,668954,Fluxor,FR,1832090086325,
5,23.96,C++,1596966516993,3058124,2242201,Maryan,UA,33999460575859,
5,23.96,C++,1686483991044,4966919,1588918,Svenskaren,US,6559219391528,
5,23.91,C++,1518166502349,1653283,195088,Jopie64,NL,3166839360134,
5,23.82,C++,1517423103391,1643775,536400,Atmel,CZ,,
5,23.46,C++,1610382792116,3386460,788361,Bob,FR,29407964997640,
5,22.95,C++,1559159324253,2406074,591102,takapt,JP,2874875510925,
5,22.78,C++,1559310551145,2407440,220353,redvasily,FR,,
5,22.64,C++,1597956812447,3069623,3939089,CuteLittleWolf,HU,48771288387918,
5,22.17,C++,1533280520381,1993052,2006324,Oussama_Siharde,MA,75224840468195,
5,21.92,C++,1616262998626,3470164,2968035,DomiKo,PL,46567648927625,
5,20.81,C++,1551728366306,2263376,1584802,emh,NO,8880348453118,
5,20.34,C++,1686483991538,4966920,615971,Krot,CA,,
5,20.04,C++,1559310553001,2407443,186179,Nagrarok,FR,95596601515650,
5,19.13,C++,1542536993203,2132051,406132,ManuDev,FR,,
5,18.68,C++,1517856853083,1649735,404357,Tibo669,FR,6695613940043,
5,15.16,C++,1517949877453,1650812,1756952,Petras,LT,14577886478284,
5,6.15,C++,1517946600868,1650754,2396169,RedBull250ML,JP,18322225969360,
4,25.16,C++,1516821817297,1635413,1664044,BUG,LT,8001540148135,
4,25.13,C++,1698852921071,5093543,2786666,TetraktysPhi,FR,20818693590142,
4,24.4,C++,1516814630313,1635233,564985,Adhin,FR,1800663808359,
4,24.21,C++,1522980512554,1762622,1978320,MoonAntonio,ES,12453215285534,
4,24.16,C++,1518815205099,1661344,1400179,reCurse,CA,58850847098890,
4,24.12,C++,1516814653771,1635280,489078,enot110,GB,82567666097492,
4,24.08,C++,1580213031685,2664382,1673512,Ryoken,LI,,
4,24.07,C++,1635520799761,3878987,3443015,Wozniak,FR,,
4,24.0,C++,1623143707016,3705537,1179950,CodeVanguard,FR,115134327079567,
4,23.98,C++,1516814640788,1635253,938449,GalaxyNET,BG,1758991921548,
4,23.94,C++,1522834754339,1758851,2093395,VadimKuznetsov,UA,15462798488362,
4,23.85,C++,1523611158966,1771552,596947,LBandy,HU,1812385072011,
4,23.78,C++,1553507130852,2310778,2762653,RAAAT,FR,20523458481719,
4,23.36,C++,1520943542836,1729043,754792,Ramdeath,LT,13430148307311,
4,23.05,C++,1552063822904,2267432,1479930,LeRenard,FR,40384564000700,
4,23.0,C++,1534582619078,2031294,2708342,HIWA,IR,19965193243808,
4,22.99,C++,1517583210740,1646124,1634195,k.ab,ID,13042180236760,
4,22.84,C++,1516883024068,1636091,236902,Tryum,FR,17614443641387,
4,22.77,C++,1672750328494,4672034,3721214,jrke,IN,68983084061211,
4,22.74,C++,1544981744829,2184563,1390607,Ivan_Derzhylo,UA,67601821029462,
4,22.71,C++,1592663303835,3018437,3807227,GaryAflalo,FR,45755587170620,
4,22.58,C++,1516962239094,1636989,2330513,OldBeaver,JP,16348909977513,
4,22.57,C++,1519939037980,1676373,476659,Beard,KZ,113363566481032,
4,22.43,C++,1571591556814,2577038,200624,Alnef,FR,,
4,22.37,C++,1621357166790,3674001,4281608,seren_karaseyfioglu,TR,,
4,22.35,C++,1664615565436,4475806,3925832,Maxim251,NL,,
4,22.32,C++,1526304355669,1851986,200239,rafirafi,FR,7490943938474,
4,22.28,C++,1517586810914,1646232,472513,Fatall,RU,1787766185052,
4,22.25,C++,1518407734079,1656311,154078,Yahya.Elfakir,NO,1796829209738,
4,22.18,C++,1517583213893,1646128,279452,mangoose,TN,,
4,22.18,C++,1523611159541,1771553,2133361,VadimKuznetsov1,UA,18127989393834,
4,22.15,C++,1661168206742,4430184,3470270,Tabaxi3K,US,,
4,22.13,C++,1526812036286,1857562,579708,Blackclaw,FR,3703086745345,
4,22.1,C++,1619192922130,3514776,4248565,Mc_Monkey,IN,,
4,22.09,C++,1694075044112,5045797,4070584,Dm4ster,FR,108260142126749,
4,22.08,C++,1610256750126,3385088,4022767,timaslabas,LT,,
4,22.06,C++,1621468802116,3677241,4235414,RamazanHalid,TR,,
4,22.06,C++,1526812032342,1857557,1743393,mrbubula,UA,99479282219056,
4,22.05,C++,1516829020398,1635574,978182,Capricornus,PL,,
4,22.05,C++,1563879445140,2451705,1390789,Matthieu.L,FR,36482342568862,
4,22.05,C++,1601703799846,3118297,3921345,JFP81,FR,47979082454844,
4,21.88,C++,1517637219076,1647004,1176700,HL,CA,3975559759581,
4,21.87,C++,1536868948768,2066767,2731276,panda42,DE,20365034647350,
4,21.79,C++,1622221422150,3691970,4358474,matteo.lupica,CH,116728587188179,
4,21.73,C++,1543493656848,2142897,2424911,vuolankoinen,FI,16775881137927,
4,21.7,C++,1648949656143,4061236,225875,Leff,US,46674243497438,
4,21.69,C++,1589929975700,2983148,395576,djedje,FR,111529268809580,
4,21.54,C++,1597931612016,3069240,154348,ProYd,FR,2271405018802,
4,21.53,C++,1523611158191,1771551,970195,Elbanono,FR,2297043133056,
4,21.37,C++,1622674678946,3698768,3844073,berketurk,TR,,
4,21.23,C++,1517583211876,1646125,499753,Jonas1,LT,,
4,21.19,C++,1623258036841,3707279,4036060,King_Coda,US,63698325635472,
4,21.12,C++,1526473979024,1853951,1049935,Azkellas,FR,20993257292354,
4,21.09,C++,1622818930452,3700979,4370923,xxlee,KR,,
4,21.01,C++,1542673824565,2133781,194467,funkeejeffou,FR,,
4,21.0,C++,1622055776774,3688698,3973359,KAbel,HU,58683122994198,
4,20.89,C++,1622678752134,3698802,4371186,0x33f,US,,
4,20.76,C++,1695498174341,5059351,4883414,doogymaniac,GB,83405163738802,
4,20.62,C++,1648341054135,4047614,4809631,Bruicanlas,PH,85572161743960,
4,20.56,C++,1560502346205,2421545,3167968,Master_Zain,GB,25059813489079,
4,20.56,C++,1689597545629,5005906,3513265,DaNinja,IE,35022107863170,
4,20.53,C++,1627176958008,3765095,457992,clojure_addict,GR,,
4,20.53,C++,1619221730971,3515357,1480501,DaFish,SE,29432508282053,
4,20.49,C++,1526812038492,1857567,581921,GuyBol,FR,35049687310551,
4,20.32,C++,1543869176008,2148328,2989322,DatUnicorn,IL,23269947033970,
4,20.24,C++,1697188424185,5075806,4797591,GoodGame001,KR,80377988068617,
4,20.15,C++,1704529472191,5248654,5849872,Mohamed_Developer_Full_Stack,GN,115793506862863,
4,20.03,C++,1668331276084,4524237,808608,Locutus,HU,10289336954599,
4,19.89,C++,1572477292163,2586529,411945,Ripoder,UA,16212372198279,
4,19.88,C++,1627176960014,3765097,201919,LouJo,FR,2052867750622,
4,19.81,C++,1567336481689,2479781,553938,MagAlex,RU,3292063463360,
4,19.76,C++,1527539337091,1868335,512232,vince,FR,103042120786468,
4,19.74,C++,1637055534365,3897847,4039794,Codeab,SG,52846966412662,
4,19.66,C++,1672003840367,4634410,4781063,Nicholi,US,96765521915668,
4,19.56,C++,1700470944493,5111165,4769707,NicolasCDT,FR,79709123550927,
4,19.55,C++,1704443980345,5240043,5882488,AliPmj,IR,116922361601872,
4,19.49,C++,1526812036739,1857563,255061,carlop,IT,,
4,19.47,C++,1535554760105,2051890,1853999,Rounddice,CH,12007987924953,
4,19.46,C++,1674963982110,4723875,2195528,MrWhite,LT,17468704451222,
