league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=11|time=2024-08-18T04:09:44
4,16.12,Kotlin,1550735966855,2253165,1490383,arkwaw,PL,24542688022428,
4,8.81,Kotlin,1518454406819,1656920,1347645,Wick3d,RU,11072235279379,
3,21.81,Kotlin,1650932225161,4161103,2478991,LabRatX,US,17592067435915,
3,19.29,Kotlin,1698261370537,5087285,481988,DevKirill,RU,26384102822076,
3,16.91,Kotlin,1719699600193,5517486,5913443,captainKaoZ,DE,,
3,16.11,Kotlin,1575074507057,2614245,3488041,KodeMonkey,US,34223383760464,
3,15.89,Kotlin,1630324280161,3805939,914536,TiberianGun,BY,10227369610773,
3,14.8,Kotlin,1579391563882,2654400,2003111,Krikolo,FR,20420698911922,
3,7.02,Kotlin,1517052497702,1637766,1448862,hexkid,GB,12659358278312,
2,27.56,Kotlin,1591375926238,3004486,1515891,ndc,RU,57247748477088,
0,17.6,Kotlin,1534406863461,2026591,2713608,LostSymphony,FR,19945860182726,
