league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=14|time=2026-03-16T05:52:17
,27.98,TypeScript,1759544164706,6057155,5021346,funtuan,TW,88552567941031,
,26.28,TypeScript,1591692593201,3008230,3145165,rmuskovets,UA,,
,25.36,TypeScript,1591884715781,3010338,155929,[CG]jupoulton,DE,9399538004630,
,24.54,TypeScript,1592088615106,3012702,903341,Morthyr,HU,52768162388380,
,24.23,TypeScript,1772122343843,6273375,7137331,Wojts,PL,,
,20.91,TypeScript,1746868406696,5859489,3159770,chrismas,IT,83864266925869,
,20.0,TypeScript,1592983347459,3021540,2921599,Rinoweb,FR,22420100477650,
,18.56,TypeScript,1704444615915,5240096,4234201,Online13,MG,82543107305025,
,18.0,TypeScript,1676230809379,4737958,3992550,foreign,FR,50980824286436,
,16.24,TypeScript,1764073522903,6123718,6913501,Rynal,FR,157029901568514,
,16.1,TypeScript,1592063125986,3012397,1416257,Elitran,FR,4929361135674,
,2.06,TypeScript,1618135638798,3496498,3733807,soadbaloum,IL,43044548370244,
,0.97,TypeScript,1591433514251,3005045,2373953,Dridriun,FR,64609504937617,
,0.97,TypeScript,1738651503095,5770886,4846734,BryteMorio,NG,,
