league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=90|time=2023-11-28T04:07:37
5,26.16,C,1509636218369,1499758,1050159,speedloop,FR,2344905683707,
5,24.74,C,1507739980267,1478521,155939,xylo,FR,2886006485885,
5,22.12,C,1576611553483,2628111,2831400,joakje,SE,,
5,22.11,C,1545755523492,2199463,886483,R4N4R4M4,FR,7943435133357,
4,25.89,C,1510158430486,1505138,1568785,Chalzy,CA,10551277510615,
4,24.81,C,1643834811996,3992012,2924895,trictrac,FR,23056996012330,
4,24.26,C,1507135087682,1473040,1568122,rdragon,NL,13936641965914,
4,20.59,C,1509284625794,1495662,1437820,Deadbool,FR,6640902453847,
4,20.48,C,1507135102203,1473058,1188212,superredlark,CN,2920737364455,
4,19.18,C,1526322353855,1852330,373213,Rozana,FR,,
4,17.19,C,1542760230552,2135611,378622,Mithrock,FR,52888866682381,
3,23.63,C,1506530147495,1466730,1416725,BayashiPascal,JP,4376480611767,
3,23.43,C,1517755102089,1648367,2438011,Findo,BE,16898097270828,
3,22.38,C,1581171252814,2674483,973040,papyjo,FR,15696776172839,
3,20.37,C,1506530096225,1466667,1410608,HugoLaKer,FR,,
3,19.96,C,1588262684763,2841767,377293,fiascototal,FR,,
3,19.92,C,1515164096012,1618132,1255849,Hammadi,TN,3486054555292,
3,19.75,C,1508614237208,1488243,368837,N.Hans.er,FR,,
3,19.19,C,1682004125015,4802689,898785,gdbro,FR,48844021709202,
3,18.95,C,1565539348828,2464820,375167,maxla,FR,,
3,16.61,C,1506926060456,1470873,360942,Amev,FR,9671729612623,
2,22.4,C,1506022853587,1459774,1000199,Zlatko,AT,95296002598487,
2,22.12,C,1506006832102,1459268,1437833,HackEAreala,RO,73641165663759,
2,21.85,C,1506279226082,1463128,653174,Ccookie,FR,3881559642250,
2,19.3,C,1506023159244,1459788,1072200,alze,FR,5036475951741,
2,19.22,C,1506031066624,1460056,1783604,Vry,FR,13586498256488,
2,18.64,C,1506023264281,1459817,1323814,Wildcat-SC,FR,70979840035465,
2,18.1,C,1508334817111,1484687,969166,SebSeb,FR,,
2,17.95,C,1614499304200,3444472,311954,Kush,FR,3294182347559,
2,17.85,C,1506603414847,1467402,1305709,DavidD,FR,,
2,17.76,C,1506584103092,1467173,1870400,DarksMaster001,BE,12397302603391,
2,17.75,C,1506756571879,1469479,266276,MrTimber,FR,4392761083277,
2,17.74,C,1506756573022,1469481,1110169,eiredderie09,PH,2478638333947,
2,17.62,C,1522088088217,1748441,1178569,Azerrr,FR,2849990549711,
2,17.62,C,1510436115238,1508284,999637,dinobogan,FR,61192341763607,
2,17.27,C,1506756589216,1469505,200536,Sabathius,FR,,
2,17.26,C,1610132226957,3383737,854752,MouleMan,FR,1743171943389,
2,16.83,C,1570048368249,2507812,1029602,Potemkine,FR,3592202416352,
2,15.58,C,1650731826799,4126537,3207719,Lumix,FR,82230880746712,
1,13.71,C,1508132470471,1482575,155928,pk,FR,1720918958539,
0,24.42,C,1604359023079,3159264,942392,Metanoob,FR,81480427823239,
0,24.0,C,1455915384202,380546,1010476,Migrou,DE,51811564269089,
0,23.95,C,1507140714836,1473173,1012514,DeniCR,PT,2142449019414,
0,23.27,C,1506779285217,1469653,1415495,fenrir,FR,13431635833249,
0,23.2,C,1411473021178,165315,379818,zakhej,RU,,
0,22.66,C,1443958186937,337245,1078457,KevinNayrac,FR,,
0,22.38,C,1484154684239,918300,1518672,glouyot,FR,,
0,22.33,C,1523446933533,1769221,2543667,deuigst,FR,,
0,22.24,C,1543149169998,2139461,1835014,Frits,NL,12086023337829,
0,19.75,C,1417027404539,204448,632381,ThibaudBlein,FR,,
0,19.46,C,1411588799906,165174,254889,data,FR,1966533388796,
