league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=93|time=2024-10-06T04:10:25
6,21.91,PHP,1705174352420,5282148,4095128,Voltmachine,BG,56919066754571,
6,21.11,PHP,1707502910421,5310147,155896,gamoul,FR,2010495372657,
5,19.2,PHP,1704735421597,5271481,1412263,PatrickMcGinnisII,US,75707267075165,
5,19.16,PHP,1704735361973,5271336,3060687,FraiseBlue,FR,104250209997467,
5,18.42,PHP,1704734820128,5269756,153057,PierralF,FR,1762452918913,
5,18.02,PHP,1704736098993,5273624,4833915,Ando_Riccardo,MG,81571608252461,
5,17.9,PHP,1704735190479,5270796,4283515,FrancoisBaveye,FR,104716760268246,
5,17.78,PHP,1704734966185,5270128,5516451,OlivierCoilland,FR,,
5,17.76,PHP,1704735956588,5273112,2718963,Fregat,RU,20012147929926,
5,17.17,PHP,1704734801930,5269699,304126,Kami...,FR,10057081063920,
5,15.88,PHP,1704735516394,5271764,5242046,SamGame,FR,95411881842381,
5,15.24,PHP,1704734868379,5269903,5785444,Anastaszor,FR,114174227258262,
5,14.3,PHP,1704735517163,5271765,3586725,obrozer,FR,38932740061063,
4,22.28,PHP,1704734980146,5270150,4520481,MadmanInABoxAtWork,BG,74557527131121,
4,21.97,PHP,1704735770856,5272510,1475507,Rigg7,RU,7917420243803,
4,20.98,PHP,1704735776998,5272532,1788930,Melclem,FR,11738964962645,
4,13.96,PHP,1704735621626,5272064,1713931,j3r3m,FR,94820288018591,
4,13.72,PHP,1704736164521,5273840,2292628,SamSamSam,FR,116500623668044,
4,13.02,PHP,1704735521619,5271778,154353,Georges5,FR,,
4,12.75,PHP,1704736097276,5273617,5106680,Haniki,FR,91034022642400,
4,12.46,PHP,1704735044638,5270344,4456644,vonTrotta,ES,69796667191295,
4,12.35,PHP,1704735473980,5271651,1361453,Xav726,FR,53920680178775,
4,12.19,PHP,1705526481799,5288117,3455804,D0SD3,FR,130138341178142,
4,12.04,PHP,1726560594065,5577393,4638323,QuentinR54,FR,,
4,11.15,PHP,1704735342341,5271266,1479010,Ragou,FR,13972255896900,
4,11.07,PHP,1704735995187,5273243,3811234,Underwilly182,FR,45384622677312,
4,10.91,PHP,1704734715997,5269443,4263279,Arbie,FR,62364685688245,
4,10.07,PHP,1704736192989,5273905,5875411,wabiki4670,IE,,
4,10.01,PHP,1704735893799,5272913,5242039,SovaAl,PL,,
4,9.74,PHP,1704735097743,5270526,5870559,alex3493,ES,,
4,9.67,PHP,1704735652877,5272146,3740580,CML,FR,61942045515431,
4,9.54,PHP,1704735827506,5272677,4533626,Aelhan,FR,117317961764553,
4,9.32,PHP,1704735672790,5272208,4626700,JohnyDarecek,CZ,74185100725077,
4,8.85,PHP,1704736064025,5273488,4597027,switcherflow,RU,73189246234875,
4,8.55,PHP,1704735918936,5273002,2631176,Sedera,MG,43718808156249,
4,8.54,PHP,1704734789804,5269670,5127071,Yliana,FR,108051141391547,
4,8.26,PHP,1704734886491,5269955,266276,MrTimber,FR,4392761083277,
4,7.57,PHP,1704734665527,5269288,1635219,Raph-raph,FR,7520366513553,
4,7.17,PHP,1704735122734,5270608,4618693,cedricdd,FR,85418008807758,
4,6.58,PHP,1704735576455,5271962,802171,Merome,FR,1833057833457,
4,6.04,PHP,1704735972588,5273170,1411952,gragatrim,US,25877983628595,
4,5.89,PHP,1704734766459,5269595,5582504,GBDX,FR,108982425526322,
4,3.15,PHP,1709524340549,5331823,3806986,jjdb210,US,44132561849909,
3,16.71,PHP,1704735915224,5272986,3305510,TBali,HU,26750785092441,
3,16.59,PHP,1704734697255,5269383,1415324,Pent6400,UA,63005544436446,
3,16.35,PHP,1704734854498,5269864,1719857,charly,DE,107490965714076,
3,16.25,PHP,1704734659436,5269267,4055616,olcha,FR,53607221780255,
3,15.56,PHP,1704736019559,5273321,860121,ChtiSeb,FR,9782930331814,
3,15.04,PHP,1704735724571,5272380,484031,LeSSeR,UA,1751897584160,
3,14.65,PHP,1704735350346,5271299,3983017,TLbuis,NL,50598324428631,
3,13.95,PHP,1704735372888,5271372,2068178,dave470003,GB,,
3,13.5,PHP,1704734677702,5269329,1540343,chernovig,RU,53567867905839,
3,11.7,PHP,1704734911915,5270000,3714202,SIyrack,FR,42666687996521,
3,11.34,PHP,1705069564484,5280089,5894484,Slavenin,RU,,
3,11.31,PHP,1704735272107,5271051,4105586,Django81,FR,56372383523115,
2,17.68,PHP,1704735270589,5271042,1594351,elplouk,FR,130138662472899,
2,17.48,PHP,1704734993479,5270192,4975287,Phalenopsis,FR,86804702287857,
2,16.18,PHP,1704735385500,5271412,5858554,gudik,DE,,
2,13.76,PHP,1704735097128,5270523,4065533,GuillaumeSLD,FR,55150945730044,
2,13.08,PHP,1704734703572,5269406,4055713,socha42,FR,116657629890528,
2,2.52,PHP,1704735551333,5271869,4395425,arnolem,FR,100693788603109,
2,2.51,PHP,1704735163610,5270713,159911,Hugues,FR,,
1,24.2,PHP,1704735375863,5271385,3446140,Upcy,FR,32729483218024,
1,20.88,PHP,1704734834729,5269817,2133464,BenjaminWct,FR,13968054663418,
1,20.84,PHP,1715760372431,5379821,2142370,Harry88pl,DE,23209775406181,
1,19.52,PHP,1704735273102,5271056,329200,BlitzProg,FR,7407206403800,
1,18.72,PHP,1704735571854,5271942,271199,MadCat34,FR,8749793766898,
1,15.12,PHP,1704734884265,5269946,1298542,Walkie-Talkie,UA,42237766132477,
1,14.95,PHP,1704735688170,5272247,1527402,Anc,FR,5689344254367,
1,14.72,PHP,1704734723683,5269474,4126121,valival-nikolay,BG,66164288557905,
1,10.95,PHP,1704734675329,5269322,1147537,FunMan203,BE,105942681181162,
1,5.09,PHP,1704734721808,5269467,3843621,ZeranicDK,DK,,
1,5.08,PHP,1704735805941,5272616,5755585,Squally,FR,113040422753187,
1,5.08,PHP,1704735109951,5270571,948838,gergipeter,HU,112612949281249,
1,5.08,PHP,1704735359317,5271324,5782484,charline,DE,116770843632570,
1,5.08,PHP,1704735778380,5272539,3866685,Eltouf,FR,,
1,5.08,PHP,1704734878290,5269932,1492885,cadjou,FR,,
1,5.08,PHP,1704736165181,5273841,2332475,saguaro80,IT,17173777954454,
1,5.08,PHP,1704734885859,5269953,5807860,Vokanistt,AU,,
1,5.07,PHP,1704734742859,5269513,1205008,Trisard,FR,21984469922271,
0,22.04,PHP,1705332302630,5285035,5915501,TerenceC,HK,,
0,21.45,PHP,1704735920661,5273009,5756821,Nylophira,FR,,
0,16.23,PHP,1704735096404,5270521,153823,Captainseb,FR,2028544101894,
0,16.21,PHP,1704735724057,5272377,1333256,Jangle_ru,RU,3752195264364,
0,16.12,PHP,1704736079549,5273556,399861,Srekcud,BE,5881128575003,
0,16.04,PHP,1704735900948,5272938,1713175,sykius,FR,9265616907880,
0,15.85,PHP,1704735879302,5272846,5789804,IagoParis,ES,114116484432533,
0,15.8,PHP,1704735317808,5271176,5708427,medcouin,MA,,
0,15.75,PHP,1704735605598,5272019,5102227,Mylene0701,FR,125003409529262,
0,15.72,PHP,1704735476697,5271658,5877756,tran_3,VN,,
0,14.89,PHP,1704735856463,5272766,5881538,Tobi_3,DE,116846224082235,
0,2.51,PHP,1704735567493,5271926,5884079,snowwhite_2,UG,,
0,2.5,PHP,1704736154221,5273797,5792417,Piwinov,FR,,
