league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=154|time=2026-01-31T04:54:43
6,22.56,Rust,1705776132574,5291811,3918583,mikmak,FR,48134583112917,
6,22.47,Rust,1704735989344,5273227,443750,mlomb,AR,96112902180014,
6,19.71,Rust,1709037891480,5327675,1966319,0x6E0FF,FR,14292040030510,
5,25.36,Rust,1704793290050,5274583,4801044,TN19N,MA,145302064567003,
5,22.71,Rust,1704735595346,5272015,4238274,Sahcim,PL,81161089216365,
5,21.46,Rust,1704735628817,5272085,4279129,phidra,FR,64035243692575,
5,20.76,Rust,1704735499690,5271735,153661,Lionel__,FR,7253112116408,
5,20.43,Rust,1704734993842,5270194,1838612,statiolake,JP,58633349661174,
5,20.16,Rust,1704735779470,5272543,4083906,tonigineer,DE,116683604285288,
5,19.73,Rust,1704735036206,5270320,4046568,jfaixo,FR,112823247448244,
5,19.53,Rust,1704735445141,5271563,1333727,m_buyoh,JP,19427781980400,
5,19.49,Rust,1704735839425,5272715,4506498,TimeEngineer,FR,70268445540702,
5,18.28,Rust,1704982804486,5278591,4440113,Blazde,GB,69548844472630,
5,18.27,Rust,1706133850547,5296962,1957077,domak,FR,20590499081541,
5,18.01,Rust,1704735561900,5271904,5495962,Ueddy,JP,117045844751557,
5,17.93,Rust,1704735704178,5272308,5008158,Harmm,NL,116591282269208,
5,17.81,Rust,1704735043172,5270339,5354517,AndreasHuber,CH,103693383515460,
5,17.73,Rust,1704735183884,5270776,1314162,Gobi03,JP,17461719592958,
5,17.71,Rust,1704735440972,5271545,2238146,stem,RU,,
5,17.7,Rust,1704736075280,5273542,3729215,Amtek,PL,41818584820633,
5,17.62,Rust,1704735218886,5270863,4800950,mshibatatt,JP,124893406106604,
5,17.37,Rust,1704734800014,5269688,3826720,Noppo,JP,117278364576426,
5,17.16,Rust,1704734978395,5270145,4257906,NotSureWhyThisWorks,AU,115801307841624,
5,16.57,Rust,1704734898292,5269977,1404934,tarriel,AU,40400349677311,
5,16.52,Rust,1704735547989,5271855,1603088,HyperDec,FR,19948073929165,
5,16.34,Rust,1704736055237,5273450,811004,tarte7,CA,2069735985974,
5,16.27,Rust,1725545227752,5568231,5145493,maxwo,FR,,
5,16.15,Rust,1748595438847,5875750,6550449,Anonymous__7,US,143411544450367,
5,16.05,Rust,1704734708708,5269424,406188,parallel,FR,4418851149091,
5,16.04,Rust,1704735254132,5270978,4118735,MJE10,US,,
5,16.01,Rust,1704735691450,5272260,3770735,ryo_n,JP,42929547001484,
5,15.89,Rust,1704735761509,5272482,1582306,AbsorbantLight,IE,,
5,15.82,Rust,1704735708986,5272328,5676473,RoKerjea,FR,111102442127735,
