league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=271|time=2024-05-10T04:08:02
5,25.44,C,1651671814415,4258656,4840981,Enael23-jpauline,FR,81765762446388,
5,24.97,C,1655050286612,4320925,2924895,trictrac,FR,23056996012330,
5,23.7,C,1651741368838,4267900,2021126,FPSCUBE,FR,12916810121106,
5,23.34,C,1654385944580,4311962,886483,R4N4R4M4,FR,7943435133357,
5,20.7,C,1652900916044,4290862,4584723,babaaurhum,FR,,
5,20.7,C,1651672531442,4260147,1385211,Thheo,RO,34886861987359,
5,20.61,C,1651672456743,4260011,4193382,ntan,FR,105780908358192,
5,17.94,C,1652629652552,4286471,3970247,Conidev,FR,116770387859769,
5,17.31,C,1657197860778,4385170,3812659,RiggedBot,FR,82576063401924,
5,14.1,C,1666558491382,4505350,3457031,YurkovAS,RU,33020204289704,
5,14.0,C,1670856984849,4561309,4838630,-ko,FR,81680865360710,
4,23.21,C,1653290898815,4296611,3314335,Snailbot,SE,,
4,22.81,C,1651671600491,4258240,1344197,CsAdamK,HU,,
4,22.55,C,1651673612078,4262028,4856191,kmammeri,FR,,
4,22.14,C,1651671936134,4258918,972854,MrXo,US,1868946456074,
4,22.01,C,1651674043976,4263002,1029663,Skreamly,FR,10310918289639,
4,21.16,C,1651741213921,4267538,2605855,logiqub,FR,18528263791679,
4,21.03,C,1651673199548,4261314,4866441,Rubenzz,NL,82720223026683,
4,20.85,C,1651686358710,4264821,4301550,Sabenson,FR,62816201139096,
4,20.8,C,1651741081570,4267251,4148846,SkyWhait,FR,57735084004077,
4,20.31,C,1651673231964,4261354,4843722,R0ckYou,MA,114653140911383,
4,19.84,C,1651673368638,4261548,4496735,neimados,FR,72610569824556,
4,19.65,C,1651673503247,4261792,4437874,Tsurea,FR,81681005700927,
4,19.39,C,1651674224761,4263336,4603987,Julzibot,FR,116850900242252,
4,19.08,C,1651672043226,4259160,4870820,MadRaven,FR,82825162932538,
4,19.06,C,1651741343700,4267840,1667236,Nerwosolek,PL,64252848842525,
4,18.91,C,1651673816199,4262462,4860374,MagicMike0,FR,95257481169353,
4,18.82,C,1651673376551,4261569,4296900,hok,MY,104367783994652,
4,18.18,C,1651740653674,4266312,4810466,BenjaminLD,FR,,
4,18.09,C,1651674392625,4263688,1169835,soleraeus,FR,93352102510872,
4,17.93,C,1651672158090,4259408,4859760,G44R4,MA,95439125674419,
4,17.71,C,1651674075975,4263068,4531129,jajalecapouet,FR,70932929109363,
4,17.64,C,1651674533688,4263975,1200604,Alos,FR,17003350276315,
4,17.49,C,1651740788860,4266581,4876415,Loan.,FR,,
4,16.93,C,1651716052573,4265759,4859892,Azpil22,IT,,
4,16.48,C,1651671901656,4258835,1783604,Vry,FR,13586498256488,
4,16.48,C,1651674526398,4263954,3481679,Zerudo,FR,105859069147031,
4,16.29,C,1651674460783,4263825,4061268,LJmartin94,NL,53859000751350,
4,16.27,C,1651673880768,4262617,4794111,LBPK,FR,111306006802714,
4,16.0,C,1654141368571,4308896,1029602,Potemkine,FR,3592202416352,
4,15.94,C,1651673240063,4261363,3966706,Thibauld,NL,105866501706967,
4,15.8,C,1651672701422,4260480,1506280,TwoLate,NO,15807210568002,
4,15.3,C,1651740752793,4266524,4039540,vvaucoul,FR,81591687755826,
4,14.83,C,1651674464573,4263837,4863654,Leopoldo,IT,,
4,14.76,C,1651671610544,4258266,2867664,medbouzaien,FR,21777780481537,
4,14.76,C,1651673516877,4261821,4854059,SuperAstrid,NL,103939623738583,
4,14.37,C,1651673398996,4261616,1360516,chym,FR,80718823548749,
4,14.22,C,1651674155721,4263212,4331296,Dyeboa,NL,95080505088467,
4,13.98,C,1666632528336,4506120,4363401,FuXE,FR,73480468094178,
4,13.8,C,1651672522937,4260141,4656240,dgaloiu,FR,119606625879184,
4,13.75,C,1652117344544,4276904,4014639,AlMar,FR,,
4,13.72,C,1682779083418,4810451,5406211,Saucisse42,FR,114673885599335,
4,12.94,C,1666211182488,4500022,4502720,SebSegard,FR,70215064010516,
4,12.94,C,1651685384599,4264781,4862037,jferrer-,ES,83439783206374,
4,12.43,C,1652262242734,4279871,4427186,7AM,FR,117292405458444,
4,11.83,C,1666314786015,4502043,4309948,DavidWang00,MY,,
4,11.82,C,1662984594459,4447865,4752969,Narnaud,FR,79056180127823,
4,11.77,C,1666314168013,4502019,2147961,korriganBzh,FR,35301689022097,
4,11.45,C,1666346804277,4502363,4873235,Draktur,FR,86097146481209,
4,11.16,C,1694284720012,5047637,4856273,Arkhavy,FR,82313187799239,
4,10.99,C,1652468812600,4284213,4465063,ael-bach,MA,82270969771279,
4,10.48,C,1666314722346,4502040,1310206,bdudek,PL,23336454022948,
4,10.39,C,1666213260330,4500094,2180437,Shirouleroux,FR,83212001829151,
4,10.13,C,1666457934326,4504109,889789,Alain-Delpuch,FR,3105645724538,
4,9.88,C,1666316384300,4502064,2600846,tom78,FR,103727009391873,
4,9.15,C,1670623324673,4557817,4629701,Aptive,FR,95284748807292,
4,8.69,C,1651673757395,4262339,4819965,zpalfi,ES,81117322292716,
4,6.69,C,1651672547564,4260183,4854267,jjane-ta,ES,82309688431525,
3,24.22,C,1651741187326,4267471,4846124,aper_la_vipere,FR,82768581500303,
3,23.85,C,1697821991242,5082552,5123228,gthomas05,FR,92123645553918,
3,23.39,C,1651673722659,4262261,997360,MiniWolskys,FR,3805936915046,
3,22.99,C,1651673409009,4261626,4854978,gemartin42,ES,82276740326450,
3,21.91,C,1651673194299,4261304,2781726,June1664,FR,21450681968805,
3,20.87,C,1651672215198,4259561,4809662,NotNormalGuy,TW,,
3,20.14,C,1651673326393,4261473,4854490,DCS,NL,82265643368317,
3,20.13,C,1651740845074,4266700,4856970,Eldra,FR,,
3,19.49,C,1651740771515,4266550,153810,Vrexu,RO,2253475206940,
3,18.92,C,1651671880208,4258785,1468059,perseverent,RO,4911573457078,
3,18.13,C,1651674525797,4263953,4296953,thhusser,FR,,
3,17.4,C,1651673671959,4262157,4828387,Berkoukech,MA,105357807160508,
3,17.13,C,1666642279489,4506343,5123312,Myans73,FR,,
3,17.12,C,1651672947358,4260903,4785494,Any_0001,FR,82704767237199,
3,16.63,C,1651741016374,4267099,4851774,iel-amra,FR,82503601792666,
3,16.16,C,1659795817484,4416115,1675487,PED,FR,53635449336139,
3,15.68,C,1651674372505,4263640,4862598,rhipidura_,FR,82797521729933,
3,15.67,C,1651671940705,4258933,4749317,LenineKawai,FR,,
3,15.64,C,1651674027786,4262964,4792367,athierry,FR,,
3,15.62,C,1651674126115,4263166,4859913,rdi-marz,FR,,
3,15.42,C,1651673270609,4261396,4325764,hakaman,NL,,
3,15.35,C,1651671854222,4258742,4857972,Marza-ga,ES,95489405167794,
3,15.31,C,1651672020003,4259119,4879570,Hunter256,US,83761780779609,
3,14.46,C,1651740627857,4266256,4860447,Lizilch,NL,82751127758821,
3,14.43,C,1651672019194,4259115,3898994,SirMagic,NL,46896868715984,
3,14.34,C,1651673391452,4261601,3741345,WiReB,FR,99949444885312,
3,14.16,C,1651740859110,4266742,3233951,MrVodki,FR,92822183538234,
3,14.09,C,1651672961904,4260935,4869401,Silas324,US,,
3,13.92,C,1680111830369,4782647,4856389,DupJackson,CH,82317621615068,
3,13.69,C,1651672816363,4260683,4856056,Legokss,FR,,
3,13.61,C,1651672994166,4260982,3702596,WalterBaeck,BE,,
3,13.3,C,1651672669159,4260425,4879483,test131,FR,,
3,13.29,C,1651740961178,4266974,4867915,Cerdelen,DE,82723463183603,
3,12.96,C,1651671691938,4258413,4853775,jaberkro,NL,82231686162700,
3,12.67,C,1651673611335,4262027,4859778,mcipolla,IT,,
3,12.33,C,1651674489832,4263884,4857026,jordanwkh,NL,82371806137192,
3,12.13,C,1651673139624,4261234,4075896,__1O1O1O__,MA,82912862699377,
3,11.95,C,1651674605310,4264150,1046726,theLaenTheorist,FR,2305245463158,
3,11.82,C,1651671657839,4258339,4851363,0kinou0,FR,,
3,11.76,C,1654960565333,4319952,4622250,isouali,MA,,
3,11.76,C,1651673447859,4261685,4853649,jbax,NL,82451883858373,
3,11.69,C,1651695362602,4265185,223164,Narmand,FR,,
3,11.61,C,1651672436541,4259977,4859113,Zarley,FR,82433221299210,
3,9.93,C,1651697206530,4265306,2880621,SSDeveloper,US,78947026009359,
3,9.93,C,1651697080036,4265293,4838485,Snny,FR,,
3,9.69,C,1651672090913,4259257,4860030,lchan,FR,,
3,9.28,C,1676636310519,4742678,3931751,JayBeest,NL,,
3,9.2,C,1651722687675,4265868,4866883,Lanzecki,FR,84759782299951,
3,8.61,C,1651740858012,4266738,4876917,JeeWhy,FR,83129802727746,
3,7.88,C,1651674061352,4263043,4855449,tyamagis,JP,82290400388471,
3,7.81,C,1651871965021,4272185,4518887,knhknh,DK,83268925415602,
3,6.97,C,1651673568919,4261947,4775802,MevAbd,FR,82921285557652,
3,4.29,C,1663542422872,4454421,1342186,Foebus,CH,3814618132999,
3,3.66,C,1651672836645,4260708,4641934,obiman_kenobi,FR,95760062347398,
3,3.15,C,1651672151451,4259388,4605676,Gilfoyle_,MA,82548683126440,
3,-7.86,C,1651674518493,4263935,4881248,unsaludo_ala_gentede_mucholaxe,ES,,
2,24.31,C,1705107478737,5281113,956638,Pi-Geometry,FR,50157040295797,
2,23.55,C,1651672882813,4260788,4294515,Xehaynes,FR,81967360907900,
2,22.21,C,1670078836348,4549708,5214836,TheFabiuZ,IT,94784924160601,
2,22.1,C,1651671925091,4258886,4717341,Bluss,FR,113189409258943,
2,21.97,C,1651673041161,4261071,1477442,ARO17,FR,4925167130051,
2,21.57,C,1651740936217,4266918,4857272,aurele052,FR,,
2,21.47,C,1651673784839,4262411,1265461,apayet,FR,30761707138302,
2,21.45,C,1670510542597,4555963,5215628,Reddyboi,FR,94821369679337,
2,20.91,C,1651671789600,4258606,4243867,4l3x_p0g,RO,82463183766297,
2,20.77,C,1651674116968,4263140,4823276,aldjimen,ES,81273161644616,
2,20.69,C,1651671682592,4258391,4337354,HHqZz,CA,83155164255648,
2,20.21,C,1651671813017,4258654,4860038,rsung,FR,105405725415214,
2,20.02,C,1651672668238,4260423,588371,LaughingDoggo,PL,22454812077002,
2,19.98,C,1651673775045,4262379,489655,Yamard,FR,,
2,19.9,C,1651673576672,4261965,4878788,akika,FR,95370205742574,
2,19.9,C,1670510877974,4555975,5221751,BonsoirClermont,FR,94821463128179,
2,19.57,C,1651672212390,4259554,4218453,hkalyonc,DE,,
2,19.55,C,1651671667821,4258352,4860419,ebondi,IT,82928963954032,
2,19.27,C,1670521079534,4556235,5215617,isibio,FR,94678969864605,
2,18.62,C,1651741110400,4267298,4313685,dclark,FR,,
2,18.2,C,1670519458541,4556199,4926480,jbarbate,FR,87800441717888,
2,17.99,C,1698754430599,5092415,4655985,Lil_marinou,FR,76410022132326,
2,17.91,C,1670842650379,4560948,5231797,EXODIA_GX,MA,95965121548281,
2,17.83,C,1651672872969,4260766,4177702,Anavah,FR,105428926723431,
2,17.46,C,1651673777023,4262389,3558439,magouin,FR,,
2,17.38,C,1697923952772,5083569,2494798,EliTheCoder,US,27525800899351,
2,17.14,C,1651741173619,4267434,4372569,tamigore1,FR,,
2,17.02,C,1651674389219,4263678,3815072,sc4atch,MA,118146424753706,
2,16.97,C,1651674282794,4263473,3803101,CRVII,NL,,
2,16.76,C,1651672222829,4259579,3246079,_Carlos,ES,,
2,16.75,C,1651673468609,4261730,4856501,JuliettevD,NL,,
2,16.7,C,1655297608835,4323851,3737834,Crosility,US,85259042099565,
2,16.1,C,1651673092778,4261174,4858504,MEB,US,82412580553318,
2,15.64,C,1651673376240,4261567,4656815,Scofio,MA,,
2,15.6,C,1651740928576,4266897,1034998,ElleyLean,FR,,
2,15.57,C,1651673803937,4262447,4846481,Monpachi,FR,,
2,15.57,C,1651673667062,4262144,4837743,tsiguenz,FR,,
2,15.56,C,1651673358542,4261533,4844117,hyudai28,JP,,
2,15.46,C,1679546238361,4775403,4734011,KunZR,FR,,
2,15.44,C,1651674542031,4263999,4463303,Men1os,GR,68687968353217,
2,15.32,C,1651741349513,4267858,4629655,JohanDgdv,FR,,
2,15.26,C,1666782335301,4508252,3838707,AkoToad,FR,85823429747090,
2,14.99,C,1651672556117,4260203,4227727,l_eclair_jaune_de_konoha,FR,,
2,14.63,C,1651740869682,4266766,3768069,piwy,FR,,
2,14.29,C,1651673052735,4261089,4856068,jalamell,FR,,
2,14.21,C,1651671958646,4258967,4410313,Blu-ea,FR,67226122174891,
2,14.08,C,1651673734722,4262274,4813943,advm,FR,,
2,13.79,C,1651673189756,4261296,4672467,Faniriniaiko,MG,82795969841634,
2,13.49,C,1651673640403,4262097,4620316,Snouae,MA,95216427886094,
2,13.24,C,1651673289300,4261424,4880507,nobodycs,DE,,
2,13.07,C,1651741212521,4267533,4874018,mamaurai,FR,,
2,11.43,C,1664732903511,4477195,4144418,Cwastche,BE,,
2,11.39,C,1651673028117,4261043,4286463,lionelrobert,FR,,
2,11.07,C,1651797032498,4270020,4304123,Hackzintus,ES,62918241849403,
2,10.91,C,1651673152155,4261254,4500004,nono2403,FR,,
2,10.9,C,1651673106813,4261188,4842689,mt_j,MA,81836884279021,
2,10.36,C,1651796904803,4270010,4053137,highping420,MA,63541081445594,
2,10.06,C,1685986050925,4958652,2787243,IvanRosic,FR,44858884542479,
2,10.02,C,1651797156018,4270028,4874086,cboudrin,FR,82951744625402,
2,9.96,C,1651767660209,4269004,4431888,cmarouf,FR,82941601546486,
2,6.28,C,1651672377681,4259862,4875212,chduong,FR,95726169115247,
2,4.99,C,1651672556893,4260206,2571540,Nagatwin,FR,18213950997435,
1,19.94,C,1651674506455,4263922,4854144,mporras-,ES,82396285791697,
1,19.93,C,1651671917772,4258870,4875657,Fastorn,FR,,
1,18.72,C,1651674530762,4263966,4856412,ealonso-,ES,82317980619253,
1,17.78,C,1651671962551,4258977,4860292,ljourand,FR,,
1,15.75,C,1651672412511,4259922,4800232,aniouar,MA,80697667480484,
1,14.88,C,1651674238886,4263366,4025582,Davi27,PT,54016863402654,
1,14.77,C,1651673775902,4262384,2793264,hyphz,GB,43864585520531,
1,14.37,C,1651673577819,4261969,3953725,Inevk,FR,58676421274668,
1,13.81,C,1651672599874,4260300,4500652,Junya42,FR,82880582377620,
1,13.6,C,1651671763522,4258537,4267604,NENNOI,TH,,
1,13.24,C,1651717212643,4265779,4874625,chat_rose,FR,82930780454944,
1,13.0,C,1651674272567,4263452,4128092,clem9nt,FR,83173920070849,
1,12.72,C,1654598373259,4314365,2169719,KaluTheFrog,FR,14282084879263,
1,12.61,C,1651674298153,4263503,4874334,Tata42,FR,82930389699392,
1,12.55,C,1651740980598,4267020,3955068,Vahemere,FR,,
1,12.49,C,1651673288445,4261423,4875305,Arnduran,FR,,
1,12.48,C,1651671962029,4258976,3470296,EmmanuelBaraton,FR,93715548765915,
1,11.96,C,1680781964712,4790250,2762653,RAAAT,FR,20523458481719,
1,11.53,C,1651673556457,4261926,4052297,byteschool_org,NL,,
1,11.34,C,1651740902783,4266839,4157202,Yukie_ch,CH,70158322979739,
1,11.01,C,1651740945156,4266949,4851780,marieines7,FR,,
1,9.9,C,1651674058339,4263032,4858368,Exyonos,MA,93484448854780,
1,9.88,C,1651674124374,4263160,4853703,lolusop,PL,,
1,9.83,C,1670773616239,4559902,5226770,azgaoua,MA,106180284201072,
1,8.98,C,1651671830715,4258686,2842277,arvinceaud,FR,21379912089342,
1,8.87,C,1651673821738,4262475,4858358,Ucef,MA,,
1,8.38,C,1651740649614,4266301,4856074,Loutchau,FR,82307120965772,
1,8.26,C,1666620566444,4505950,4882068,Reddouja,MA,,
1,7.97,C,1651672785147,4260626,2681238,Anormade,FR,19649190537242,
1,7.88,C,1651673370340,4261552,3811640,yoqorl,FR,52518384860044,
1,7.88,C,1666738456008,4507797,4880739,mprigent,FR,,
1,7.8,C,1651672437095,4259979,4800228,mskerba,MA,105543088189880,
1,7.72,C,1651674172321,4263240,4708570,Flav30,FR,115934027468034,
1,7.68,C,1651671764571,4258542,3115713,faneyer,FR,,
1,7.65,C,1666766922110,4507977,4880748,sdesseau,FR,,
1,7.61,C,1651741225355,4267563,4614436,ael-bekk1,MA,,
1,7.59,C,1651671917271,4258868,4285781,juju-scott,FR,,
1,7.47,C,1651673946656,4262756,3593797,RolandGamos,FR,37950526474589,
1,7.31,C,1651671762169,4258534,1657396,Strezzkev,US,18305438207399,
1,7.23,C,1651673912430,4262676,4791732,amethjr,SN,80967246240448,
1,7.21,C,1679594936221,4776527,5203736,MnMsss,FR,,
1,7.19,C,1651671813482,4258655,4730342,Barbateau,FR,,
1,7.14,C,1651741076862,4267241,3730989,angrybud,FR,,
1,7.09,C,1651740724851,4266467,4843942,mleam,FR,,
1,7.06,C,1651730931651,4265939,4748879,0xC_M0NK3Y,FR,102443825190633,
1,7.03,C,1651673371607,4261557,4289088,EJI,AU,,
1,6.92,C,1651740789817,4266583,4716853,NSusumu,MA,77791389898587,
1,6.88,C,1651674267949,4263440,4126313,youchenn,MA,,
1,6.84,C,1651741327161,4267810,4837376,kenaubry,FR,83177928041363,
1,6.82,C,1679639840222,4777080,5376694,gregon,FI,,
1,6.79,C,1651673605418,4262020,4614316,Draxuxe,FR,,
1,6.79,C,1651674205605,4263320,4862367,kamorinus,JP,,
1,6.68,C,1651741098729,4267279,4656203,goldenboby,FR,75134586214320,
1,6.54,C,1651740738485,4266491,4856243,loris00,FR,,
1,6.53,C,1651673850648,4262549,4853341,Faori,FR,,
1,5.98,C,1651671770307,4258557,4851860,byter,DE,,
1,5.92,C,1651672315957,4259782,4874122,ychibani,FR,83227703600867,
1,4.61,C,1651672008246,4259085,4872323,SeiSeo,FR,,
1,4.05,C,1651673585566,4261990,4873822,Lucifer42,FR,82914522946302,
1,1.47,C,1651673871382,4262594,3838853,Archips,FR,53096620146760,
1,0.77,C,1651674578168,4264082,3429776,Mordroreur,FR,60274380923281,
1,0.64,C,1651672904831,4260833,4838964,Antoine_gras,FR,81768808006733,
1,0.41,C,1651672121225,4259315,4800249,momeaizi,MA,105542763274238,
1,-0.74,C,1651672055761,4259181,1249798,PilsComet,FR,,
1,-1.32,C,1651674491846,4263888,4853588,Coding_frog,NL,82225168786944,
0,17.22,C,1711144356257,5347141,5778811,ydio_i2,FR,121066289339134,
0,17.04,C,1714418890142,5372062,5651105,akkumar47aaa,IN,109780402564394,
0,16.72,C,1685717623501,4921900,5492019,01101000011000010110001101101,FR,,
0,14.92,C,1651673203938,4261318,4865801,zacrabhi,MA,,
0,14.83,C,1651672463952,4260028,4859970,absoluce,FR,,
0,14.36,C,1651672496086,4260090,4864459,mmasstou,MA,,
0,14.07,C,1651740847718,4266707,4298741,devdel,MA,81803169404984,
0,13.57,C,1695712045426,5061251,5210821,borian,FR,,
0,13.51,C,1651673480949,4261760,4855231,mdiogenes,ES,82287888679004,
0,13.32,C,1651741134877,4267366,3248349,Brutus79,FR,,
0,13.28,C,1670789720019,4560265,5174132,niboukha,MA,,
0,13.2,C,1651672205472,4259529,4445551,Heirloom,MA,68572260302556,
0,12.54,C,1651672150293,4259385,4519253,Freiko,FR,,
0,12.5,C,1651673583887,4261986,4874773,ngobert,FR,,
0,7.41,C,1651671595881,4258233,4876516,Elodou,FR,,
0,2.19,C,1699056793885,5096000,5311943,tarzann,GR,120185124529677,
