league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=66|time=2026-06-04T08:09:28
5,19.9,C,1779788413052,6479504,3812659,RiggedBot,FR,82576063401924,
4,23.85,C,1779788427493,6479549,6291155,Ticasali,FR,130334741169181,
4,23.1,C,1779788540273,6479930,7278724,Mmdrlol,FR,161474442487377,
4,22.79,C,1779788992854,6481378,7181232,Exhilarin,TR,,
4,21.6,C,1779992388084,6485098,2924895,trictrac,FR,23056996012330,
4,18.64,C,1779788819116,6480848,3970247,Conidev,FR,116770387859769,
4,18.32,C,1779788835307,6480891,886483,R4N4R4M4,FR,7943435133357,
4,18.2,C,1779788798897,6480800,2643072,Bizzon.,FR,161763706367959,
4,16.82,C,1779788433761,6479570,5964020,SuperDron,UA,119292983605176,
4,15.83,C,1779788416591,6479514,2021126,FPSCUBE,FR,12916810121106,
4,14.78,C,1779788965186,6481272,7289395,boyyg,FR,,
4,14.25,C,1779788563519,6480012,5150606,Matlen,FR,92860425050435,
4,12.53,C,1779788916184,6481096,7297997,lespenel,FR,162016702499105,
4,12.22,C,1779788923445,6481125,3024203,Faynoa,FR,23569345950029,
4,11.81,C,1779788843744,6480906,7166135,rbilim,TR,,
4,11.41,C,1779788988105,6481358,7184148,valrakot,MG,161803602802060,
4,11.37,C,1779788859247,6480939,6431705,ccouble,FR,136402245789043,
3,20.23,C,1779788574035,6480054,7237885,nduvoid,FR,161440786532987,
3,14.9,C,1779788464436,6479673,1200604,Alos,FR,17003350276315,
3,14.86,C,1779788645316,6480298,5244075,Wishmaster-89,AR,95485123480145,
3,13.28,C,1779788697032,6480501,7287342,V0odOo,FR,161711606662668,
3,12.82,C,1779788684869,6480445,6583672,Ksyv,FR,142313126089105,
3,12.26,C,1779788730949,6480556,7286324,zaksu,TR,161661600169330,
3,12.17,C,1779788683457,6480439,6459680,AmbreCode,FR,161526300533645,
3,10.63,C,1779788947225,6481201,4190752,Anushka_42,FR,159086365357880,
3,10.01,C,1779788772630,6480699,7280255,Aschebly,FR,161519927646059,
3,9.48,C,1779788574611,6480056,7286121,Alcie,FR,161656628933086,
3,8.89,C,1779788663252,6480351,1950892,Frankulin,FR,103983343165584,
3,1.69,C,1779788573273,6480051,7280887,LePetitPRlNCE,FR,,
2,22.72,C,1779788528017,6479881,3197936,Kiseli,DE,25391264062559,
2,22.19,C,1779788662705,6480347,7291644,CHANGE-HONORE,FR,,
2,19.76,C,1779788936953,6481164,7154782,calvin.lbld,FR,,
2,19.24,C,1779788546858,6479951,5866307,mdoan,FR,130888801321806,
2,17.21,C,1779788619546,6480204,6137896,KalleNewall,NO,126817866756428,
2,16.79,C,1779788380682,6479390,6238794,fzq,AE,,
2,14.85,C,1779788619290,6480202,7278196,NebulaFrog,IL,,
2,13.89,C,1780408814013,6493019,2169719,KaluTheFrog,FR,14282084879263,
2,13.88,C,1779788663979,6480356,6300591,obbitus,FR,155132783475805,
2,13.85,C,1779788603095,6480149,7279991,Osdebien,FR,,
2,13.63,C,1779788443167,6479605,7278851,watercatmilk,FR,161481103256378,
1,17.06,C,1779788913687,6481086,6297433,QN0,FR,,
1,17.03,C,1779788933755,6481149,7162329,EitanLeProDuGame,FR,159511900638169,
1,16.93,C,1779788803939,6480818,7296814,Malver_Daze,KE,161987703739008,
1,15.79,C,1779788774581,6480711,6039371,M00n,FR,131779445603325,
1,15.68,C,1779788475983,6479714,7279060,tchevall,FR,,
1,13.39,C,1779788602711,6480147,4637538,fakuz,TR,,
1,10.65,C,1779788377652,6479381,7213396,Vali_cstc,MG,160382987254602,
1,10.42,C,1779788916057,6481095,7237940,42U,FR,161495424285494,
1,10.4,C,1779788391073,6479424,6683207,viegoat27,FR,,
1,9.66,C,1779788962260,6481262,6507031,flmjm,FR,147641787361440,
1,2.3,C,1779788496651,6479784,7287513,Elliott_in_code,FR,,
1,2.06,C,1779788407268,6479490,7287376,IsaGar,FR,,
1,1.78,C,1779788426245,6479543,7285756,Melvin_666,FR,161649763168876,
0,6.87,C,1779788441417,6479601,5310631,towoga,ES,159775064733142,
0,6.34,C,1779788547463,6479954,1415495,fenrir,FR,13431635833249,
0,-0.51,C,1779788993895,6481384,7162978,Cliffbooth,IN,,
0,-0.63,C,1779788510032,6479827,7286224,driha,FR,,
0,-0.8,C,1779788666198,6480365,7291919,VABALE,IN,,
0,-1.72,C,1779788411051,6479496,7284982,ririnator,FR,161640420736243,
0,-1.83,C,1779788741933,6480591,7293156,b0sma,MA,,
0,-2.08,C,1779788602272,6480144,6748828,ibaraz,TR,161747303709646,
0,-2.4,C,1779788780104,6480731,7280520,August_123,SG,161525909890766,
0,-2.51,C,1779788403645,6479476,7278731,deb.raptor,FR,161474623313166,
0,-2.85,C,1779788650690,6480312,7291188,go160,HU,,
0,-3.0,C,1779788411641,6479499,3084618,AlexM16,PT,,
0,-3.48,C,1779788648621,6480308,7269495,__void_lord__,GB,161657709648180,
