league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=31|time=2025-01-14T04:09:57
3,17.1,Lua,1709567516293,5332263,3564009,Waffle3z,US,44751789808331,
2,21.0,Lua,1525811968584,1846556,1690914,Sami_YC,FR,8804167389692,
2,20.37,Lua,1622192520013,3691329,4166787,polill00,US,58252548616006,
1,26.74,Lua,1729699683676,5603924,6276917,SupTan85,TH,129487802340175,
1,25.19,Lua,1709624040017,5332759,5968952,T_19,CH,119526283294536,
1,24.46,Lua,1626046321571,3750478,4396510,PopcornPlant,US,89668541027014,
1,24.33,Lua,1579450962149,2654800,3633313,WexDex,DZ,39366260626535,
1,24.27,Lua,1548527907012,2230599,2976441,Altlock,NL,23879497736581,
1,19.6,Lua,1647610595060,4037580,3316322,KecapSosro,ID,65831627363952,
1,18.73,Lua,1717613941481,5398534,6085820,LuketheFierce,US,135534560667649,
1,16.18,Lua,1524897617541,1822964,2001945,TechMaster,UZ,12742036661359,
1,15.39,Lua,1525600749008,1844028,2233166,tecanec,DK,,
1,14.09,Lua,1683392212014,4816093,5482269,gGIG,IT,104047066764596,
1,13.55,Lua,1631662806934,3830889,4513104,ZaAinavolTrash,US,70446844637818,
1,8.34,Lua,1614257666010,3441424,1885608,Asterdroid,SE,11479940299399,
1,8.33,Lua,1531631807011,1952821,2574557,MrGoldenApple,US,,
1,6.33,Lua,1522873675018,1759772,1181685,dzik,PL,59278888722781,
1,6.32,Lua,1637021960278,3897546,2992583,Nullptr12k,US,23233395388464,
0,16.12,Lua,1718335985055,5430146,6132390,RSFame,TH,,
0,16.0,Lua,1711122180502,5346834,3163427,Yitsian,US,120858826726262,
0,13.57,Lua,1715291086845,5377271,6077896,CodingHamster,US,123370063328567,
0,10.55,Lua,1680785513166,4790336,5425076,YUTEAZ,VN,101959487782197,
0,9.38,Lua,1734184825994,5648848,6412589,omrezreincartion123,PH,,
0,8.27,Lua,1717668713011,5399116,6118038,BLF__TV,FR,124765962268413,
0,7.54,Lua,1731044381771,5617099,6354447,coding_kat,US,133061261708103,
0,7.4,Lua,1700061426050,5107220,5741280,Poppyesmaster,IT,,
0,7.3,Lua,1521498377910,1737192,2397009,stoppgp,US,16357777216168,
0,6.78,Lua,1690559466146,5015692,5625981,Squeakoftheweek,US,,
0,5.8,Lua,1614510607090,3444627,4209972,MuppetTheMan,GB,,
0,0.56,Lua,1717029648530,5391860,6098613,Mawiik_Programmer,BR,124423122567502,
0,-1.8,Lua,1616597339208,3474075,4247115,xsd,GB,,
