league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=4184|time=2021-07-17T00:30:23
4,32.58,C++,,3694300,3193653,karliso,LV,54368321987353,
4,30.7,C++,,3683140,1400179,reCurse,CA,58850847098890,
4,30.46,C++,,3683118,3136787,jacek,PL,75369242083208,
4,30.32,C++,,3692300,1607522,RoboStac,GB,11333369102997,
4,29.3,C++,,3474244,869239,Vingte,FR,19125583929433,
4,29.06,Rust,,3261405,1607034,tomatoes,RU,37779663047526,
4,28.88,C++,,3708700,2522090,MSmits,NL,17784428403916,
4,28.07,C++,,3439717,3457031,YurkovAS,RU,33020204289704,
4,27.84,C++,,3683292,2311105,kovi,HU,20774306904131,
4,27.82,C++,,3369669,2636370,SupSon,US,18826611875092,
4,27.61,C++,,3117996,735487,amurushkin,RU,2111605585777,
4,27.48,C++,,3403534,1549145,Mealc,SI,,
4,27.19,C++,,3158620,1860953,Miarem,UA,11230519551155,
4,27,C++,,3707078,1540478,struct,PT,61418101984360,
4,26.9,C++,,1964619,1802419,shummie,US,,
4,26.88,C++,,1996640,186179,Nagrarok,FR,95596601515650,
4,26.82,C++,,2608552,3243532,teccles,GB,25962751692516,
4,26.6,C++,,3016459,3424888,Hamibar,RU,43960205390949,
4,26.48,C++,,3522615,2968035,DomiKo,PL,46567648927625,
4,26.23,C++,,3342964,1944726,bourgeof,FR,12115914449796,
4,26.22,C++,,3010242,155924,yvesmocq,FR,89765682512462,
4,26.02,C#,,3359375,2086052,Lks10,NL,40047505064339,
4,25.93,C++,,3369527,3348388,bowwowforeach,JP,60374424199081,
4,25.89,C++,,3371068,2923506,darkhorse64,FR,23496414257567,
4,25.63,C++,,3750536,2638020,ja_fica,PT,43608047918764,
4,25.29,C++,,3750419,1728326,yduf,FR,16468113178206,
4,25.2,C#,,3081149,1629259,Marchete,ES,61997162908277,
4,24.99,C++,,1815129,588426,Jeff06,FR,10102464552605,
4,24.92,C++,,3734602,154312,ThomasNicoullaud,FR,55202507296689,
4,24.65,C++,,3751135,4081634,Wontonimo,CA,54970169109216,
4,24.4,C++,,3680643,4208158,Tiouz,FR,72554823729381,
4,24.37,C++,,2607946,351062,Neumann,FR,17173563008577,
4,24.34,C++,,2356500,1480501,DaFish,SE,29432508282053,
4,24.24,C++,,3366051,4116990,MyMonkey,FR,56262522307071,
4,24.22,Go,,2642821,2007852,Zorg1,FR,16542412157988,
4,24.11,C++,,3135355,154984,_Royale,FR,17869369984436,
4,24.08,C++,,1765816,735910,Agade,CH,1997542876524,
