league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=26|time=2020-02-05T00:30:03
0,35.51,C++,,2641049,2311105,kovi,HU,20774306904131,
0,33.88,C,,2641098,2924895,trictrac,FR,23056996012330,
0,32.69,Rust,,2640228,2288263,dbdr,UA,43448306132121,
0,32.23,Python3,,2648016,2290633,field3,JP,75961127697737,
0,30.92,C,,2640573,973040,papyjo,FR,15696776172839,
0,26.65,Python3,,2644593,792813,VilBoub,FR,72010225615995,
0,26.55,C,,2647463,1029602,Potemkine,FR,3592202416352,
0,26.26,Lua,,2652214,3564009,Waffle3z,US,44751789808331,
0,25.99,C#,,2666547,1531855,GrafZahl,DE,5811095140038,
0,25.88,Java,,2641015,1066745,JohnRambo,FR,107574148016271,
0,25.4,C#,,2668809,1500515,eulerscheZahl,DE,43135502422075,
0,24.45,Python3,,2641886,3561816,noname1477,DE,37217963145424,
0,24.04,C++,,2639153,2923506,darkhorse64,FR,23496414257567,
0,23.91,Go,,2656811,1953786,ludowsky,FR,14499107805962,
0,23.46,C++,,2644937,1288527,Snef,FR,20716524973752,
0,23.45,C++,,2640903,314562,Mechar,FI,3832913620992,
0,22.12,Java,,2639606,1464932,Tiramon,DE,12287237914571,
0,19.04,Javascript,,2671473,1398702,Hota,FR,4341467322789,
0,18.08,PHP,,2658908,1412263,PatrickMcGinnisII,US,75707267075165,
0,17.44,Java,,2640188,3464590,abbecool,CH,33395363139095,
0,17.05,C#,,2639009,1378958,Illedan,NO,16222515698472,
0,12.82,Python3,,2668727,3386139,MostComplicatedUsername,US,66358749788130,
0,10.61,C#,,2638920,2069141,tomeko,PL,13370027887052,
0,8.87,Python3,,2651416,1713174,BigUP,FR,9962854189979,
0,6.85,D,,2638270,2043908,AntiSquid,,,
0,-1.28,Python3,,2653837,2419811,Valbou,FR,37231983233550,
