league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=15|time=2026-01-30T05:02:23
4,8.4,Lua,1476783077227,764611,1181685,dzik,PL,59278888722781,
3,27.71,Lua,1579726219836,2658609,3564009,Waffle3z,US,44751789808331,
3,21.99,Lua,1472072358377,638041,272329,Arglanir,FR,3884009540055,
3,21.68,Lua,1576422995879,2626630,2815558,EvilDuck,FI,21420062999303,
3,20.71,Lua,1760465936011,6066259,4077894,TraceOn,PT,54478709476130,
3,15.43,Lua,1600189485184,3097064,1581114,BobbitTheDog,GB,6466376567510,
3,13.67,Lua,1472072315705,637998,281618,HyroVitalyProtago,FR,1962309608850,
3,13.64,Lua,1534359388382,2025422,2796173,diver,RU,20853841611618,
3,12.15,Lua,1473264016028,653879,1334479,apintor,PT,30361445546652,
2,21.8,Lua,1473237526257,653581,1531819,Gizzmicbob,AU,,
2,21.74,Lua,1454110201489,370877,1230141,heron,US,,
2,20.64,Lua,1440877424588,314511,1014676,ZoeyKD,GB,104508800132270,
2,20.44,Lua,1436477576936,310941,960599,CountZer0,IT,6781740412874,
0,11.82,Lua,1655988568801,4353082,4961408,MrSeaFisher,UA,,
0,11.56,Lua,1435648410859,310209,961517,Chronic_Night,US,1838237021490,
