league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=58|time=2020-06-01T00:30:06
1,43.8,C,,2997756,2924895,trictrac,FR,23056996012330,
1,43.3,Rust,,2852691,2288263,dbdr,UA,43448306132121,
1,40.79,Python3,,2999410,2406605,docri,FR,16547178578923,
1,39.95,C++,,2840096,1489865,EricSMSO,FR,10005277870281,
1,37.36,C++,,2836871,1880319,WildSmilodon,SI,11419736983376,
1,37.15,Scala,,2999064,2743102,Telpenair,RU,20391330722973,
1,35.75,C#,,2836148,1378958,Illedan,NO,16222515698472,
1,33.91,Rust,,2838066,3343665,Quidome,NL,42613726657704,
1,33.67,C#,,2998727,3800764,Qoss,RO,43889827418358,
1,33.6,Python3,,2999576,1272263,Caled,AU,8662053656720,
1,33.12,Python3,,2836327,1713174,BigUP,FR,9962854189979,
1,32.96,C++,,2996626,3802915,meuh,FR,45384944983071,
1,31.86,Rust,,2995705,3434265,romanegunkov,RU,34074506583272,
1,29.33,C#,,2833780,1500515,eulerscheZahl,DE,43135502422075,
1,28.2,Java,,2999534,2064511,SemenyutenkoAndrey,RU,71433642762193,
1,24.38,C++,,2843838,862919,Astrobytes,GB,60413902297900,
1,23.31,Kotlin,,2994767,1518504,bohuss,SK,5792284370171,
1,21.99,Javascript,,2998915,3719253,daffie,US,41786526997017,
1,21.18,C++,,2843753,3513265,DaNinja,IE,35022107863170,
1,18.89,Ruby,,2994773,3808031,_proton,US,44172683522650,
1,18.88,Python3,,2994921,792813,VilBoub,FR,72010225615995,
1,17.23,Python3,,2832303,2290633,field3,JP,75961127697737,
1,17,C++,,2806908,880353,zasmu,FR,22237226756102,
1,15.03,C++,,2847216,1838289,Dagal,BE,11875122484747,
0,31.24,C,,2995672,1010476,Migrou,DE,51811564269089,
0,29.12,Swift,,2999512,3815413,Michael_Howard,GB,44719647705818,
0,25.96,Python3,,2994941,2012662,Natalka1122,ME,12834079646398,
0,25.94,Javascript,,2997157,2354632,Rahdi,PL,45375565444078,
0,25.72,Python3,,2836546,218189,[CG]Maxime,FR,2925297592678,
0,25.65,Java,,2999166,2202771,Kaplone,FR,23792369424472,
0,23.63,C++,,2835866,3165536,barbora,SK,44036705103292,
0,23.51,Go,,2996599,1861258,Nazdhun,DE,11477900555178,
0,23.32,Java,,2998881,3239970,solaimanope,BD,63709244203586,
0,23.14,Java,,2995014,3472672,zargak,TN,,
0,21.73,Python3,,2995319,3441312,Lara_SL,LK,,
0,19.1,Python3,,2829642,311035,leojean890,FR,42398427701382,
0,17.28,C#,,2827471,2069141,tomeko,PL,13370027887052,
0,17.02,C++,,2846809,1288527,Snef,FR,20716524973752,
0,16.7,Javascript,,2840669,3691491,icecream17,US,42082469656497,
0,16.57,Java,,2998617,1483648,kdhakal,,,
0,16.55,PHP,,2845682,1412263,PatrickMcGinnisII,US,75707267075165,
0,15.76,Python3,,2994581,3794483,yuribr,BR,,
0,15.61,Java,,2997131,3691366,V90,RO,52309387852953,
0,15.43,C++,,2995093,3626792,CppLover,ES,,
0,15.41,Python3,,2994146,1997622,Ra777,LT,13037200839952,
0,14.86,Javascript,,2995592,814685,AthosPyte,NO,5617445240242,
0,14.85,C++,,2999042,3465935,chiheb,FR,,
0,12.02,Javascript,,2996447,3465661,Thiesjoo,NL,45239908478293,
0,11.76,Scala,,2830385,1740037,ereiam,FR,12669494111004,
0,11.43,Java,,2994724,3803201,FDA44,FR,44299208746822,
0,11.41,C++,,2822487,3274956,LeProfesseur,FR,,
0,11.2,Javascript,,2994217,808454,.EagleDawn.,DE,19902303477203,
0,10.81,Java,,2832651,3136787,jacek,PL,75369242083208,
0,9.37,C,,2975391,973040,papyjo,FR,15696776172839,
0,5.93,D,,2800922,2043908,AntiSquid,,,
0,5.46,C#,,2808955,523846,Palmipedus,GB,13261819485064,
0,4.44,C#,,2995971,1854639,iDxMeG,FR,11242007512344,
0,4.28,TypeScript,,2832388,3533119,wlesavo,RU,44695284080274,
