league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=14|time=2024-01-29T04:07:27
0,50.35,C++,1680089602063,4782318,3727174,Crazy_Remi,FR,42091389678583,
0,41.59,C++,1683326652374,4815562,2522090,MSmits,NL,17784428403916,
0,36.26,C++,1583071917436,2691812,1489865,EricSMSO,FR,10005277870281,
0,30.31,C++,1680369807691,4785657,2786666,TetraktysPhi,FR,20818693590142,
0,30.12,C++,1641423841579,3961435,1480501,DaFish,SE,29432508282053,
0,27.55,C++,1588773762024,2850534,3513265,DaNinja,IE,35022107863170,
0,27.43,C++,1640024452986,3944188,1072200,alze,FR,5036475951741,
0,27.05,C++,1589029561569,2879799,1479930,LeRenard,FR,40384564000700,
0,25.17,C++,1588856199475,2852371,2414982,pavveu,PL,105250087398605,
0,23.75,C++,1587973416135,2836536,1418821,input.txt,RU,13393616028136,
0,21.44,C++,1626237106537,3752335,4429609,artoppod,JP,,
0,13.2,C++,1658600044087,4404125,3344383,Czejoo,PL,,
0,8.06,C++,1658766302626,4405709,2976356,magmasa,PL,42306142674682,
0,6.76,C++,1614924122610,3450269,3354337,Westicles,CX,79146641399080,
