league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=57|time=2021-07-14T00:30:06
0,44.57,C,,3134545,2924895,trictrac,FR,23056996012330,
0,44.44,C++,,2691812,1489865,EricSMSO,FR,10005277870281,
0,38,Rust,,2846393,2288263,dbdr,UA,43448306132121,
0,34.87,Javascript,,2851820,3450300,thibpat,FR,34532728005828,
0,32.93,PHP,,2848042,304126,kami,FR,10057081063920,
0,29.81,C#,,2849368,1096274,DrBrask,DK,4347556837028,
0,29.49,Python3,,2701060,2290633,field3,JP,75961127697737,
0,29.3,C++,,2829443,1072200,alze,FR,5036475951741,
0,28.64,C++,,2879799,1479930,LeRenard,FR,40384564000700,
0,28.62,C++,,2850534,3513265,DaNinja,IE,35022107863170,
0,27.93,Javascript,,2839997,3522147,Gotham,GB,35448846651093,
0,27.21,Python3,,3638781,311035,leojean890,FR,42398427701382,
0,27.13,Python3,,3480694,2043908,AntiSquid,,,
0,26.58,Kotlin,,2837966,3652176,Allali,FR,39604042106986,
0,26.44,C,,2674309,1029602,Potemkine,FR,3592202416352,
0,26.35,C#,,2830368,3533314,skotz,US,97334021748803,
0,25.98,Go,,2874634,3686503,Harpiste,FR,40624189135998,
0,25.9,Javascript,,2842323,3691491,icecream17,US,42082469656497,
0,24.97,PHP,,2657139,1412263,PatrickMcGinnisII,US,75707267075165,
0,24.56,C++,,2836536,1418821,input.txt,RU,13393616028136,
0,24.48,C++,,2852371,2414982,pavveu,PL,105250087398605,
0,23.8,Python3,,2851877,3583983,theroot99,JO,,
0,23.23,Dart,,3626490,3922731,Dartisan,LU,101995908419116,
0,23,Python3,,3012557,1466631,Akrib,FR,17971797700592,
0,22.09,Python3,,2829411,1105817,MaximeF,FR,35172428546572,
0,21.9,Python3,,2846038,154806,piwai,FR,1956863959967,
0,21.57,Go,,2830514,1144135,Kh4z,FR,4466724052795,
0,20.97,Python3,,2837249,3767065,lxnn,GB,63488305618763,
0,20.86,Python3,,2832251,2740243,Rprades,ES,20624170826703,
0,20.79,Python3,,2851744,1272263,Caled,AU,8662053656720,
0,20.68,Python3,,2834170,3727077,Manwi23,CH,42360341161981,
0,20.58,Dart,,2665841,1427078,ToshiTuringMachine,NL,4895133817813,
0,19.95,Java,,2840090,2769287,arckeos,FR,,
0,19.93,Go,,2845486,1861258,Nazdhun,DE,11477900555178,
0,18.44,Python3,,3724226,1852668,gao,FR,11875580489130,
0,17.61,Ruby,,2678783,371603,martin,CA,1761380964089,
0,17.17,Rust,,2837433,224325,TidyMaze,FR,2654133392410,
0,16.66,Rust,,3008473,3622757,anid,,,
0,16.45,Java,,2960010,3136787,jacek,PL,75369242083208,
0,16.38,Rust,,3025759,3808031,_proton,US,44172683522650,
0,16.31,Rust,,3036430,3755755,AAhmed9,,,
0,15.11,C#,,2672900,2069141,tomeko,PL,13370027887052,
0,15.07,Scala,,2677922,1740037,ereiam,FR,12669494111004,
0,13.71,C#,,3080163,231975,Remoh69,FR,26225610924969,
0,12.38,Python3,,3067887,3721214,jrke,IN,68983084061211,
0,10.87,Python3,,2656274,1713174,BigUP,FR,9962854189979,
0,10.86,C,,2829517,3747855,Hikar,FR,42428148232447,
0,10.63,Python3,,2835291,3015376,gaha,PL,42551344685571,
0,8.42,Python3,,2841077,3790958,TortugaAzezina,MX,,
0,8.42,C#,,2831758,1875472,BillBert,US,12009290794483,
0,8.41,C#,,2808965,523846,Palmipedus,GB,13261819485064,
0,8,C#,,2657159,1830993,jpcheck,CA,10852396611864,
0,7.38,Java,,3414717,1341520,egaetan,FR,21055353954161,
0,7.28,Perl,,3314622,2325449,otpv,CA,36646766447960,
0,6.64,C#,,2995985,1854639,iDxMeG,FR,11242007512344,
0,6.56,C++,,3450269,3354337,Westicles,CX,79146641399080,
0,6.35,C,,3012283,3464590,abbecool,CH,33395363139095,
