league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=128|time=2024-12-05T04:11:37
1,37.15,C++,1552193744463,2273347,1169499,naab,FR,21217854473439,
1,37.02,C++,1551797434732,2264157,832306,pb4,FR,10135289026547,
1,36.53,C++,1550250435653,2248525,1400179,reCurse,CA,58850847098890,
1,36.35,C++,1553085625086,2305980,1061242,Csipcsirip,HU,116999087925775,
1,35.23,C++,1582335244625,2684762,154984,_Royale,FR,17869369984436,
1,33.37,C++,1550411290233,2249861,1314316,jolindien,FR,14585204616953,
1,33.1,C++,1634315079690,3863271,2649448,bhloodyy,DE,82331123849473,
1,32.53,C++,1617979471479,3493955,1629259,Marchete,ES,61997162908277,
1,31.46,C++,1550250461148,2248559,1480384,RockyMullet,CA,29411883532107,
1,31.04,C++,1566133058247,2469847,3447075,BensonXD,TW,,
1,30.84,C++,1553629599062,2312536,1854246,Counterbalance,NL,26367790351026,
1,30.48,C++,1629113570249,3792952,155774,dwarfie,FR,17785582865119,
1,30.45,C++,1720888607204,5530213,3136787,jacek,PL,75369242083208,
1,30.39,C++,1551282087890,2259008,1751832,buikikaesu,RU,24659390839366,
1,30.36,C++,1550760655829,2253470,2360690,Galrauch,FR,15981591632543,
1,30.07,C++,1565354368080,2463421,2771065,JHBonarius,NL,23912859208348,
1,29.98,C++,1564063516073,2453683,3406947,2106HU1014,TW,31068241735715,
1,29.86,C++,1551716800053,2263226,1481544,ZarthaxX,AR,63758603571200,
1,29.76,C++,1566369997877,2471815,1849945,YOuOY,TW,42335629831885,
1,29.5,C++,1550250434547,2248524,1436776,BrainSolver,FR,10099178983053,
1,29.48,C++,1550250421274,2248504,1540478,struct,PT,61418101984360,
1,29.42,C++,1563025726082,2441766,1694898,tcchiang,TW,11068041629305,
1,29.05,C++,1563425318848,2446134,3406935,2016HU1003,TW,,
1,28.91,C++,1566822731875,2475387,3432180,TestFon,BY,,
1,28.65,C++,1581885226642,2680527,2923506,darkhorse64,FR,23496414257567,
1,28.57,C++,1565942006204,2468415,3447096,Zeng,TW,,
1,28.42,C++,1640213338322,3947449,862919,Astrobytes,GB,60413902297900,
1,28.41,C++,1731174469494,5618205,1479930,LeRenard,FR,40384564000700,
1,28.13,C++,1649507900577,4068454,4277867,About,SM,65816469118906,
1,27.95,C++,1681409796451,4796392,1449433,Rolf,ES,11401424939145,
1,27.83,C++,1565942670070,2468450,3447180,frank911127,TW,,
1,27.75,C++,1565940100499,2468339,1928385,NanNanNan,TW,,
1,27.73,C++,1552947564827,2304568,1673512,Ryoken,LI,,
1,27.68,C++,1713074179490,5362663,5685002,Yogesh_ojha,IN,122130620906138,
1,27.59,C++,1563767561061,2449249,3406936,2106HU1005,TW,,
1,27.59,C++,1610395602245,3386646,4039884,mzbear,FI,52739542369007,
1,27.37,C++,1623340415112,3708579,1861300,Jakkyl,US,12320362856688,
