league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=442|time=2025-07-12T04:22:04
1,36.99,C++,1741013702255,5796526,4063805,viewlagoon,JP,106899386459507,
1,35.92,C++,1551797434732,2264157,832306,pb4,FR,10135289026547,
1,35.53,C#,1551214589514,2258455,1378958,Illedan,NO,16222515698472,
1,35.51,C++,1550250435653,2248525,1400179,reCurse,CA,58850847098890,
1,35.46,C++,1552193744463,2273347,1169499,naab,FR,21217854473439,
1,35.38,C++,1553085625086,2305980,1061242,Csipcsirip,HU,136123488672706,
1,34.73,Java,1622914893538,3702550,1537951,Nerchio,PL,64013847666734,
1,34.56,C++,1582335244625,2684762,154984,_Royale,FR,17869369984436,
1,33.6,C,1603546909000,3147146,2924895,trictrac,FR,23056996012330,
1,33.39,C,1665877412545,4494572,3457031,YurkovAS,RU,143223227299056,
1,33.24,C++,1550411290233,2249861,1314316,jolindien,FR,14585204616953,
1,32.91,C#,1677700320826,4754714,1186250,Gabbek,PL,3084076624888,
1,32.69,C++,1617979471479,3493955,1629259,Marchete,ES,61997162908277,
1,32.39,Java,1613992663459,3438023,893541,wala,FR,97577641170180,
1,32.06,Java,1610969427152,3394408,3235897,Zylo,PL,25779784253696,
1,31.97,Python3,1561421344694,2430077,2590149,GoofyGas,US,18536033690531,
1,31.84,Python3,1564693828619,2458591,3337117,timbersson,GB,31946722637374,
1,31.44,C,1611265478889,3397959,1029602,Potemkine,FR,3592202416352,
1,31.39,C++,1750716879176,5899246,3136787,jacek,PL,75369242083208,
1,31.14,C++,1553629599062,2312536,1854246,Counterbalance,NL,26367790351026,
1,30.99,Java,1568287993237,2487411,3156706,ktotam,RU,,
1,30.49,Python3,1738828096552,5773014,2637036,KaNuNe,TH,32884968242361,
1,30.3,Python3,1750332221750,5895449,311035,leojean890,FR,42398427701382,
1,30.2,C++,1566133058247,2469847,3447075,BensonXD,TW,,
1,30.14,Java,1550568894344,2251350,1464932,Tiramon,DE,12287237914571,
1,30.07,Rust,1649771552355,4072185,3918583,mikmak,FR,48134583112917,
1,30.06,Python3,1735139878162,5685449,5730664,DyuasPitar,IN,,
1,30.06,C++,1629113570249,3792952,155774,dwarfie,FR,17785582865119,
1,30.03,C++,1565354368080,2463421,2771065,JHBonarius,NL,23912859208348,
1,30.02,C++,1550250461148,2248559,1480384,RockyMullet,CA,29411883532107,
1,30.01,Java,1712836886611,5360753,5163410,LOKI_78,LU,93367947956362,
1,29.95,Python3,1633554767972,3853838,2567902,M3d1cZ4pp3r,DE,,
1,29.94,C++,1550760655829,2253470,2360690,Galrauch,FR,15981591632543,
1,29.92,C++,1634315079690,3863271,2649448,bhloodyy,DE,82331123849473,
1,29.78,Python3,1619726871589,3525095,3903473,Konstant,PL,47882887732604,
1,29.73,Python3,1652701078532,4287556,1802967,Meruem,FR,31992166318610,
1,29.67,Python3,1671037517620,4575574,5240577,Moe93,TL,,
1,29.66,Python3,1713644883283,5367283,5837818,HeroHeeraLaal,IN,,
1,29.56,Kotlin,1550880531314,2255009,1530429,Michiel,NL,7014012141515,
1,29.56,C#,1714421251487,5372081,2824008,OccitanieFreelancer,FR,22557072925785,
1,29.56,F#,1564343483980,2455713,2661589,LePelicanFushia,FR,19179871240625,
1,29.55,TypeScript,1583413584550,2695149,416762,Khao,CA,2035557596161,
1,29.54,Javascript,1602760860136,3133982,420043,maxim_mazurok,AU,110161421460174,
1,29.52,PHP,1640541268354,3951330,4628354,jpud,CZ,,
1,29.45,Python3,1610408183767,3386835,2968035,DomiKo,PL,46567648927625,
1,29.34,C#,1589471407598,2931269,3356739,MouseCaneta,BR,29160140408638,
1,29.26,C++,1551282087890,2259008,1751832,buikikaesu,RU,24659390839366,
1,29.25,Swift,1550250452225,2248546,1747292,CodeReaper,DK,9767652986069,
1,29.23,C#,1589389266351,2921995,3386451,Stetowns,BR,,
