league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=24|time=2021-07-25T00:30:03
2,30,C,,3731710,2924895,trictrac,FR,23056996012330,
2,25.05,C#,,3690947,3533314,skotz,US,97334021748803,
2,23.61,Python3,,3695070,311035,leojean890,FR,42398427701382,
2,20.5,Python3,,3693848,3721214,jrke,IN,68983084061211,
1,27.13,Python3,,3693091,2290633,field3,JP,75961127697737,
1,24.74,PHP,,3693836,1412263,PatrickMcGinnisII,US,75707267075165,
1,24.37,PHP,,3701557,3983017,TLbuis,NL,50598324428631,
1,22.88,F#,,3703906,973040,papyjo,FR,15696776172839,
1,21.78,Scala,,3699611,3922731,Dartisan,LU,101995908419116,
1,20.62,C#,,3691265,4088387,StrykrJ,US,63703703264169,
1,19.41,C++,,3708862,1479930,LeRenard,FR,40384564000700,
1,17.74,Perl,,3758383,2325449,otpv,CA,36646766447960,
1,15.52,Java,,3690748,3803201,FDA44,FR,44299208746822,
1,14.94,C#,,3692477,3354337,Westicles,CX,79146641399080,
1,14.81,Python3,,3698653,4279233,Alex-1,IN,65699047672930,
1,14.53,C++,,3698650,3513265,DaNinja,IE,35022107863170,
1,14.1,Python3,,3698320,3141948,philRG,FR,43152009653961,
0,22.51,Python3,,3695876,1713174,BigUP,FR,9962854189979,
0,21.86,C++,,3691776,3136787,jacek,PL,75369242083208,
0,21.78,Python3,,3691434,490588,Uljahn,RU,23956705948685,
0,21.59,Python3,,3698766,3536920,mapapin,FR,52717604735830,
0,21.58,Bash,,3691336,3569066,derjack,MC,64869146225502,
0,20.77,C#,,3758380,4177562,JHowell,US,61519241030284,
0,15.13,C++,,3691345,2043908,AntiSquid,,,
