league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=212|time=2026-02-18T05:17:51
7,18.86,Javascript,1736158057307,5738703,3629685,Apofils,FR,,
7,16.7,Javascript,1736327770734,5742526,739261,AstroCookie,FR,117396028132083,
7,15.33,Javascript,1738518864504,5769185,1179950,KAKAROT_MPL,JP,157814368867610,
6,27.85,Javascript,1741294472852,5799398,6132028,NicknamedTwice,GB,136778820182751,
6,27.67,Javascript,1736346190473,5742833,5573671,LeMasSon,FR,107252527944826,
6,27.56,Javascript,1736158029207,5738620,4829219,OB2,MA,96068201798357,
6,26.34,Javascript,1736157961383,5738438,3999695,ShaxoLudo,FR,107626168988312,
6,24.69,Javascript,1756954957253,6030394,4782227,ArgoZ,FR,158085761141704,
6,22.28,Javascript,1756620397667,6027304,6441783,BoostAndShine,FR,,
6,21.68,Javascript,1736159156493,5739682,1829792,OneMoreGame,AT,10837674727376,
6,20.42,Javascript,1736159058087,5739415,1329328,Huntracony,NL,116678082165399,
6,18.67,Javascript,1736157705335,5737771,1257664,poyoman,FR,15384140476826,
6,17.34,Javascript,1736159290661,5740115,4844407,DainiusV,LT,81914865204422,
6,17.14,Javascript,1736157529430,5737177,1691194,big_feesh,US,136049084976991,
6,17.14,Javascript,1736159128963,5739630,5148748,imadmi,MA,135890306638984,
6,16.96,Javascript,1736157531264,5737181,5695032,jilizeko,ME,,
6,16.02,Javascript,1737546188508,5758526,3336734,Cr0m,DE,109421502906751,
6,15.91,Javascript,1767210513581,6181952,1904082,WIlChrist,FR,113083226652352,
6,14.67,Javascript,1737103399898,5753070,3478673,never-again,FR,55942343550622,
6,14.5,Javascript,1736159317652,5740195,1333684,MarcoFuschini,IT,18313745989788,
6,14.28,Javascript,1736159020154,5739272,3489223,KarloHubai,RS,88425880005143,
6,14.22,Javascript,1736158147065,5738969,1475413,AlucardDH,FR,4898493641535,
6,14.22,Javascript,1737105675203,5753077,4902510,bubul,FR,105690749932105,
6,14.02,Javascript,1736157980875,5738486,4296900,hok,MY,104367783994652,
6,13.84,Javascript,1736157472784,5737001,6117590,Lordbel89,IT,128678529593428,
6,13.52,Javascript,1738100548828,5763949,4437155,AxelF66,DE,82713400325046,
6,13.5,Javascript,1736159092777,5739528,4643447,KaWhite,GE,82718088990488,
6,13.4,Javascript,1736350217029,5742921,4081634,Wontonimo,CA,54970169109216,
6,12.81,Javascript,1736158952181,5739051,5377138,mayan164,BE,99986908407422,
6,12.3,Javascript,1736157520673,5737151,2817552,NoRabbit,BE,,
6,12.23,Javascript,1736361794464,5743132,5706197,smQQth,ZA,111956889707340,
6,11.95,Javascript,1736159399391,5740456,6238804,pm_,FR,128314562981864,
