league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=711|time=2026-04-26T05:59:41
3,34.44,C++,1776957422732,6406638,6129303,sZoom,MA,136627881093911,
3,32.59,C++,1774434056527,6355425,6132235,FrictionlessBananas,US,147994707933557,
3,31.89,C++,1775930414570,6387247,4062038,delineate,US,116717509878444,
3,31.77,C++,1774446444226,6357049,4452961,Sheeesh---,MA,154506426559326,
3,31.75,C++,1774434808258,6356613,2577687,blasterpoard,SK,36336680250371,
3,31.44,C++,1776978331699,6406779,5851737,zlakhdar,MA,159421145880440,
3,31.4,C++,1774789645550,6363343,3193653,karliso,LV,54368321987353,
3,30.67,C++,1774434433166,6356041,3015376,gaha,PL,159388148716494,
3,30.61,C++,1777164167361,6409878,5802287,_H3R0_,MA,159627866051081,
3,30.2,C++,1774434552807,6356240,4056249,marwar22,PL,105975464579688,
3,29.84,C++,1774434261279,6355764,3348388,bowwowforeach,JP,60374424199081,
3,29.83,C++,1774434266780,6355768,351062,Neumann,FR,17173563008577,
3,29.33,C++,1774434292289,6355804,1629759,MSz,PL,95180546328327,
3,29.08,C++,1776297340148,6393547,1327028,FredericBautista,FR,160934968858579,
3,28.54,C++,1776405216827,6396299,2311105,kovi,HU,20774306904131,
3,28.3,C++,1774433853712,6355090,5875249,ouzer,MA,116688108946897,
3,28.3,C++,1774434804469,6356608,2536538,Pduhard-,FR,141372882868918,
3,28.22,C++,1775749961208,6384272,3729666,peerdb,NL,93424367328637,
3,28.2,C++,1774433973433,6355295,880353,zasmu,FR,22237226756102,
3,28.16,C++,1774803167078,6363550,3136787,jacek,PL,75369242083208,
3,28.0,C++,1774434585983,6356286,610934,y_kawano,JP,2180028634331,
3,27.96,C++,1775425024512,6377040,1455753,Lysk,US,4970026385060,
3,27.9,C++,1776144276828,6391378,7221347,daddddd,MA,,
3,27.89,C++,1776638481021,6400067,6304691,TuFat,MA,159156188520243,
3,27.88,C++,1774434242066,6355720,1399382,Regulus136,FR,4335723819637,
3,27.8,C++,1774434151459,6355587,4063805,viewlagoon,JP,106899386459507,
3,27.74,C++,1776591808550,6399515,4016648,Renatys,RU,68580248208363,
3,27.59,C++,1775739664768,6384166,5879009,rlamtaou,MA,133904005094588,
3,27.53,C++,1774433971820,6355294,977117,Psyho,PL,3805557439373,
3,27.53,C++,1774433903939,6355184,6460458,FalkB,DE,159365588264412,
3,27.44,C++,1774434563610,6356255,186179,Nagrarok,FR,95596601515650,
3,27.34,C++,1774434785901,6356581,979569,khanh-alice,VN,159204229382633,
3,27.12,C++,1776195303533,6391945,2363657,Ztrk,PL,83078647386848,
3,27.07,C++,1774434374261,6355941,4067707,therealbeef,KR,54066924332220,
3,27.03,C++,1776143968661,6391345,7218554,sanfor1,MA,,
3,27.0,C++,1774814737992,6363670,893541,wala,FR,97577641170180,
3,26.94,C++,1775060252891,6368900,4120837,hannahlenk,DE,153490048434760,
3,26.91,C++,1776143970338,6391346,7220037,klintonm,MA,,
3,26.71,C++,1777074532447,6408475,7024965,haitam111,MA,,
3,26.47,C++,1774433682941,6354828,7168485,psoip,DE,,
3,25.97,C++,1774616932741,6360305,820000,ValGrowth,JP,95440985747208,
3,25.77,C++,1774434678452,6356420,3827382,chouks,MA,117220080459731,
3,25.74,C++,1774434203417,6355668,6300761,Boriza,US,,
3,25.69,C++,1774433472627,6354447,5734150,achlu,MW,,
3,25.66,C++,1774434150300,6355584,1334166,xSkyline,RO,95591782381811,
3,25.29,C++,1776333353586,6394871,5242046,SamGame,FR,95411881842381,
3,24.98,C++,1776379630619,6395329,3060932,boumagik,FR,148008683179354,
3,24.91,C++,1777180818882,6410518,6772801,Pradeep_Sai,IN,148334440154499,
3,24.8,C++,1774434391629,6355976,2968035,DomiKo,PL,159606466137107,
3,24.54,C++,1775988672439,6388648,5951495,FlorentD13,FR,124722427897387,
3,24.52,C++,1776011813114,6388890,1477622,zrdon,DE,103919001072006,
3,24.4,C++,1774434588079,6356289,6584577,beeligul,TR,148050145700881,
3,24.23,C++,1774434054739,6355422,4848961,Sasso_Stark,IT,122058285947525,
3,23.99,C++,1774433682288,6354827,580424,siman,JP,7464902754297,
3,23.94,C++,1776961471495,6406681,6866810,Maram_Pradeep,IN,,
3,23.71,C++,1774433751563,6354935,5767482,n0urddine,MA,136392220894403,
3,23.67,C++,1774530412672,6358575,2455124,agiordan,FR,63018206857543,
3,23.58,C++,1774433951132,6355260,5525479,hashiryo,JP,105571408239810,
3,23.53,C++,1774434264088,6355765,3861742,404TestNotFound,FR,154549184104740,
3,23.51,C++,1774452225185,6357150,3498674,Sko0owi,PL,55177523597915,
3,23.46,C++,1774433499942,6354498,1201796,P.Greze,FR,3522907180370,
3,23.46,C++,1774451473506,6357137,5359081,Noobkins,PL,104921161843304,
3,23.41,C++,1774434140004,6355562,1179950,KAKAROT_MPL,US,159019526484654,
3,23.38,C++,1775414059309,6376872,4584723,babaaurhum,FR,,
3,23.37,C++,1776117948637,6390533,5179712,Stirner555,MA,96563027644931,
3,23.34,C++,1774906886241,6365497,3470270,Tabaxi3K,US,,
3,23.31,C++,1774434204510,6355669,4054608,Rikus,AR,53571582931469,
3,23.29,C++,1774433982800,6355304,4311709,NOIIICE,MA,106257362763827,
3,23.24,C++,1774460695278,6357343,5361291,ziele,PL,104744143004330,
3,23.12,C++,1774434497429,6356158,1106056,Bzn0r-Karloid,PT,18258788048148,
3,23.07,C++,1775654103204,6382345,5226770,azgaoua,MA,125310406839256,
3,23.02,C++,1775158200933,6371405,3461753,oidrissi,MA,159456566452818,
3,23.01,C++,1774433513000,6354532,1200604,Alos,FR,17003350276315,
3,22.97,C++,1774434822854,6356621,5872081,IGOX008,MA,116988746003884,
3,22.84,C++,1774433684589,6354830,4318335,CyberEcho,RU,63568400811194,
3,22.8,C++,1774433616109,6354722,4873893,maagosti,FR,82915245331933,
3,22.78,C++,1774433935537,6355237,4870820,MadRaven,FR,82825162932538,
3,22.74,C++,1774433670187,6354807,2771264,Shun_PI,JP,53696462622281,
3,22.71,C++,1774434395110,6355982,7168623,Girata,FR,159279569261510,
3,22.65,C++,1774434075386,6355458,5573671,LeMasSon,FR,107252527944826,
3,22.52,C++,1774433979832,6355302,154984,_Royale,FR,17869369984436,
3,22.46,C++,1774433578842,6354663,5370990,Ra07Ch,MA,99805420262470,
3,22.46,C++,1774868995437,6365052,7075207,Mama_hungry,MA,159060647621818,
3,22.46,C++,1774434644733,6356370,4782227,ArgoZ,FR,159082020755608,
3,22.33,C++,1774818008155,6363724,3533119,wlesavo,RU,44695284080274,
3,22.27,C++,1777087925633,6408868,6586673,bneay,MA,142292489070692,
3,22.21,C++,1774434771214,6356559,5541075,abdelmathin,FR,118130566868021,
3,22.18,C++,1774434715467,6356470,6298204,ziemekb,PL,,
3,22.12,C++,1774778727650,6363162,5525989,totallyrad,MA,155918704195883,
3,22.03,C++,1775424386828,6377024,2006324,Oussama_Siharde,MA,131921206315534,
3,22.02,C++,1774455651680,6357229,6861172,yoyo_305,IL,159311584942615,
3,21.92,C++,1775995062479,6388695,1479930,LeRenard,FR,40384564000700,
3,21.91,C++,1774434344863,6355893,3724738,BoatBuilder,CH,60011604598066,
3,21.87,C++,1774434396855,6355983,5371817,Horse-Rider,MA,117498364018993,
3,21.81,C++,1774434267955,6355770,1106450,RiSuS,BY,117707786634160,
3,21.72,C++,1774476927883,6357630,1631358,joelthelion,CH,7453600766149,
3,21.59,C++,1776988775999,6406855,4897832,DrMeyss,RE,83988905905404,
