league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=164|time=2026-04-01T07:23:48
3,28.55,Rust,1774434472331,6356116,5354517,AndreasHuber,CH,103693383515460,
3,27.85,Rust,1774434217952,6355694,1061242,Csipcsirip,HU,159349364779679,
3,27.1,Rust,1774434536022,6356210,1563805,Eswcvlad,BY,147579305036480,
3,25.5,Rust,1774434267360,6355769,3918583,mikmak,FR,48134583112917,
3,24.53,Rust,1774434392258,6355978,3962693,Kamoun,TN,159669083199712,
3,24.24,Rust,1774433822106,6355057,3683265,Bondo416,JP,40947563240917,
3,24.14,Rust,1774433719928,6354883,6132028,NicknamedTwice,GB,136778820182751,
3,23.99,Rust,1774433600393,6354704,4296102,Chabala,FR,,
3,23.69,Rust,1774433810306,6355036,271945,aangairbender,UA,6101760651670,
3,23.15,Rust,1774434657666,6356391,3991151,Mahandor,MX,,
3,23.07,Rust,1774433622366,6354725,7170157,leufy,FR,159280787441484,
3,22.92,Rust,1774434374675,6355942,1957077,domak,FR,20590499081541,
3,22.88,Rust,1774434863636,6356697,3372068,vickingur,UA,44450383796589,
3,22.84,Rust,1774433824848,6355058,893109,Ashki,CA,2927856357778,
3,22.75,Rust,1774434569074,6356261,7173913,Surimilvl,FR,159406666726583,
3,22.3,Rust,1774788494604,6363323,221911,fafl,DE,23311741254436,
3,22.05,Rust,1774434462868,6356097,3846895,titia,JP,54232024080837,
3,21.71,Rust,1774433622084,6354724,6557033,HummusHustler,AU,,
3,21.58,Rust,1774434132276,6355552,4841504,F---Goethe,NL,115824863300906,
3,21.57,Rust,1774433925621,6355215,508169,Corrosif,FR,8393739910608,
3,21.51,Rust,1774813017718,6363652,3256846,Yohann62,FR,100550803894064,
3,21.37,Rust,1774434228087,6355695,4741922,laconic_pixel,RO,105402247722820,
3,20.99,Rust,1774434695165,6356441,1966319,0x6E0FF,FR,14292040030510,
3,20.6,Rust,1774434503504,6356163,6878182,plcc,CN,,
3,20.53,Rust,1774434093143,6355487,1829792,OneMoreGame,AT,10837674727376,
3,20.09,Rust,1774434247991,6355737,1861279,QuickAndDirty,FR,152869646887791,
3,20.05,Rust,1774434477825,6356122,1802967,Meruem,FR,31992166318610,
3,19.97,Rust,1774433659440,6354791,4057173,m315,ES,53681343483552,
3,19.89,Rust,1774434822088,6356620,5872336,uta_ccc,JP,116605764974552,
3,19.84,Rust,1774434152578,6355589,1152991,xoposhiy,DE,117261083571823,
3,19.81,Rust,1774433779453,6354988,1104278,TasmanianDevil,GB,5498523354953,
3,19.67,Rust,1774434135219,6355558,3422832,randomstuff,FR,105948984836393,
3,19.35,Rust,1774434811673,6356616,4704556,YahyaDS,FR,136398781772972,
3,19.34,Rust,1774434349929,6355899,1404934,tarriel,AU,40400349677311,
3,19.15,Rust,1774434511618,6356169,2672932,Lanfeust,FR,19353303424539,
3,19.11,Rust,1774433764208,6354959,6026335,dbislimi,AL,159193949199127,
3,19.07,Rust,1774433942627,6355242,648751,dabino,PT,2122731796199,
3,19.06,Rust,1774433600788,6354705,2488317,Morcifer,NL,17597466270749,
3,19.02,Rust,1774434107195,6355511,7171874,inuji,JP,159363381824295,
3,18.93,Rust,1774786853419,6363295,1515891,ndc,RU,57247748477088,
3,18.87,Rust,1774434032940,6355387,3661964,SeeSoftware,UG,39865368922881,
3,18.72,Rust,1774434687935,6356430,1364870,Pyth0nGh057,FR,7576636317651,
3,18.7,Rust,1774434508691,6356167,5495962,Ueddy,JP,117045844751557,
3,18.66,Rust,1774434920827,6356798,6755436,AlesekP,NL,147944746819260,
3,18.42,Rust,1774433493070,6354488,336746,luxcem,FR,3498521001447,
3,18.33,Rust,1774434449130,6356068,2065521,igolus,FR,39913769766376,
3,18.26,Rust,1774433752114,6354936,2863110,iehn,JP,24653871501506,
3,17.81,Rust,1774434787870,6356582,4154326,montplusa,JP,159096108184655,
3,17.11,Rust,1774433989623,6355314,6095592,ZanakaJeanPaul,MG,153403644406506,
3,17.1,Rust,1774434082864,6355475,1174144,ATsibin,RU,7953028797117,
3,16.77,Rust,1774434716983,6356472,153057,PierralF,FR,1762452918913,
3,16.51,Rust,1774433853119,6355089,1467771,Telokis,YT,52513387742977,
3,15.45,Rust,1774434460106,6356092,1766812,sss135,RU,159375163939586,
3,15.29,Rust,1774434633874,6356349,1066745,DepartmentOfRedundancy,FR,107574148016271,
2,22.98,Rust,1774434348064,6355897,2661980,Leos,ES,19446647272567,
2,22.03,Rust,1774433999122,6355331,4990619,WS1111,FR,116695488705371,
2,21.68,Rust,1774434707081,6356463,2238146,stem,RU,,
2,20.58,Rust,1774434642577,6356365,2689801,mariomka,ES,35436080110654,
2,20.39,Rust,1774434247090,6355733,1414854,jpages,FR,53841227796564,
2,19.84,Rust,1774434801029,6356602,4399354,PeterRockLife,CZ,66542126092671,
2,19.7,Rust,1774433821014,6355055,4605552,JuanGuevara,CO,100420362269478,
2,19.63,Rust,1774434859854,6356687,3344108,Xmar,NL,28750989473678,
2,19.2,Rust,1774434876842,6356728,2589340,Zource,NL,,
2,18.88,Rust,1774434643171,6356367,6854204,antoinecunin,FR,158432544892673,
2,18.66,Rust,1774721415099,6362015,973040,papyjo,FR,15696776172839,
2,18.58,Rust,1774434422130,6356018,3770912,fgwiebfaoish,JP,,
2,18.57,Rust,1774434870040,6356709,5538844,chun1182,JP,117168127394043,
2,18.56,Rust,1774434875810,6356725,1415773,pierre31,FR,4337213780013,
2,18.3,Rust,1774433482267,6354465,5896047,takus,JP,124749643587782,
2,18.19,Rust,1774433704874,6354861,3770735,ryo_n,JP,42929547001484,
2,18.0,Rust,1774434081227,6355470,1685694,tashikani,JP,9264553611501,
2,17.63,Rust,1774434450804,6356071,505014,Theo,FR,11718414661148,
2,17.52,Rust,1774434000777,6355332,4133724,KsandrKj,RU,58269385097147,
2,17.49,Rust,1774434540730,6356214,5446450,akimaru,JP,,
2,17.48,Rust,1774434923103,6356800,406188,parallel,FR,4418851149091,
2,16.85,Rust,1774434442257,6356055,4223112,Ikantski,CA,96642987030494,
2,16.64,Rust,1774434406702,6356000,1579924,sourlime,CZ,6439910692366,
2,16.6,Rust,1774708043520,6361794,3473364,Alexdelia,FR,33712622134048,
2,16.56,Rust,1774434017038,6355357,1603088,HyperDec,FR,19948073929165,
2,16.45,Rust,1774434903295,6356776,3336089,titano,FR,29006088793205,
2,16.18,Rust,1774433721542,6354885,1838612,statiolake,JP,58633349661174,
2,15.87,Rust,1774433531237,6354568,4800950,mshibatatt,JP,124893406106604,
