league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=12|time=2023-11-18T04:07:15
5,25.46,Kotlin,1651518078279,4248904,3871137,Fuud,RU,48215106598102,
5,22.4,Kotlin,1547833977375,2223875,2741162,YannT,FR,20321741697135,
4,23.96,Kotlin,1547329326848,2218239,3040749,gk12345,PL,24207566906077,
4,10.92,Kotlin,1547057651128,2215241,1760921,[Leonardone]-[-_-]-[NEETSDKASU],JP,10001057268421,
4,4.61,Kotlin,1550006501116,2246271,2720216,ilgiocatore,TD,55263688781564,
4,4.03,Kotlin,1552991899507,2304874,1845617,Shingy,AU,26010702723839,
3,15.61,Kotlin,1546622007721,2209862,1645228,mnahkies,NZ,10476884301264,
3,13.89,Kotlin,1633262778139,3850203,2928521,Q-er,DE,,
3,7.01,Kotlin,1546931627021,2213574,2521394,FrankR,DE,17824978575149,
3,5.55,Kotlin,1556215807128,2340840,1926967,Stanworld,FR,11941603857102,
0,2.5,Kotlin,1609777444759,3379345,1511619,Frenjamin.Banklin,DE,60158989328871,
0,-12.6,Kotlin,1546346828329,2206272,2181365,Nikolaev_Alex,UA,17830373156211,
