score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=17|time=2025-09-30T04:11:30
100.0,7336.0,Kotlin,1642746957028,481988,DevKirill,RU,26384102822076,
100.0,6909.0,Kotlin,1540404661783,2521394,FrankR,DE,121544540313728,
100.0,6064.0,Kotlin,1549058120343,1518504,bohuss,SK,5792284370171,
100.0,5737.0,Kotlin,1540372570896,2741162,YannT,FR,20321741697135,
100.0,4683.0,Kotlin,1551648839393,2155687,NilsTheWizzard,DE,15809623609677,
100.0,4523.0,Kotlin,1540497997424,1106056,Bzn0r-Karloid,PT,18258788048148,
100.0,4125.0,Kotlin,1676217651703,3502478,tachan,JP,,
100.0,3548.0,Kotlin,1738597926635,1281189,Wildregar,IT,13239668932422,
100.0,2358.0,Kotlin,1596331065814,3778409,l_o_g_a_n,AU,46360146038543,
100.0,1777.0,Kotlin,1540416749509,1645228,mnahkies,GB,10476884301264,
100.0,1451.0,Kotlin,1607699194989,4061750,dStulle,DE,53854800950845,
100.0,1403.0,Kotlin,1695835907408,890470,romdouze,FR,1771604147054,
100.0,1045.0,Kotlin,1610132222144,1767134,AntonYuriev,RU,10153090319868,
100.0,1045.0,Kotlin,1648177576212,4284275,Leo9del12,AR,76058120654090,
100.0,1045.0,Kotlin,1692548616616,4605552,JuanGuevara,CO,100420362269478,
100.0,1010.0,Kotlin,1540380051153,1043290,Minsky,DE,6629360961045,
100.0,1002.0,Kotlin,1540466632534,2225200,WildRhum,FR,18754376132950,
