score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=2809|time=2024-08-08T04:10:57
100.0,10878.0,Java,1567871157333,351062,Neumann,FR,17173563008577,
100.0,6781.0,Java,1453683101680,1025212,Asterixk,PT,12297692953021,
100.0,6148.0,Java,1480176809349,1616071,Cyberpunk,PL,24651252428558,
100.0,6075.0,Java,1679605863766,4031451,pbou,FR,55429746348651,
100.0,5823.0,Java,1569155370815,939530,Jahz,FR,2238781545472,
100.0,5326.0,Java,1528050120129,2455616,JeanClaude44,FR,17042314996810,
100.0,5281.0,Java,1453239286289,218189,[CG]Maxime,FR,2925297592678,
100.0,4968.0,Java,1590616281846,3691366,V90,RO,52309387852953,
100.0,4867.0,Java,1542661069574,2837454,Inc_,DE,22024624258996,
100.0,4802.0,Java,1594477274910,2064511,Semenyutenko_Andrey,RU,71433642762193,
100.0,4440.0,Java,1453142422329,1159241,luckman,RU,,
100.0,4326.0,Java,1485639180847,1687754,cg123,FR,11844752916555,
100.0,4234.0,Java,1467854284618,1372843,djjeck,US,5407978094654,
100.0,4058.0,Java,1456346920123,1291690,Razeurbak,FR,3613155235044,
100.0,4054.0,Java,1518269282916,2320186,aPoStAl,RU,16359619449560,
100.0,3996.0,Java,1590614551574,493310,Marina444,RO,44038024900766,
100.0,3982.0,Java,1535801799002,1757792,oreshnik,RU,12260270601490,
100.0,3907.0,Java,1604357192536,1848459,Velcoro,CZ,48538649860014,
100.0,3902.0,Java,1453038784114,629202,Larry,FR,2473893146751,
100.0,3832.0,Java,1458461817964,1100614,ppeetteerr,SK,24718365938652,
100.0,3738.0,Java,1544092559211,1927198,Glop_Glop,FR,11925421231562,
100.0,3729.0,Java,1453056672600,994344,Momopouccino,FR,1989352055938,
100.0,3726.0,Java,1508413974418,2162881,B4RF,DE,14535994710352,
100.0,3648.0,Java,1661832982261,5052454,chris.steele,US,89311405495927,
100.0,3615.0,Java,1547066991449,893541,wala,FR,97577641170180,
100.0,3552.0,Java,1494505602349,1077559,PhOeNyX,FR,2248934338554,
100.0,3548.0,Java,1532023329740,2315411,cejonio,VE,15624450307485,
100.0,3509.0,Java,1695289013432,3235897,Zylo,PL,25779784253696,
100.0,3459.0,Java,1488318072911,1785203,No0ne,FR,10344284308299,
100.0,3448.0,Java,1720687645911,6178834,p35,FR,,
100.0,3414.0,Java,1477679608185,1315256,FlashMan,DE,3609013770296,
100.0,3370.0,Java,1539542399928,2526322,hybiscus,FR,18419958954748,
100.0,3360.0,Java,1703288816647,5866904,OleksiiP,UA,116526909362829,
100.0,3346.0,Java,1652416858047,2151291,kurgak.ss,RU,,
100.0,3345.0,Java,1609009065280,2781726,June1664,FR,21450681968805,
100.0,3340.0,Java,1453415615994,863071,PtiFilouTubs,FR,,
100.0,3272.0,Java,1603812425926,3998705,LevanTruong,FR,79574748146825,
100.0,3214.0,Java,1630905585471,4434701,Pucu,BR,,
100.0,3203.0,Java,1498567503184,222646,Nettogrof,CA,13624476927709,
100.0,3086.0,Java,1608590373930,848394,schwarzahl,JP,2189519712898,
100.0,3084.0,Java,1494256272247,1464932,Tiramon,DE,12287237914571,
100.0,3070.0,Java,1561966377610,1968855,ThePurificator,FR,12329456921169,
100.0,3066.0,Java,1488037428622,1178276,Jerome_95,FR,19999067509724,
100.0,3027.0,Java,1557689547593,3340387,lambdamu,FR,,
100.0,2990.0,Java,1524695945017,2584779,quirck,RU,18381413562499,
100.0,2990.0,Java,1568991349574,2578232,Althias,FR,18279234868601,
100.0,2960.0,Java,1584828131385,2436448,FrancoisMeme,FR,62658720056908,
100.0,2952.0,Java,1453145866169,808446,Bev,FR,,
100.0,2926.0,Java,1702423959317,3271002,Dinzy,FR,,
100.0,2899.0,Java,1561280428450,3359463,tuxxxxx,DE,,
100.0,2888.0,Java,1652290274703,3770880,Yu_212,JP,73269088975024,
100.0,2822.0,Java,1493814677185,1539329,lhauspie,FR,25613984348572,
100.0,2818.0,Java,1491863195798,1913381,PancakeNinja,US,11751096942396,
100.0,2798.0,Java,1516489670970,884874,Zauberer,JP,,
100.0,2766.0,Java,1464822527676,1427078,ToshiTuringMachine,NL,4895133817813,
100.0,2725.0,Java,1523936278270,2422378,C2H5OH,UA,19226708700974,
100.0,2706.0,Java,1456056470368,802230,Orabig,FR,1718532341458,
100.0,2702.0,Java,1452724813192,833606,mattrero,FR,98545849818693,
100.0,2694.0,Java,1490194010032,1630890,Wld,DE,54135389391511,
100.0,2671.0,Java,1460464433563,1353260,kluf,FR,4573059476924,
100.0,2656.0,Java,1507869050488,1658067,pstavrianos,GR,7890714543224,
100.0,2654.0,Java,1633720564409,389786,menu,DE,,
100.0,2650.0,Java,1477471345423,558770,lD,FR,7979637651523,
100.0,2642.0,Java,1707051875593,5839385,Romain C,FR,,
100.0,2636.0,Java,1476492464950,1079177,JJTreadway,US,7953952642860,
100.0,2610.0,Java,1639044838635,4471038,nguyen.lam,FR,115730569738380,
100.0,2608.0,Java,1583308860549,3571382,Hrothgor,FR,39422020636790,
100.0,2604.0,Java,1656693264040,4832181,VisualDev-FR,FR,94025066322906,
100.0,2598.0,Java,1504054332446,1095118,prignony,LU,14123963715630,
100.0,2566.0,Java,1486930758297,1779407,HellFiveDay,FR,,
100.0,2564.0,Java,1489092358750,1860493,Erz,RU,,
100.0,2564.0,Java,1543407667046,2202771,Kaplone,FR,23792369424472,
100.0,2548.0,Java,1683405315780,1394754,Frac,FR,5068361326810,
100.0,2546.0,Java,1648538287265,981878,nicolasD,FR,22576267267565,
100.0,2542.0,Java,1454462835470,155091,smeagol,DZ,5204182452248,
100.0,2534.0,Java,1455410016012,1285189,Minost,BE,3488193671462,
100.0,2522.0,Java,1583248614751,2945807,Blackoutburst,FR,127582582294520,
100.0,2491.0,Java,1455921658272,1034499,DOS,FR,2773134848642,
100.0,2484.0,Java,1453014540262,1195856,daifei4321,US,2979089591958,
100.0,2456.0,Java,1452793702103,328749,fpoyer,FR,,
100.0,2454.0,Java,1488328944280,1855429,Mariusdv,NL,,
100.0,2444.0,Java,1676841663797,3300181,louisiuol,FR,,
100.0,2434.0,Java,1714849180461,1377805,MHavlovick,US,4424776151992,
100.0,2410.0,Java,1603393339721,2015654,ChongJai,GB,120047761871640,
100.0,2410.0,Java,1633711696445,399039,psign,FR,127130708638966,
100.0,2408.0,Java,1582132918986,3667839,Manska,FR,80873763377241,
100.0,2398.0,Java,1497367941840,1075260,metwesse,FR,3909082474290,
100.0,2398.0,Java,1533796331923,1171469,Reblochon,FR,3915935783530,
100.0,2396.0,Java,1455486765178,795321,berthy424,FR,16935610968358,
100.0,2378.0,Java,1571579963798,2976964,BenjaminUrquhart,US,26083283518959,
100.0,2368.0,Java,1504969790294,1952325,Boogeyman42,DE,,
100.0,2351.0,Java,1498819736050,1057841,IDevelopLikeADonkey,FR,,
100.0,2346.0,Java,1506521813452,1753925,Wildcat,FR,14934574494306,
100.0,2322.0,Java,1453477402197,1165720,HuXi,HU,2937669874011,
100.0,2322.0,Java,1589128390408,3546264,cpuid,FR,35980526861868,
100.0,2306.0,Java,1476786430367,335954,nmahoude,FR,19628800665378,
100.0,2306.0,Java,1493264217135,1947375,DeepThought,IT,12180464595247,
100.0,2296.0,Java,1583310766010,3571334,Cedani,FR,,
100.0,2294.0,Java,1454666429335,826372,skyyker,FR,54542165670172,
100.0,2268.0,Java,1646385575905,4695112,Maxime01,RO,76921182601493,
100.0,2254.0,Java,1583310212047,3571325,MigoMax,FR,39662343809583,
100.0,2236.0,Java,1583312010194,3571357,Matisse,FR,39465465161103,
100.0,2230.0,Java,1616390945014,4168360,Robertson,US,60332904957962,
100.0,2224.0,Java,1596206108379,1355787,Fardatir,FR,47715307025812,
100.0,2222.0,Java,1453038020543,783337,Dewey,FR,111812900231909,
100.0,2216.0,Java,1647280244110,1766582,smugiss,LT,,
100.0,2212.0,Java,1505501361594,922748,Dam87,CO,14311946805408,
100.0,2212.0,Java,1512658126504,1200604,Alos,FR,17003350276315,
100.0,2212.0,Java,1522352600361,2254195,BrunoFelthes,BR,92712103847740,
100.0,2212.0,Java,1591216326669,2472606,MehdiTouil,FR,,
100.0,2212.0,Java,1599749313277,870474,jalanga,RO,21956836617822,
100.0,2212.0,Java,1701783464446,1725941,TFeld,DK,77240442360963,
100.0,2196.0,Java,1462891872933,1342741,ltDan,FR,15653169292502,
100.0,2196.0,Java,1567793552134,2021955,rv2673,NL,,
100.0,2194.0,Java,1505201759899,1575342,T7ung,HK,14961741526449,
100.0,2194.0,Java,1514550900805,2397478,charlesfranciscodev,CA,118376507808945,
100.0,2194.0,Java,1585574392822,3683581,fetta,FR,,
100.0,2194.0,Java,1587311745615,3772488,molombo,ES,42991768040152,
100.0,2194.0,Java,1587969430298,3786624,Siddhant-K-code,IN,63864403062214,
100.0,2194.0,Java,1619445373558,3973359,KAbel,HU,58683122994198,
100.0,2194.0,Java,1621806470361,4089191,Bixie,FR,56074109237164,
100.0,2192.0,Java,1479461777544,1408492,Ptit-g,FR,4317392237915,
100.0,2176.0,Java,1571745491236,2826402,LPAlex,FR,26789407742571,
100.0,2166.0,Java,1633078848829,2315158,luigi_gelato,DE,,
100.0,2160.0,Java,1455491095721,733335,DJNour,CA,3633921896361,
100.0,2160.0,Java,1485045001735,1767731,Dootsu,US,10143893623806,
100.0,2156.0,Java,1529149423035,2622559,Gripnil,FR,19024435956137,
100.0,2154.0,Java,1453760661072,849949,emze,HU,3190257653831,
100.0,2142.0,Java,1677966368980,2063104,Martin_fr,FR,44281465437497,
100.0,2140.0,Java,1498164150969,1373505,JonRussell,US,,
100.0,2132.0,Java,1482373977299,1367461,MickGlover,US,82788045944023,
100.0,2126.0,Java,1598270227073,3940156,VaidaLaganeckiene,DK,48937184918545,
100.0,2126.0,Java,1700992501661,5785281,RobbieJ,FR,,
100.0,2092.0,Java,1453207112886,153698,obourgain,FR,,
100.0,2092.0,Java,1699878389891,5670129,niefba,CH,110388343255496,
100.0,2088.0,Java,1482449826581,1379071,ThomasLamson,FR,,
100.0,2080.0,Java,1537567680478,1045771,hron,FR,21653096224751,
100.0,2064.0,Java,1463732468085,815488,Seti,PL,4633404737262,
100.0,2058.0,Java,1452772162653,439159,diodfr,FR,3372209616799,
100.0,2058.0,Java,1531307741492,1565710,Chieres,SG,6429798848699,
100.0,2020.0,Java,1455283066561,1290545,Roudoudou,FR,,
100.0,2020.0,Java,1525279205113,2057540,liz22,FR,60508968681874,
100.0,2018.0,Java,1470948541507,1452211,matt2xu,FR,14138106811285,
100.0,2012.0,Java,1621286761872,2430741,Faust1,FR,,
100.0,1998.0,Java,1489129187541,730228,Vetal,UA,93162821432105,
100.0,1998.0,Java,1564577138912,1135052,flow,FR,,
100.0,1992.0,Java,1454861009891,389175,Folkenn84,FR,,
100.0,1990.0,Java,1453087582653,254883,maksim,RU,3235054322425,
100.0,1980.0,Java,1514927486577,1227148,Schneewittchen,DE,124893627574596,
100.0,1974.0,Java,1558295138169,3354772,TordH,DE,,
100.0,1970.0,Java,1640299015492,3464065,youssefchiguer,FR,101796281531587,
100.0,1946.0,Java,1535874345992,2763472,Nick-the-Name,CZ,,
100.0,1938.0,Java,1485537787524,1629241,DeVan,FR,12777247389084,
100.0,1926.0,Java,1541155197921,892056,LaurentTrk,FR,21751586481934,
100.0,1924.0,Java,1461243515858,668906,Sandworm,NL,1871842772580,
100.0,1916.0,Java,1571862759677,1626913,AdrienTurmo,FR,7339608490797,
100.0,1912.0,Java,1474732346620,1535819,Afordancja,PL,6886920472910,
100.0,1910.0,Java,1715765664738,6070579,midix,FR,123241803072173,
