score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=255|time=2024-09-14T04:09:15
100.0,2503.0,C,1700823944940,1344487,ggrn,CH,106180221086495,
100.0,2430.0,C,1656869894141,4452961,Sheeesh---,MA,85786808330072,
100.0,2376.0,C,1458043234390,1000199,Zlatko,AT,95296002598487,
100.0,2373.0,C,1598398957796,1568785,Chalzy,CA,10551277510615,
100.0,2371.0,C,1451056417274,941713,Bloody95,FR,,
100.0,2360.0,C,1620988412493,1675720,AxFab,FR,15422957143535,
100.0,2340.0,C,1464553883339,973040,papyjo,FR,15696776172839,
100.0,2338.0,C,1518705948842,999637,dinobogan,FR,61192341763607,
100.0,2289.0,C,1720270629683,3478926,Alexis.D,FR,50226901621438,
100.0,2265.0,C,1567601902859,3443052,ItCouldBeJav,GB,,
100.0,2262.0,C,1495296550301,2003902,mploux,FR,116233148488094,
100.0,2256.0,C,1453747322274,1136521,nadrek,GB,116342389110594,
100.0,2248.0,C,1495292899711,1326713,Tybau,FR,12725568326286,
100.0,2210.0,C,1506100764758,2165183,craig_macmuffin,CA,14228888574613,
100.0,2196.0,C,1506982201802,2197750,alec_RogueSaloon,GB,,
100.0,2164.0,C,1463176447368,1234259,digit_ro,RO,4362582644549,
100.0,2124.0,C,1444513753667,915957,Tux,FR,2097842502214,
100.0,2119.0,C,1516980845999,2407189,Teuchteu,FR,52423587427878,
100.0,2100.0,C,1653584328041,4486413,ganbatte,FR,,
100.0,2094.0,C,1607016030382,2050195,eklore,FR,16153418043649,
100.0,2062.0,C,1459335884878,1273475,Charles-Elie.Taupin,FR,8381843216701,
100.0,2059.0,C,1504857242180,1522873,ZHUXiang,CN,,
100.0,2044.0,C,1485866497784,1752047,RGBenfield,GB,,
100.0,2033.0,C,1585838689314,3722889,Lafytt,ID,,
100.0,2033.0,C,1710081392398,554140,mel-mouk,FR,116016363791922,
100.0,2030.0,C,1469653938902,1499190,Mr_Afroduck,GB,,
100.0,2027.0,C,1508845047038,1684030,Mator,FR,14204349233622,
100.0,2022.0,C,1649435421489,1360516,chym,FR,80718823548749,
100.0,2009.0,C,1489228915576,1846419,XavM,FR,,
100.0,1995.0,C,1435854276579,947530,,US,,
100.0,1990.0,C,1611780250084,3762699,Nolliwood,FR,58851286080395,
100.0,1954.0,C,1448978361944,1176732,kAworu,CH,2832204757614,
100.0,1954.0,C,1504234013168,2096266,southzz,CN,,
100.0,1947.0,C,1498343173708,1712706,O.M.,UA,28550884025391,
100.0,1947.0,C,1504595839019,2106931,FanDongsheng,CN,,
100.0,1938.0,C,1656807514151,972854,MrXo,US,1868946456074,
100.0,1936.0,C,1466501294285,1348621,ZosoLedZep,FR,120816287284221,
100.0,1936.0,C,1469003076456,1189679,Wayde,FR,,
100.0,1930.0,C,1474620146259,915770,Romsteck,FR,6635697196903,
100.0,1928.0,C,1434132362000,912943,bat_ventzi,BG,,
100.0,1919.0,C,1457703654195,1173745,Gossmar,RS,,
100.0,1903.0,C,1483015908852,1671658,Kirbiby,FR,28998644710449,
100.0,1900.0,C,1548613642808,1939276,Gautitho,FR,115012808625340,
100.0,1894.0,C,1459266345031,1330864,Myst22,FR,,
100.0,1892.0,C,1468188174048,153727,Maurogik,GB,2863605663690,
100.0,1883.0,C,1651511007510,4531129,jajalecapouet,FR,70932929109363,
100.0,1872.0,C,1466920374717,1291145,Hich,FR,,
100.0,1865.0,C,1668622516216,4058636,HMMD,MA,125118107147235,
100.0,1857.0,C,1431016871000,909890,Snayle,CH,1983455036652,
100.0,1856.0,C,1471752362645,976712,Ridakz,FR,,
100.0,1855.0,C,1641468029533,4559358,Greg.ch,FR,,
100.0,1845.0,C,1533813662516,877026,NaBoo,FR,20745432269706,
100.0,1841.0,C,1488631771992,1863217,Draradech,DE,62024629128524,
100.0,1839.0,C,1455384985588,1140027,theBee,CZ,10678217899980,
100.0,1836.0,C,1483295530985,1654818,tarapitha,EE,79401682508715,
100.0,1836.0,C,1531955626026,2721745,Octoroc,GB,20029352666798,
100.0,1832.0,C,1515352797992,891648,boechiel,FR,2321504736034,
100.0,1821.0,C,1606170412336,1693448,KoenduBuf,NL,65025161404567,
100.0,1796.0,C,1597401265419,1027878,t0t0r0,RS,105544860319662,
100.0,1796.0,C,1606530057180,3513265,DaNinja,IE,35022107863170,
100.0,1795.0,C,1494967071222,1998804,spaivaras,LT,12675036719415,
100.0,1794.0,C,1490496169245,1485980,JackP,US,,
100.0,1793.0,C,1691684116200,5635105,akrony,FR,109139241337883,
100.0,1783.0,C,1481508621294,1607791,ildar_1988,RU,7087404662454,
100.0,1771.0,C,1444342158702,1054195,Wasa94,RS,13947404374134,
100.0,1769.0,C,1601937448214,3967383,brucetea,DE,,
100.0,1750.0,C,1668682527662,4192159,Eldeil,FR,92742221499296,
100.0,1745.0,C,1543183121039,1745345,StephGrun35,FR,9929596589429,
100.0,1744.0,C,1447863876769,898785,gdbro,FR,48844021709202,
100.0,1737.0,C,1448908588264,1169352,BrucePayne,US,2850103262739,
100.0,1734.0,C,1465983877587,1178569,Azerrr,FR,2849990549711,
100.0,1732.0,C,1660862066676,5029036,beefE,US,88549085014352,
100.0,1727.0,C,1652004375787,4888723,heties06130,FR,,
100.0,1719.0,C,1434464762808,942185,RB5,FR,,
100.0,1717.0,C,1674504113817,4674703,hsozan,TR,97218821980727,
100.0,1717.0,C,1674507951588,4727687,canodis2,TR,,
100.0,1717.0,C,1714824846391,2316850,phucdis,CH,,
100.0,1714.0,C,1620936650958,4113129,mihaipriboi,RO,56075386275997,
100.0,1713.0,C,1455726278166,1250260,Elche,FR,,
100.0,1712.0,C,1448978521058,860241,NicolasF,FR,2822813391083,
100.0,1710.0,C,1565271470532,3424138,pepnou,FR,31767263404228,
100.0,1704.0,C,1446547684573,1106797,abossi,FR,,
100.0,1703.0,C,1435680952497,949302,paweu,PL,3402539511549,
100.0,1703.0,C,1459414922793,1364983,BogdanDevichev,UA,20855492443783,
100.0,1701.0,C,1627142200749,2973831,Golfand_old,IL,42777600542674,
100.0,1691.0,C,1630594381250,4467921,Chansalive,DE,,
100.0,1690.0,C,1686213848741,5429383,Tatur2000,FR,102119084943733,
100.0,1687.0,C,1445554775454,1062344,mkr,BE,,
100.0,1663.0,C,1435035020458,881588,TKA,JP,,
100.0,1663.0,C,1516715373433,1457605,Perlstache,FR,,
100.0,1663.0,C,1679179417204,3676025,EasyRider,FR,,
100.0,1654.0,C,1468487350754,1361939,Tof0986,CH,5032650356401,
100.0,1638.0,C,1492027758584,1930183,Bureau132,FR,11952769013853,
100.0,1635.0,C,1446896659144,1061488,FlagadaJones,FR,2250915709105,
100.0,1635.0,C,1607136518569,3999478,FuriousT,CA,51286385564064,
100.0,1632.0,C,1460034335343,1167963,MathieuG,FR,,
100.0,1632.0,C,1466201159737,1393663,peapicker,US,4199387196091,
100.0,1630.0,C,1720581190770,3446555,LeifTerry,US,125468566028238,
100.0,1620.0,C,1567520481551,3416141,sstefan,GB,,
100.0,1620.0,C,1604096413185,1029663,Skreamly,FR,10310918289639,
100.0,1605.0,C,1474034366493,1522371,qwertiklubo,SK,5574441340121,
100.0,1583.0,C,1464821940937,1452704,yomamamama,FR,4664571582471,
100.0,1582.0,C,1477956689262,1667366,Rasky,BE,,
100.0,1582.0,C,1611444665538,4093262,Lukas_r1,RU,57029966809913,
100.0,1579.0,C,1521651375566,814308,Cristinel,RO,2517053172523,
100.0,1576.0,C,1601499225892,1470701,ahornik,FR,39461926207768,
