score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=94|time=2023-10-16T06:51:53
100.0,999.0,PHP,1616602923781,1629259,Marchete,ES,61997162908277,
100.0,518.0,PHP,1636711785947,4526264,cly,FR,,
100.0,454.0,PHP,1663102936945,5052454,chris.steele,US,89311405495927,
100.0,415.0,PHP,1636580702150,3918583,mikmak,FR,48134583112917,
100.0,335.0,PHP,1636941541112,820000,ValGrowth,JP,95440985747208,
100.0,256.0,PHP,1687510546274,1152991,xoposhiy,RU,2894275932979,
100.0,240.0,PHP,1600796549936,2968035,DomiKo,PL,46567648927625,
100.0,238.0,PHP,1582570500182,1607522,RoboStac,GB,11333369102997,
100.0,224.0,PHP,1581731103794,1344487,ggrn,CH,106180221086495,
100.0,217.0,PHP,1662901852649,1067069,Reiska,FI,15476331321584,
100.0,209.0,PHP,1612625286101,3971358,OldJohn,FR,63565949763225,
100.0,208.0,PHP,1580602625175,2522090,MSmits,NL,17784428403916,
100.0,190.0,PHP,1613809475142,1479930,LeRenard,FR,40384564000700,
100.0,177.0,PHP,1617394376253,155774,dwarfie,FR,17785582865119,
100.0,175.0,PHP,1609698803057,1754295,SF,US,9886764510417,
100.0,171.0,PHP,1696006355528,1441239,Dyd,IT,71707560017158,
100.0,170.0,PHP,1617283785068,3870898,LSpachmann,DE,,
100.0,169.0,PHP,1581624772082,3165536,barbora,SK,44036705103292,
100.0,169.0,PHP,1583603669574,3533119,wlesavo,RU,44695284080274,
100.0,148.0,PHP,1583289108998,230015,Kolo9,US,92531443665208,
100.0,139.0,PHP,1580717061721,1500515,eulerscheZahl,DE,43135502422075,
100.0,137.0,PHP,1578914312549,1378958,Illedan,NO,16222515698472,
100.0,109.0,PHP,1642412345810,490588,Uljahn,RU,23956705948685,
100.0,99.0,PHP,1688128927924,2962968,Pukunya,HU,23492805229385,
100.0,95.0,PHP,1580559541276,3457031,YurkovAS,RU,33020204289704,
100.0,95.0,PHP,1596488524433,3726978,VirtualAtom,FR,41848346565993,
100.0,95.0,PHP,1597482408285,3770485,zakki,JP,47838307587408,
100.0,95.0,PHP,1691588718101,1861258,Nazdhun,DE,11477900555178,
100.0,89.0,PHP,1596254184374,1484839,sparky,GB,41934483411733,
100.0,80.0,PHP,1607203160727,2451652,code_of_the_dead,FR,18798469788923,
100.0,70.0,PHP,1596285478596,862919,Astrobytes,GB,60413902297900,
100.0,70.0,PHP,1612970024178,1566335,BeardedWhale,SE,36571449875674,
100.0,69.0,PHP,1580991676146,338469,__mcts__,FR,35472269132292,
100.0,64.0,PHP,1580916283955,1489865,EricSMSO,FR,10005277870281,
100.0,63.0,PHP,1584394829749,1457162,JFB,PL,12110108490250,
100.0,60.0,PHP,1614868999500,3482129,Tiho97,DE,,
100.0,60.0,PHP,1623254179387,3983017,TLbuis,NL,50598324428631,
100.0,60.0,PHP,1668205670445,1052387,RomaricM,FR,92642125599822,
100.0,60.0,PHP,1689169902462,3844625,surgutti,PL,62360203928049,
100.0,52.0,PHP,1580634491692,925695,Boulet,FR,29121141951376,
100.0,52.0,PHP,1588846850310,1854639,iDxMeG,FR,11242007512344,
100.0,52.0,PHP,1661890674742,4149818,ET_BB-8,GB,57894749237710,
100.0,51.0,PHP,1581835805790,1066745,DepartmentOfRedundancy,FR,107574148016271,
