score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=272|time=2025-12-06T04:11:17
100.0,174876.0,C++,1721616860761,3354337,Westicles,CX,79146641399080,
100.0,170312.0,C++,1744825053861,2077805,bamilan,HU,,
100.0,169004.0,C++,1640706926644,154984,_Royale,FR,17869369984436,
100.0,167588.0,C++,1608629547678,1530051,UlYoP,FR,13341789660807,
100.0,166108.0,C++,1630787068102,2923506,darkhorse64,FR,23496414257567,
100.0,165192.0,C++,1609244919256,2968035,DomiKo,PL,46567648927625,
100.0,154816.0,C++,1598784749701,2522090,MSmits,NL,17784428403916,
100.0,150376.0,C++,1610491849530,1314316,jolindien,FR,14585204616953,
100.0,147064.0,C++,1610309181618,1344487,ggrn,CH,106180221086495,
100.0,145638.0,C++,1609405164750,4007648,nan0S_,PL,51857863699161,
100.0,136253.0,C++,1597612962827,2311105,kovi,HU,20774306904131,
100.0,131794.0,C++,1653055492659,799904,iwashi31,JP,1815876121299,
100.0,125572.0,C++,1750088006042,1449433,Rolf,ES,11401424939145,
100.0,118483.0,C++,1604422158337,3457031,YurkovAS,RU,143223227299056,
100.0,114066.0,C++,1656429734235,1243354,tabasavr,SG,59202364608114,
100.0,110747.0,C++,1604937499471,580424,siman,JP,7464902754297,
100.0,107118.0,C++,1705675486875,2829386,Shaq76,GB,52749040542647,
100.0,102666.0,C++,1610283265166,509738,Konrad_Wer,PL,4224539895502,
100.0,99951.0,C++,1701908960895,1601217,Heide,FR,24684492596453,
100.0,96229.0,C++,1600793413234,2510517,Turtlefight,DE,17686753344865,
100.0,95472.0,C++,1629192058131,862919,Astrobytes,GB,60413902297900,
100.0,94262.0,C++,1660341767847,2981630,IDEAlly,SE,116530161533763,
100.0,92378.0,C++,1597780773267,1854246,Counterbalance,NL,26367790351026,
100.0,87519.0,C++,1688298924459,3348388,bowwowforeach,JP,60374424199081,
100.0,86076.0,C++,1603094777325,3717149,Jef808,CA,43240908081890,
100.0,85811.0,C++,1650540249699,2436448,FrancoisMeme,FR,62658720056908,
100.0,82495.0,C++,1621419024415,2589340,Zource,NL,,
100.0,80424.0,C++,1620287310284,4208158,Tiouz,FR,72554823729381,
100.0,77174.0,C++,1764462406509,5563211,ra5anchor,JP,132616129775351,
100.0,77128.0,C++,1601242480404,1752303,murrayr,GB,38481626354767,
100.0,73040.0,C++,1603718878139,820000,ValGrowth,JP,95440985747208,
100.0,72136.0,C++,1684634732519,5246622,RinSakamichi,JP,95551565543088,
100.0,70628.0,C++,1726427449193,1840946,zazaboon,JP,13380112545351,
100.0,70133.0,C++,1609026637849,3808317,Bax533,PL,44447807496449,
100.0,69530.0,C++,1757335970134,2252914,Malleek,FR,18829198596160,
100.0,69474.0,C++,1610887090120,1114834,k4ng0u,FR,26037223936643,
100.0,68798.0,C++,1610033164980,3136962,marimarek,PL,,
100.0,67963.0,C++,1602453544657,3594074,jopo,ES,,
100.0,67763.0,C++,1608663316622,3727077,Manwi23,CH,42360341161981,
100.0,64989.0,C++,1679948888470,4372857,Sirios,BE,67205527942183,
100.0,64726.0,C++,1710143042494,1426548,MasterJos,CA,4404380115040,
100.0,63194.0,C++,1598510389705,2786666,TetraktysPhi,FR,20818693590142,
100.0,62112.0,C++,1598422020520,1436776,BrainSolver,FR,10099178983053,
100.0,61920.0,C++,1667032524089,395576,djedje,FR,127543947782535,
100.0,61710.0,C++,1691035073102,972894,resty-daze,CN,4833160251412,
100.0,60768.0,C++,1727521359648,6295897,VaniusKon,RU,130286862812961,
100.0,59950.0,C++,1654896937727,751369,tibithegreat,RO,54024865783541,
100.0,57583.0,C++,1717779588522,1759839,matleg,FR,27938585309756,
100.0,54947.0,C++,1693394987878,530441,Prime541,FR,75513904859150,
100.0,54688.0,C++,1597903008523,3721214,jrke,IN,68983084061211,
100.0,53380.0,C++,1727605122199,6297086,Redk1tli,RU,,
100.0,53252.0,C++,1673040617543,4120837,hannahlenk,DE,153490048434760,
100.0,52973.0,C++,1736708119756,4620106,lonequantum,FR,73903248957664,
100.0,52927.0,C++,1608670966425,1489865,EricSMSO,FR,10005277870281,
100.0,50034.0,C++,1646324613344,2350415,Vintarel,FR,17502555674515,
100.0,49702.0,C++,1636690392861,2980709,ninnghazad,DE,23095056907672,
100.0,49675.0,C++,1635625409533,1140677,Crog,FR,41060062482552,
100.0,49341.0,C++,1632824232860,992329,BeeGee,NL,5817423526804,
100.0,49090.0,C++,1597500026472,3513265,DaNinja,IE,35022107863170,
100.0,47720.0,C++,1650062809364,734401,b0n5a1,FR,1848632360793,
100.0,47635.0,C++,1708966518078,2432815,Carre,AR,63803683266104,
100.0,41428.0,C++,1648841205217,4648805,LordOfElements,US,,
100.0,40827.0,C++,1716800082481,4375316,Flash7,FR,85969541119566,
100.0,40442.0,C++,1645616377935,4510576,__Malina,PL,73396504672495,
100.0,38906.0,C++,1751720326598,4897832,Dr Meyss',FR,83988905905404,
100.0,38560.0,C++,1690492517496,5551153,mihail123123123,GR,,
100.0,38447.0,C++,1680912241705,2744885,Luuk_V,NL,,
100.0,37616.0,C++,1609082597706,2098710,Sumered,PL,54619568025463,
100.0,36724.0,C++,1720129724031,2469268,DDesobry,FR,124517909929979,
100.0,36578.0,C++,1652708174980,3349939,SubSpring,SY,28913484510400,
100.0,35854.0,C++,1764764884838,6366705,CHOPK,RU,138180349805992,
100.0,35555.0,C++,1702107975425,2480141,rabbitforgame,TW,17330956706321,
100.0,35153.0,C++,1611836548886,3792309,schachmatt,BE,58313205988826,
100.0,35080.0,C++,1732022561410,5231361,yhuberla,BE,95120829746216,
100.0,34980.0,C++,1654778672145,3826720,Noppo,JP,117278364576426,
100.0,33888.0,C++,1612175370018,4061329,KLPP,PT,53854120793036,
100.0,33673.0,C++,1716357375652,5573671,LeMasSon,FR,107252527944826,
100.0,33530.0,C++,1629429844135,155774,dwarfie,FR,17785582865119,
100.0,33498.0,C++,1613825049451,1479137,lorenzods,HU,4958429920428,
100.0,32963.0,C++,1702105987768,5650017,not_a_normal_team_7,TW,,
100.0,32792.0,C++,1608336535635,4021808,hubert123,PL,,
100.0,32187.0,C++,1684859131419,879891,9dogo,FR,102101881869320,
100.0,32000.0,C++,1687531641416,1093968,milosMATRIXrepic,RS,117470302748056,
100.0,31886.0,C++,1702107493752,5852757,team_seven,TW,,
100.0,31716.0,C++,1610069475421,1404379,hpa,PL,5550489662717,
100.0,31561.0,C++,1710260060435,1324974,ViktorCs,HU,4515823207881,
100.0,31504.0,C++,1610057538261,2969181,maras,PL,51113541675151,
100.0,31085.0,C++,1638627746080,3919068,14598366,FR,54333787971719,
100.0,30861.0,C++,1755331366764,3523247,alexcercos,ES,36269364412881,
100.0,30821.0,C++,1610047757258,3950834,rodrigocofrer,PL,57173284269093,
100.0,30664.0,C++,1611425682644,1443075,Wolfy82,HU,4574349418639,
100.0,30526.0,C++,1694812906587,925641,cmmw,AT,80486248527690,
100.0,30237.0,C++,1609410411789,4039884,mzbear,FI,52739542369007,
100.0,30123.0,C++,1636018918646,1830625,-Rutger-,NL,,
100.0,29925.0,C++,1715179177360,6053121,Ventlan,PL,124654665133528,
100.0,29127.0,C++,1721727335059,6166636,yaichi,JP,,
100.0,28866.0,C++,1751277632123,6652911,Metasploit067,JP,,
100.0,28564.0,C++,1637196055347,3763923,nforay,FR,42732983996848,
100.0,27347.0,C++,1686688366345,1543333,ishibashijun,JP,15686417858068,
100.0,26902.0,C++,1701202462399,2255945,PoppyTrail,FR,15571421861051,
100.0,26530.0,C++,1714824042489,5448959,lamduybao03,VN,,
100.0,26343.0,C++,1597694145327,811622,Scarfield,DK,73294709815061,
100.0,25980.0,C++,1618838976692,1336464,magaiti,RU,4034881109815,
100.0,23355.0,C++,1685107021966,4866464,vjules,FR,,
100.0,23322.0,C++,1762199712785,6614169,Basenik,RU,143035642398794,
100.0,23142.0,C++,1702107283543,5852746,noNameBot,TW,,
100.0,22270.0,C++,1631299750236,3842724,[ohirune]zzz,JP,64342760006350,
100.0,21921.0,C++,1646233201399,1473789,jebouin,FR,4891676387145,
100.0,21799.0,C++,1739449313902,6350218,celeria,FR,133470886510046,
100.0,21601.0,C++,1702109028196,5650012,dada878,TW,109890324099736,
100.0,21318.0,C++,1699628838776,2590643,ElPeauDeLaBanana,FR,18428486778899,
100.0,19462.0,C++,1606216497158,970195,Elbanono,FR,2297043133056,
100.0,19418.0,C++,1661209639468,4664816,lexx_it,DE,,
100.0,18670.0,C++,1620233829259,1688466,geoffroy,FR,8641960561768,
100.0,18565.0,C++,1610948377569,4072753,mdstoy,JP,54294744903755,
100.0,16367.0,C++,1727455849483,1001096,MyIIone,AT,4231449697357,
100.0,16038.0,C++,1609341855918,2333083,Febrin,PL,42649424186067,
100.0,15392.0,C++,1662206310086,4801044,TN19N,MA,145302064567003,
100.0,14776.0,C++,1686350560780,2146022,Eden998,IL,,
100.0,14501.0,C++,1652814144611,3724738,BoatBuilder,CH,60011604598066,
100.0,14264.0,C++,1717635585417,672318,mpt,DE,85827945905476,
100.0,14068.0,C++,1673909427550,508460,Volia,UA,84354181389430,
100.0,13804.0,C++,1718085848521,525864,ATwice,RU,12338477255783,
100.0,12714.0,C++,1702109257235,5852765,team9,TW,,
100.0,11759.0,C++,1701476117509,862336,Zaphus,AU,44601741841370,
100.0,11698.0,C++,1702103461311,5229524,7_2,TW,,
100.0,11626.0,C++,1623417464857,4341304,Remi.,FR,97662026388574,
100.0,11198.0,C++,1658484448134,3873666,brthyyjp,JP,,
100.0,11196.0,C++,1702104179515,5852738,9_2,TW,,
100.0,11158.0,C++,1702109314173,5852743,Team04,TW,,
100.0,10994.0,C++,1702105334155,5852774,1111_2,TW,,
100.0,10922.0,C++,1702105104273,5852764,team01,TW,,
100.0,10878.0,C++,1702104286412,5746197,team5555555555555555555555,TW,,
100.0,10812.0,C++,1702124209717,5852820,LoYi_Tang,TW,,
100.0,10804.0,C++,1702107041306,5852748,Ty-08,TW,,
100.0,10786.0,C++,1702105121178,5852775,Toiteam04,TW,,
100.0,10784.0,C++,1702106007385,5852745,team3,TW,,
100.0,10728.0,C++,1702105042861,5852815,._8,TW,,
100.0,10726.0,C++,1702107791942,5852758,team11_2,TW,,
100.0,10692.0,C++,1702104450443,5650029,Team_11,TW,,
100.0,10662.0,C++,1702103424984,5852778,group11,TW,,
100.0,10618.0,C++,1702109488285,5852868,TEAM555,TW,,
100.0,10508.0,C++,1702103477223,5852747,team0505,TW,,
100.0,10484.0,C++,1665788814949,3611257,Apodus,FI,92036289706598,
100.0,10472.0,C++,1702106341776,5852739,T4___,TW,,
100.0,10462.0,C++,1702105892022,5852823,,TW,,
100.0,10446.0,C++,1702107121176,5852751,Team5_2,TW,,
100.0,10266.0,C++,1702109426417,5852860,Team5_3,TW,,
100.0,10225.0,C++,1702106858679,5852755,Briann38,TW,,
100.0,10074.0,C++,1702105362853,5852819,,TW,,
100.0,9986.0,C++,1609731454105,3789487,LelouchVC2,US,43468903100686,
100.0,9902.0,C++,1742739425211,1227148,Schneewittchen,DE,136178047797645,
100.0,9902.0,C++,1746790513197,5801906,Veltik,FR,,
100.0,9847.0,C++,1609250227380,3806841,SWi,PL,51449268430217,
100.0,9790.0,C++,1694981369976,4334077,vondermanzen,GB,118094862007905,
100.0,9786.0,C++,1600896108535,3872782,Pengor,US,48816369267630,
100.0,9786.0,C++,1601497393720,2851453,lchampavere,FR,,
100.0,9786.0,C++,1612175784133,888898,helgui,RU,22560718540069,
100.0,9786.0,C++,1664275133203,4612757,AlgoAce,MA,97039508473927,
100.0,9786.0,C++,1683731926628,3118570,Razovsky,FR,24597204966152,
100.0,9786.0,C++,1734362439509,5212758,ruier,CN,94598409917739,
100.0,9786.0,C++,1751581446670,5050790,PRabid,AU,89394021626021,
100.0,9786.0,C++,1755793050991,5377868,YALOKGAR,UA,100010762935894,
100.0,9786.0,C++,1758471098916,4231728,TojoNatolotra,FR,115692427784604,
100.0,9786.0,C++,1759347218730,1073247,_NikJ,RS,2509638482149,
100.0,9750.0,C++,1634664196210,2364617,RomainPicot,FR,121006507095295,
100.0,9680.0,C++,1601078622279,3989937,Alban_P,FR,,
100.0,9666.0,C++,1597587816231,3729666,peerdb,NL,93424367328637,
100.0,9666.0,C++,1600719240731,3944309,jalasama,UA,49126289887176,
100.0,9666.0,C++,1702104816031,4773139,KaoZhai1,TW,80031081734625,
100.0,9666.0,C++,1746810810207,3866242,Angeltapia,MX,46031148600370,
100.0,9622.0,C++,1739934518904,6456529,JesusR,PH,137410581888381,
100.0,9596.0,C++,1601048693837,962495,eboot,FR,55086804311206,
100.0,9595.0,C++,1639509709109,1480501,DaFish,SE,29432508282053,
100.0,9562.0,C++,1738620390339,4148846,SkyWhait,FR,57735084004077,
100.0,9486.0,C++,1608760396019,3486522,Linze,RU,71621144893048,
100.0,9486.0,C++,1615488666606,4155983,o0lit3,US,58386742395102,
100.0,9486.0,C++,1643441898128,4718127,,RU,,
100.0,9486.0,C++,1648038319267,4612315,Gerritvw,ZA,103136921219034,
100.0,9486.0,C++,1649362652643,3975966,HoussemH,FR,50403921474202,
100.0,9486.0,C++,1709427901610,5807573,Stephen Kondaveti,US,120619186703150,
100.0,9486.0,C++,1725457363568,1939310,MasterOfUnderscore,PT,81080588549660,
100.0,9486.0,C++,1726636736540,6260685,kitarotao,TH,128685509012395,
100.0,9486.0,C++,1731683135726,5586880,DoYouEvenFlask,DE,136581003784284,
100.0,9486.0,C++,1746977734272,6598468,Supoz9,FR,142593628901000,
100.0,9469.0,C++,1702103029510,5852753,早安,TW,,
100.0,9444.0,C++,1600674142385,3975507,SenLai,CA,50253806206317,
100.0,9444.0,C++,1744834685049,5872081,IGOX008,MA,116988746003884,
100.0,9408.0,C++,1682549289129,1542460,[CPC]totoleharicotvert,FR,6009849340344,
100.0,9380.0,C++,1597586340627,1418821,input.txt,RU,13393616028136,
100.0,9378.0,C++,1712673901594,256955,cup_of_tea,FR,14752068261565,
100.0,9376.0,C++,1600873687541,2875571,sebastien.grosjean,FR,,
100.0,9364.0,C++,1600767261325,3974197,sasha__s,UA,,
100.0,9258.0,C++,1690137656854,5579946,THX1138,GB,109287188182911,
100.0,9240.0,C++,1607012169019,4065313,XerusPrasinus,CZ,96033247149603,
100.0,9218.0,C++,1601236676446,928567,Konstanta,LT,40817500234931,
100.0,9074.0,C++,1601135981510,3967936,Tsus86,LB,,
100.0,9064.0,C++,1700920386454,4072094,howard0027,TW,,
100.0,9004.0,C++,1600838313681,1426923,Tipoun,FR,,
100.0,9004.0,C++,1600865672554,981404,Salvatore,FR,,
100.0,9004.0,C++,1726144558971,5532537,Loic_chevallier,FR,,
100.0,8938.0,C++,1600851159100,3803352,Tooltip,FR,,
100.0,8938.0,C++,1641195456343,4652450,31416,CN,75551065744277,
100.0,8878.0,C++,1601152094046,3983088,Anthiel,FR,50745762221125,
100.0,8848.0,C++,1680217832284,3782553,Dan29,AR,43323828446598,
100.0,8836.0,C++,1732295012628,4029286,PowerFlower,DE,105634062834587,
100.0,8567.0,C++,1600768116035,3558096,LapinChiffre,FR,67431421925421,
100.0,7456.0,C++,1691547512051,5555669,Elmdra,US,106929723204508,
