score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=29|time=2020-05-24T01:53:01
100,10641.949999999995,Python3,1590285181000,1400179,reCurse,CA,58850847098890,
100,10781.13,C++,1590285181000,351062,Neumann,FR,17173563008577,
100,10892.27,C++,1590285181000,1288527,Snef,FR,20716524973752,
100,11264.47,C++,1590285181000,2311105,kovi,HU,20774306904131,
100,11306.130000000005,Java,1590285181000,1566335,BeardedWhale,SE,36571449875674,
100,11318.68,C,1590285181000,2924895,trictrac,FR,23056996012330,
100,11390.38,C++,1590285181000,3457031,YurkovAS,RU,33020204289704,
100,11405.739999999996,C++,1590285181000,3513265,DaNinja,IE,35022107863170,
100,11995.15,Go,1590285181000,1489865,EricSMSO,FR,10005277870281,
100,12012.36,C++,1590285181000,1436776,BrainSolver,FR,10099178983053,
100,12325.380000000005,C++,1590285181000,1106450,RiSuS,BY,96581849782494,
100,12366.23,C++,1590202370000,2923506,darkhorse64,FR,23496414257567,
100,12491.160000000002,C++,1590108754000,1607522,RoboStac,GB,11333369102997,
100,12830.15,C++,1590285181000,155774,dwarfie,FR,17785582865119,
100,15501.62,C++,1590285181000,1314316,jolindien,FR,14585204616953,
100,15780.110000000002,C#,1590202370000,3165536,barbora,SK,44036705103292,
100,16296.01,Python3,1590285181000,2290633,field3,JP,75961127697737,
100,16404.870000000003,C++,1590285181000,862919,Astrobytes,GB,60413902297900,
100,16948.440000000002,Python3,1590202370000,3776530,Insufficient,GB,43170924073821,
100,17160.519999999997,Java,1590108754000,1306289,Jasperr,NL,56014127626531,
100,18317.24,VB.NET,1590202370000,481564,mihei,RU,4454400756022,
100,18467.80999999999,C++,1590285181000,862336,Zaphus,AU,44601741841370,
100,18609.15,C++,1590108754000,1378958,Illedan,NO,16222515698472,
100,18609.15,C++,1590108754000,811622,Scarfield,DK,73294709815061,
100,21508.78,Python3,1590202370000,218189,[CG]Maxime,FR,2925297592678,
100,21964.72,Python3,1590285181000,1713174,BigUP,FR,9962854189979,
100,22267.069999999996,Python3,1590285181000,2233179,Samsa,FR,17844764524716,
100,22391.56000000001,Python3,1590202370000,3514465,BenWo,US,44335269964806,
100,22452.22,C#,1590285181000,839879,Washier,ZA,12972766898492,
